date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2017-01-05,0.94,2016-12-31,2017-01-05,0,True,False
2017-01-06,0.94,2016-12-31,2017-01-05,1,True,False
2017-01-09,0.94,2016-12-31,2017-01-05,4,True,False
2017-01-10,0.94,2016-12-31,2017-01-05,5,True,False
2017-01-11,0.94,2016-12-31,2017-01-05,6,True,False
2017-01-12,0.94,2016-12-31,2017-01-05,7,True,False
2017-01-13,0.94,2016-12-31,2017-01-05,8,True,False
2017-01-17,0.94,2016-12-31,2017-01-05,12,True,False
2017-01-18,0.94,2016-12-31,2017-01-05,13,True,False
2017-01-19,0.94,2016-12-31,2017-01-05,14,True,False
2017-01-20,0.94,2016-12-31,2017-01-05,15,True,False
2017-01-23,0.94,2016-12-31,2017-01-05,18,True,False
2017-01-24,0.94,2016-12-31,2017-01-05,19,True,False
2017-01-25,0.94,2016-12-31,2017-01-05,20,True,False
2017-01-26,0.94,2016-12-31,2017-01-05,21,True,False
2017-01-27,0.94,2016-12-31,2017-01-05,22,True,False
2017-01-30,0.94,2016-12-31,2017-01-05,25,True,False
2017-01-31,0.94,2016-12-31,2017-01-05,26,True,False
2017-02-01,0.94,2016-12-31,2017-01-05,27,True,False
2017-02-02,0.94,2016-12-31,2017-01-05,28,True,False
2017-02-03,0.94,2016-12-31,2017-01-05,29,True,False
2017-02-06,2.05,2017-01-31,2017-02-06,0,True,False
2017-02-07,2.05,2017-01-31,2017-02-06,1,True,False
2017-02-08,2.05,2017-01-31,2017-02-06,2,True,False
2017-02-09,2.05,2017-01-31,2017-02-06,3,True,False
2017-02-10,2.05,2017-01-31,2017-02-06,4,True,False
2017-02-13,2.05,2017-01-31,2017-02-06,7,True,False
2017-02-14,2.05,2017-01-31,2017-02-06,8,True,False
2017-02-15,2.05,2017-01-31,2017-02-06,9,True,False
2017-02-16,2.05,2017-01-31,2017-02-06,10,True,False
2017-02-17,2.05,2017-01-31,2017-02-06,11,True,False
2017-02-21,2.05,2017-01-31,2017-02-06,15,True,False
2017-02-22,2.05,2017-01-31,2017-02-06,16,True,False
2017-02-23,2.05,2017-01-31,2017-02-06,17,True,False
2017-02-24,2.05,2017-01-31,2017-02-06,18,True,False
2017-02-27,2.05,2017-01-31,2017-02-06,21,True,False
2017-02-28,2.05,2017-01-31,2017-02-06,22,True,False
2017-03-01,2.05,2017-01-31,2017-02-06,23,True,False
2017-03-02,1.544,2017-02-28,2017-03-02,0,True,False
2017-03-03,1.544,2017-02-28,2017-03-02,1,True,False
2017-03-06,1.544,2017-02-28,2017-03-02,4,True,False
2017-03-07,1.544,2017-02-28,2017-03-02,5,True,False
2017-03-08,1.544,2017-02-28,2017-03-02,6,True,False
2017-03-09,1.544,2017-02-28,2017-03-02,7,True,False
2017-03-10,1.544,2017-02-28,2017-03-02,8,True,False
2017-03-13,1.544,2017-02-28,2017-03-02,11,True,False
2017-03-14,1.544,2017-02-28,2017-03-02,12,True,False
2017-03-15,1.544,2017-02-28,2017-03-02,13,True,False
2017-03-16,1.544,2017-02-28,2017-03-02,14,True,False
2017-03-17,1.544,2017-02-28,2017-03-02,15,True,False
2017-03-20,1.544,2017-02-28,2017-03-02,18,True,False
2017-03-21,1.544,2017-02-28,2017-03-02,19,True,False
2017-03-22,1.544,2017-02-28,2017-03-02,20,True,False
2017-03-23,1.544,2017-02-28,2017-03-02,21,True,False
2017-03-24,1.544,2017-02-28,2017-03-02,22,True,False
2017-03-27,1.544,2017-02-28,2017-03-02,25,True,False
2017-03-28,1.544,2017-02-28,2017-03-02,26,True,False
2017-03-29,1.544,2017-02-28,2017-03-02,27,True,False
2017-03-30,1.544,2017-02-28,2017-03-02,28,True,False
2017-03-31,1.544,2017-02-28,2017-03-02,29,True,False
2017-04-05,2.94,2017-03-31,2017-04-05,0,True,False
2017-04-06,2.94,2017-03-31,2017-04-05,1,True,False
2017-04-07,2.94,2017-03-31,2017-04-05,2,True,False
2017-04-10,2.94,2017-03-31,2017-04-05,5,True,False
2017-04-11,2.94,2017-03-31,2017-04-05,6,True,False
2017-04-12,2.94,2017-03-31,2017-04-05,7,True,False
2017-04-13,2.94,2017-03-31,2017-04-05,8,True,False
2017-04-17,2.94,2017-03-31,2017-04-05,12,True,False
2017-04-18,2.94,2017-03-31,2017-04-05,13,True,False
2017-04-19,2.94,2017-03-31,2017-04-05,14,True,False
2017-04-20,2.94,2017-03-31,2017-04-05,15,True,False
