date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2017-01-05,0.94,2016-12-31,2017-01-05,0,True,False
2017-02-06,2.05,2017-01-31,2017-02-06,0,True,False
2017-03-02,1.544,2017-02-28,2017-03-02,0,True,False
2017-04-05,2.94,2017-03-31,2017-04-05,0,True,False
2017-05-03,3.532,2017-04-30,2017-05-03,0,True,False
2017-06-07,2.9,2017-05-31,2017-06-07,0,True,False
2017-07-06,1.567,2017-06-30,2017-07-06,0,True,False
2017-08-02,2.073,2017-07-31,2017-08-02,0,True,False
2017-09-07,1.893,2017-08-31,2017-09-07,0,True,False
2017-10-05,1.625,2017-09-30,2017-10-05,0,True,False
2017-11-06,2.533,2017-10-31,2017-11-06,0,True,False
2017-12-07,0.957,2017-11-30,2017-12-07,0,True,False
2018-01-05,1.308,2017-12-31,2018-01-05,0,True,False
2018-02-07,0.973,2018-01-31,2018-02-07,0,True,False
2018-04-05,1.527,2018-03-31,2018-04-05,0,True,False
2018-05-02,2.338,2018-04-30,2018-05-02,0,True,False
2018-06-08,2.251,2018-05-31,2018-06-08,0,True,False
2018-07-06,1.984,2018-06-30,2018-07-06,0,True,False
2018-08-07,1.462,2018-07-31,2018-08-07,0,True,False
2018-09-07,1.775,2018-08-31,2018-09-07,0,True,False
2018-10-03,1.894,2018-09-30,2018-10-03,0,True,False
2018-11-08,1.736,2018-10-31,2018-11-08,0,True,False
2018-12-07,1.036,2018-11-30,2018-12-07,0,True,False
2019-01-07,1.865,2018-12-31,2019-01-07,0,True,False
2019-02-05,2.967,2019-01-31,2019-02-05,0,True,False
2019-03-07,2.117,2019-02-28,2019-03-07,0,True,False
2019-04-08,1.916,2019-03-31,2019-04-08,0,True,False
2019-05-02,2.22,2019-04-30,2019-05-02,0,True,False
2019-06-10,3.977,2019-05-31,2019-06-10,0,True,False
2019-07-10,2.96,2019-06-30,2019-07-10,0,True,False
2019-08-09,1.203,2019-07-31,2019-08-09,0,True,False
2019-09-06,3.342,2019-08-31,2019-09-06,0,True,False
2019-10-14,2.54,2019-09-30,2019-10-14,0,True,False
2019-12-11,2.58,2019-11-30,2019-12-11,0,True,False
2020-01-03,1.74,2019-12-31,2020-01-03,0,True,False
2020-02-05,3.34,2020-01-31,2020-02-05,0,True,False
2020-03-03,2.24,2020-02-29,2020-03-03,0,True,False
2020-04-02,3.45,2020-03-31,2020-04-02,0,True,False
2020-05-06,2.12,2020-04-30,2020-05-06,0,True,False
2020-06-05,1.89,2020-05-31,2020-06-05,0,True,False
2020-07-06,1.72,2020-06-30,2020-07-06,0,True,False
2020-08-05,2.12,2020-07-31,2020-08-05,0,True,False
2020-09-09,1.16,2020-08-31,2020-09-09,0,True,False
2020-10-09,0.01,2020-09-30,2020-10-09,0,True,False
2020-11-09,2.47,2020-10-31,2020-11-09,0,True,False
2020-12-03,1.35,2020-11-30,2020-12-03,0,True,False
2021-01-06,2.48,2020-12-31,2021-01-06,0,False,True
2021-02-08,3.04,2021-01-31,2021-02-08,0,False,True
2021-03-11,2.039,2021-02-28,2021-03-11,0,False,True
2021-04-09,2.851,2021-03-31,2021-04-09,0,False,True
2021-05-06,2.63,2021-04-30,2021-05-06,0,False,True
2021-06-11,2.803,2021-05-31,2021-06-11,0,False,True
2021-07-12,3.417,2021-06-30,2021-07-12,0,False,True
2021-08-05,2.568,2021-07-31,2021-08-05,0,False,True
2021-09-10,1.892,2021-08-31,2021-09-10,0,False,True
2021-10-12,1.24,2021-09-30,2021-10-12,0,False,True
2021-11-09,2.179,2021-10-31,2021-11-09,0,False,True
2021-12-10,1.449,2021-11-30,2021-12-10,0,False,True
2022-01-11,1.002,2021-12-31,2022-01-11,0,False,True
2022-02-02,1.555,2022-01-31,2022-02-02,0,False,True
2022-03-07,2.002,2022-02-28,2022-03-07,0,False,True
2022-04-12,1.714,2022-03-31,2022-04-12,0,False,True
2022-05-09,1.35,2022-04-30,2022-05-09,0,False,True
2022-06-03,3.378,2022-05-31,2022-06-03,0,False,True
2022-07-07,2.92,2022-06-30,2022-07-07,0,False,True
2022-08-04,1.291,2022-07-31,2022-08-04,0,False,True
2022-09-09,1.446,2022-08-31,2022-09-09,0,False,True
2022-10-07,0.927,2022-09-30,2022-10-07,0,False,True
2022-11-09,1.308,2022-10-31,2022-11-09,0,False,True
2022-12-12,1.453,2022-11-30,2022-12-12,0,False,True
2023-01-05,1.466,2022-12-31,2023-01-05,0,False,True
2023-02-03,1.145,2023-01-31,2023-02-03,0,False,True
2023-03-03,1.963,2023-02-28,2023-03-03,0,False,True
2023-04-06,1.656,2023-03-31,2023-04-06,0,False,True
2023-05-05,2.18,2023-04-30,2023-05-05,0,False,True
2023-06-12,2.893,2023-05-31,2023-06-12,0,False,True
2023-07-07,1.62,2023-06-30,2023-07-07,0,False,True
2023-08-09,2.613,2023-07-31,2023-08-09,0,False,True
2023-09-07,1.869,2023-08-31,2023-09-07,0,False,True
2023-10-10,1.383,2023-09-30,2023-10-10,0,False,True
2023-11-02,1.736,2023-10-31,2023-11-02,0,False,True
2023-12-11,1.246,2023-11-30,2023-12-11,0,False,True
