date,Open,High,Low,Close,Volume,sample
2015-01-02,53.7600,55.1100,52.0300,52.6900,268708,in
2015-01-05,52.6100,52.7300,49.6800,50.0400,375782,in
2015-01-06,50.0000,50.3700,47.5500,47.9300,451642,in
2015-01-07,48.0000,49.3100,46.8300,48.6500,460083,in
2015-01-08,48.7800,49.6500,47.7300,48.7900,362081,in
2015-01-09,48.9200,49.6100,47.1600,48.3600,421007,in
2015-01-12,48.1900,48.1900,45.6200,46.0700,394946,in
2015-01-13,45.6900,46.7900,44.2000,45.8900,476541,in
2015-01-14,46.1600,48.9100,45.0100,48.4800,510252,in
2015-01-15,48.6000,51.2700,46.0700,46.2500,478340,in
2015-01-16,46.3500,48.8700,45.9500,48.6900,175626,in
2015-01-20,48.6900,48.7700,45.8900,46.3900,438892,in
2015-01-21,46.6900,48.2000,46.5500,47.7800,340252,in
2015-01-22,47.3500,49.0900,45.8700,46.3100,426829,in
2015-01-23,46.6300,47.7600,45.2100,45.5900,374289,in
2015-01-26,45.2000,46.4100,44.3500,45.1500,310638,in
2015-01-27,45.1300,46.5500,44.8100,46.2300,313141,in
2015-01-28,45.8300,45.8300,44.0800,44.4500,365440,in
2015-01-29,44.4300,44.9600,43.5800,44.5300,300732,in
2015-01-30,44.6300,48.3500,44.3100,48.2400,454142,in
2015-02-02,47.5900,50.5600,46.6700,49.5700,511409,in
2015-02-03,49.7900,54.2400,49.6900,53.0500,644919,in
2015-02-04,51.6700,52.5600,47.9500,48.4500,577515,in
2015-02-05,48.6700,52.1000,47.3600,50.4800,596851,in
2015-02-06,50.8600,53.1600,50.7200,51.6900,584976,in
2015-02-09,52.0100,53.9900,51.6500,52.8600,536364,in
2015-02-10,52.4300,52.6500,49.8600,50.0200,501701,in
2015-02-11,50.9800,51.1400,48.0500,48.8400,519272,in
2015-02-12,49.4200,51.6000,49.1400,51.2100,563662,in
2015-02-13,51.3500,53.4300,51.0300,52.7800,437072,in
2015-02-17,52.7500,54.1500,50.8100,53.5300,518799,in
2015-02-18,53.2400,53.4100,50.3200,52.1400,257476,in
2015-02-19,50.5500,52.1400,49.1500,51.1600,125210,in
2015-02-20,51.2400,51.8500,49.9100,50.3400,366125,in
2015-02-23,50.7500,50.9900,48.6700,49.4500,475383,in
2015-02-24,49.4200,50.3300,48.6800,49.2800,293101,in
2015-02-25,49.1600,51.2800,48.4300,50.9900,429524,in
2015-02-26,51.0000,51.2200,47.8000,48.1700,459584,in
2015-02-27,48.9700,49.9400,48.4600,49.7600,399494,in
2015-03-02,49.4500,51.0400,48.7100,49.5900,427177,in
2015-03-03,49.8000,50.8300,49.4500,50.5200,370597,in
2015-03-04,50.6100,51.9900,49.6000,51.5300,463989,in
2015-03-05,51.6200,52.4000,50.6100,50.7600,370953,in
2015-03-06,50.8900,51.2200,48.8800,49.6100,406840,in
2015-03-09,49.6000,50.7900,49.2500,50.0000,409877,in
2015-03-10,50.0800,50.3600,48.2000,48.2900,395761,in
2015-03-11,48.7700,49.0500,47.3300,48.1700,404590,in
2015-03-12,48.4400,48.7600,46.8600,47.0500,358381,in
2015-03-13,46.9300,47.2800,44.7500,44.8400,395722,in
2015-03-16,44.8100,45.0000,42.8500,43.8800,367600,in
2015-03-17,43.8400,44.2000,42.4100,43.4600,346310,in
2015-03-18,42.5100,45.3400,42.0300,44.6600,220638,in
2015-03-19,44.6000,44.7100,42.7500,43.9600,106907,in
2015-03-20,43.9900,46.5300,43.3100,45.7200,379180,in
2015-03-23,46.4100,47.6100,45.3300,47.4500,292417,in
2015-03-24,47.4600,48.5600,46.6700,47.5100,309553,in
2015-03-25,47.7200,49.4600,47.0000,49.2100,398795,in
2015-03-26,49.0200,52.4800,48.7300,51.4300,515277,in
2015-03-27,51.0100,51.3800,48.2100,48.8700,384092,in
2015-03-30,48.5700,49.1600,47.6100,48.6800,355866,in
2015-03-31,48.7300,48.7300,47.2800,47.6000,365748,in
2015-04-01,47.5500,50.4500,47.0500,50.0900,451104,in
2015-04-02,49.5900,50.2700,48.1100,49.1400,453394,in
2015-04-06,49.4700,52.2400,49.4700,52.1400,325282,in
2015-04-07,51.9500,54.1300,51.1700,53.9800,548870,in
2015-04-08,53.1800,53.2300,50.3700,50.4200,552627,in
2015-04-09,51.0000,52.0700,50.5100,50.7900,449531,in
2015-04-10,50.7300,51.9300,50.0800,51.6400,395135,in
2015-04-13,51.8100,53.1000,51.4700,51.9100,375534,in
2015-04-14,52.0500,53.7900,51.8300,53.2900,431026,in
2015-04-15,53.5500,56.6900,53.3900,56.3900,508904,in
2015-04-16,55.9200,57.4200,55.0700,56.7100,413134,in
2015-04-17,56.5600,56.8800,55.3100,55.7400,230623,in
2015-04-20,56.1600,57.1700,54.8500,56.3800,112382,in
2015-04-21,56.4100,56.9100,55.0100,55.2600,354244,in
2015-04-22,56.3400,57.1900,55.7300,56.1600,329631,in
2015-04-23,56.2800,58.4100,55.7600,57.7400,415569,in
2015-04-24,57.5300,57.9500,56.5000,57.1500,328322,in
2015-04-27,57.3000,57.8900,56.5200,56.9900,250558,in
2015-04-28,56.6500,57.8300,56.0700,57.0600,281864,in
2015-04-29,56.9300,59.3300,56.5400,58.5800,411097,in
2015-04-30,58.5500,59.8500,58.3800,59.6300,340322,in
2015-05-01,59.7900,59.9000,58.3200,59.1500,244753,in
2015-05-04,59.3000,59.7300,58.4500,58.9300,215046,in
2015-05-05,58.9500,61.1000,58.6300,60.4000,389743,in
2015-05-06,60.7200,62.5800,60.5400,60.9300,423583,in
2015-05-07,60.6900,61.3100,58.4900,58.9400,437022,in
2015-05-08,59.0200,59.9000,58.1400,59.3900,434575,in
2015-05-11,59.4300,59.8500,58.7500,59.2500,332694,in
2015-05-12,59.2700,61.3600,59.1200,60.7500,397345,in
2015-05-13,61.2300,61.8500,60.0200,60.5000,426835,in
2015-05-14,60.1000,60.8400,59.3600,59.8800,361432,in
2015-05-15,59.6700,59.9700,58.4200,59.6900,222089,in
2015-05-18,59.8500,60.8800,59.0600,59.4300,144389,in
2015-05-19,59.5400,59.6300,57.0900,57.2600,336779,in
2015-05-20,58.3200,59.0400,58.1000,58.9800,287129,in
2015-05-21,58.8100,60.9400,58.6900,60.7200,329765,in
2015-05-22,60.6600,60.8000,59.3500,59.7200,230307,in
2015-05-26,60.0500,60.2500,57.7100,58.0300,330128,in
2015-05-27,58.3200,58.9500,57.3600,57.5100,314917,in
2015-05-28,57.6300,58.0700,56.5100,57.6800,340682,in
2015-05-29,57.9700,60.7000,57.7200,60.3000,452222,in
2015-06-01,60.2900,60.6400,59.3300,60.2000,292189,in
2015-06-02,60.1800,61.5800,60.0900,61.2600,344508,in
2015-06-03,61.0200,61.4300,59.3400,59.6400,371298,in
2015-06-04,59.5700,59.9400,57.8300,58.0000,363345,in
2015-06-05,57.9900,59.2300,56.8300,59.1300,461016,in
2015-06-08,58.9600,59.1300,57.8600,58.1400,339845,in
2015-06-09,58.3100,60.6800,58.2300,60.1400,405486,in
2015-06-10,60.5800,61.8200,60.4500,61.4300,459765,in
2015-06-11,61.1400,61.5300,60.2100,60.7700,352421,in
2015-06-12,60.5500,60.6300,59.7300,59.9600,246898,in
2015-06-15,59.9000,59.9800,58.7300,59.5200,275187,in
2015-06-16,59.6000,60.3700,59.4200,59.9700,233935,in
2015-06-17,60.0300,61.3800,58.8500,59.9200,396155,in
2015-06-18,59.7800,60.8900,59.2500,60.4500,181875,in
2015-06-19,60.5000,60.5600,58.8800,59.6100,116656,in
2015-06-22,59.4400,60.3000,58.9300,59.6800,255306,in
2015-06-23,60.2100,61.4900,59.5500,61.0100,336224,in
2015-06-24,61.1400,61.5700,59.8000,60.2700,312985,in
2015-06-25,60.2200,60.4600,59.4300,59.7000,222341,in
2015-06-26,59.6600,59.9600,58.7600,59.6300,231957,in
2015-06-29,58.8400,59.2700,58.0400,58.3300,286035,in
2015-06-30,58.2700,59.6900,57.9400,59.4700,282475,in
2015-07-01,58.9800,58.9800,56.6800,56.9600,373405,in
2015-07-02,56.8700,57.9500,56.5000,56.9300,297050,in
2015-07-06,54.9000,55.3400,52.4100,52.5300,540608,in
2015-07-07,52.7500,53.4300,50.5800,52.3300,527267,in
2015-07-08,52.9100,52.9600,50.9100,51.6500,434752,in
2015-07-09,51.8300,53.5400,51.4800,52.7800,382334,in
2015-07-10,52.4800,53.8900,51.9600,52.7400,349075,in
2015-07-13,52.1500,53.1700,51.2600,52.2000,359477,in
2015-07-14,52.0000,53.4300,50.8800,53.0400,422756,in
2015-07-15,53.4000,53.5000,51.2100,51.4100,334563,in
2015-07-16,51.6200,52.1700,50.8400,50.9100,319167,in
2015-07-17,50.9100,51.2300,50.1400,50.8900,203485,in
2015-07-20,50.7600,51.2600,49.8500,50.1500,102597,in
2015-07-21,49.9500,51.0200,49.7700,50.3600,254321,in
2015-07-22,50.7100,50.7100,49.0400,49.1900,347986,in
2015-07-23,49.2300,49.6300,48.2100,48.4500,316060,in
2015-07-24,48.7900,49.0300,47.7200,48.1400,278233,in
2015-07-27,48.0000,48.2000,46.9100,47.3900,273614,in
2015-07-28,47.0200,48.4400,46.6800,47.9800,338107,in
2015-07-29,47.8100,49.5200,47.3900,48.7900,366893,in
2015-07-30,48.8300,49.3600,48.3400,48.5200,247662,in
2015-07-31,48.4700,48.6200,46.7000,47.1200,334474,in
2015-08-03,46.8600,46.9400,45.0800,45.1700,371085,in
2015-08-04,45.3500,46.2300,45.2900,45.7400,285786,in
2015-08-05,45.9600,46.7000,44.8300,45.1500,367326,in
2015-08-06,45.1600,45.2700,44.2000,44.6600,360977,in
2015-08-07,44.8200,45.1600,43.7000,43.8700,400070,in
2015-08-10,43.5800,45.0100,43.3500,44.9600,491433,in
2015-08-11,44.8100,45.3400,42.6900,43.0800,538005,in
2015-08-12,43.2700,43.8700,42.8000,43.3000,492271,in
2015-08-13,43.3400,43.7200,41.9100,42.2300,420146,in
2015-08-14,42.2300,42.9600,41.3500,42.5000,317211,in
2015-08-17,42.1800,42.6900,41.6400,41.8700,314275,in
2015-08-18,41.8800,42.9000,41.4300,42.6200,200185,in
