factor,n,ic_same,p_same,ic_fwd20,p_fwd,ic_xosb20,p_x,ic_fwd_oos,p_oos,ic_xosb_oos
z_HLX_WTI,3461,0.10505248172456864,4.637514907731648e-10,-0.09135037646730683,7.305759197287788e-08,0.054025747984297844,0.001475176391141018,-0.07259557011257106,0.05184566786676869,0.14248857275087765
VIX_lvl,4544,-0.06408818386962015,1.3586714194431017e-05,0.08399198977504542,1.4255075068249174e-08,-0.06281720737915471,2.2604480510052164e-05,0.1408338169875258,3.4065382191678014e-08,-0.04226321964313836
HLX_rv20,4484,-0.005488165988571846,0.7114913732825757,0.07191107939632613,1.4337343469213063e-06,-0.013015832386224585,0.3835527733857018,0.14091531071913263,6.221490734172337e-08,-0.11029341454353321
z_HLX_OSB,3989,0.08193794531402306,1.9077651858016557e-07,-0.06554666921064703,3.428076468539606e-05,0.034512574038148953,0.0292775087244097,-0.14072210033249766,1.0874039560348752e-05,0.014691562312915412
HLX_mom60,4364,0.10721044927289167,8.709186065708373e-13,-0.06316942034449805,2.9670085722601827e-05,0.014739652451159688,0.33031285720431386,-0.12493657120745176,4.38415778543734e-06,0.04769865126937132
WTI_mom20,4482,0.10706693382769336,4.726802964238959e-13,0.052670329815397154,0.00041930633041617835,0.06413487752101041,1.73194284282441e-05,0.008120666431742456,0.7530884121948661,0.00340005811534706
OSB_rv20,4484,-0.007363388745059306,0.6197319371498325,0.04888878456977993,0.0010574829762459049,-0.04402808763646379,0.003189623657014524,0.08470387094653212,0.0011831394503628834,-0.1066111543494282
OSB_mom20,4484,0.14688840065126485,2.4485427430587752e-23,0.04673543096063689,0.0017458776262944406,0.08504633848625974,1.1724934543929562e-08,0.09392808064168957,0.00032121969071074346,0.16188051887963012
HLX_minus_OSB_20,4484,0.14309056193306277,3.232750775568503e-22,-0.04634355847673917,0.0019086445661599097,0.024805285789287812,0.09674945358075705,-0.22671047812911319,1.654860325683726e-18,-0.14544567313889423
SN27,4179,0.014994899556286733,0.330586267794137,0.04351431507046138,0.004900812432949388,0.03942777696549011,0.01080184901395127,0.036451367025805495,0.19074658751172927,0.1372048732403952
DXY,4538,-0.17377976196593795,1.7010276606265796e-32,-0.027871927150815032,0.06045906130665052,-0.017971362947552014,0.22612569999436483,-0.0012352558068319487,0.9616083430816585,0.012602899928074288
BRENT,4449,0.4585116551595017,3.8123405902603825e-233,0.023875292352010673,0.11132154632605108,0.023374891962198285,0.1190201840999246,0.04422806472613824,0.08444544147021774,0.04941711763209513
WTI,4539,0.4704704889224593,5.840516520232287e-252,0.023443222625324178,0.11428992269738149,0.025437316888481897,0.08660759478037271,0.03595215815826831,0.16094634949062092,0.04142122488822254
ULSD,4538,0.42180067209330835,1.123577353704958e-197,0.022336995370966607,0.13245326766174761,0.009519948295473143,0.521427753256773,0.04301110174627552,0.09336002992278762,0.012274261163958182
RBOB,4538,0.38603657923540313,3.4556247240886086e-163,0.022274172760945888,0.13354570672942317,0.012835838475918024,0.38732451370374577,0.04742270892875961,0.06428146292996936,0.033453355487499815
USO,4541,0.5010576035052421,4.603171595780275e-291,0.021877543398571477,0.14047316646277982,0.025942310602501645,0.08046647378879936,0.018010386354473423,0.4828953589445701,0.028053530670959368
BKR,4541,0.6145844654176578,0.0,0.016188404150888062,0.27542331280129684,0.015268435640624915,0.3036348232235866,0.04150521356811538,0.10576243692254793,0.05813895402566364
HYG,4541,0.40469375480553105,6.960237781060348e-181,0.015823356935326837,0.28639614769819727,0.008626170741800557,0.5611447205414933,-0.002885232178999666,0.9105104163848512,-0.0020487845963462078
Ap,4531,0.0071459856860554335,0.6284900097171261,-0.01277439494545884,0.3899671843827021,-0.000701458579398602,0.9623505987850116,-0.009854318283810521,0.7014387493970863,0.026371148891244135
HLX_mom20,4484,0.1942506273718874,7.0226727814551305e-40,0.012206584022006079,0.4138209509310086,0.0839496571336982,1.8034942911343186e-08,-0.03798872042380118,0.1464127128697254,0.050872185569858015
FTI,4541,0.6447104524827869,0.0,0.010120890157727366,0.49533662405097795,0.02181645790227847,0.14158488881028408,-0.005639043404007672,0.8261271849195119,0.03267808434897415
OSB,4541,0.7497481556982851,0.0,0.008259484953077182,0.5779116744703774,0.019444297108336197,0.19017728371805961,0.01274572988274527,0.6195195437356691,0.04321983140711102
OIH,4541,0.7637346708183074,0.0,0.0074757968757677646,0.6145147723128135,0.015911793279111942,0.2837111555426913,0.011163747222469753,0.6636361186046873,0.03878621252086605
VIX_chg,4541,-0.3975608228472838,4.582094614017606e-174,-0.006881287483081289,0.6429438492763188,-0.014654603756541347,0.3234906508001322,0.022978853888157395,0.3706471367509882,0.004105429671864911
XLE,4541,0.7024931107513693,0.0,0.005269660621774903,0.7225813364077818,0.02161386943980081,0.14532028951474138,0.00674954497809055,0.7926028238108803,0.03952378681185084
RBOB_CRK,4537,0.009297299412650202,0.528646902571471,0.004666093150950609,0.7533612897606714,-0.012492470731014288,0.4002025642392596,0.022922526851733207,0.371506476961442,-0.005239497816971068
SPY,4541,0.4790689833464597,1.033647631041608e-262,-0.004335042194286007,0.7702513102644841,0.012586818387899861,0.396445052674767,-0.033128773359471154,0.19674212934262608,-0.01037582402066969
ULSD_CRK,4537,0.03539086098866615,0.016434576410184063,0.0033966070140351453,0.8190836357189787,-0.014173907669705775,0.33983040277418125,0.03213220748721138,0.210256097131496,-0.01468613470044432
TDW,4541,0.5949950275539803,0.0,-0.000802459302241573,0.956887042091228,0.0070140626659816125,0.6365471605785924,0.008786417449880058,0.7321383739826092,0.04031188768220375
UPB,4541,0.6599289772585333,0.0,-0.0003957560392479822,0.9787297619083375,0.021677331366720193,0.14414212663011072,0.005169248268709173,0.8404093133181236,0.03983644110139007
