h,mean_daily_active,mean_CAR,n
1,0.0073177530341799295,0.0073177530341799295,37
2,0.007422012821669239,0.014739765855849168,37
3,0.004279016050493988,0.019018781906343155,37
4,0.00436927612007462,0.023388058026417777,37
5,-0.0026382927869971645,0.02074976523942061,37
6,-0.0005276929983043081,0.020222072241116305,37
7,-0.006697557382357694,0.01352451485875861,37
8,-0.0037404672781082547,0.009784047580650355,37
9,-0.006943282111601836,0.0028407654690485173,37
10,0.00225173725541472,0.005092502724463237,37
11,0.003013991359457748,0.008106494083920985,37
12,-0.001516601013502635,0.00658989307041835,37
13,0.00046634319793132446,0.007056236268349675,37
14,0.007655856743012427,0.014712093011362103,37
15,-0.005686881108533622,0.009025211902828482,37
16,0.012148470793709086,0.021173682696537566,37
17,-0.0036603132191998355,0.01751336947733773,37
18,0.015049126522349856,0.032562495999687587,37
19,0.008053020241467342,0.04061551624115493,37
20,-0.006637173497542974,0.03397834274361195,37
21,0.004995938415997272,0.03897428115960923,37
22,-0.002422708612281126,0.036551572547328104,37
23,-0.00033243552947595344,0.03621913701785215,37
24,-0.0038536131506083453,0.032365523867243805,37
25,-0.0056393748909114,0.026726148976332402,37
