permit_id,facility_name,city,state,zip,permit_status,permit_type,major_minor,start_date,end_date,raw_file,flow_rows,flow_numeric,flow_outfalls,flow_units,flow_bases,flow_first_date,flow_last_date
OK0026701,"CUSHING, CITY OF  - SOUTH STP",CUSHING,OK,74023,Effective,NPDES Individual Permit,M,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0026701.json,278,278,001,MGD;null,DAILY MX;MO AVG,2015-01-31,2026-07-31
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,OK,74023,Effective,NPDES Individual Permit,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0043320.json,834,286,001;007;008,MGD;null,DAILY MX;MO AVG,2015-01-31,2026-07-31
OK0044598,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-SKULL CK,CUSHING,OK,74023,Effective,NPDES Individual Permit,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0044598.json,278,278,001,gal/d;null,DAILY MX;MO AVG,2015-01-31,2026-07-31
OK0100374,PRIVATE PROPERTY,CUSHING,OK,74023,Terminated,NPDES Individual Permit,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0100374.json,40,8,001;002,null,DAILY MX;MO AVG,2015-01-31,2015-10-31
OKG270057,WILDHORSE TERMINAL,CUSHING,OK,74023,Terminated,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKG270057.json,14,4,001,MGD;null,DAILY MX;MO AVG,2020-07-31,2021-01-31
OKG950028,"STEWART STONE, INC.-CUSHING",CUSHING,OK,74023,Effective,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKG950028.json,278,26,001,MGD;null,DAILY MX;MO AVG,2015-01-31,2026-07-31
OK0044768,"CENTURION PIPELINE, L.P.",CUSHING,OK,74023,Terminated,NPDES Individual Permit,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0044768.json,0,0,,,,,
OK0045641,OKLAHOMA OIL WELL CEMENTING,CUSHING,OK,74023,Not Needed,NPDES Individual Permit,,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OK0045641.json,0,0,,,,,
OKG270018,CENTURION PIPELINE-CUSHING TERMINAL,CUSHING,OK,74023,Not Needed,General Permit Covered Facility,,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKG270018.json,0,0,,,,,
OKG340020,LITTLE FARM,CUSHING,OK,74023,Terminated,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKG340020.json,0,0,,,,,
OKG340050,CUSHING,CUSHING,OK,74023,Terminated,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKG340050.json,0,0,,,,,
OKR05FA05,WILDHORSE TERMINAL,CUSHING,OK,74023,Terminated,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR05FA05.json,0,0,,,,,
OKR10F01J,ENBRIDGE EXTENSION,CUSHING,OK,74023,Terminated,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR10F01J.json,0,0,,,,,
OKR10F024,CUSHING LB,CUSHING,OK,74023,Effective,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR10F024.json,0,0,,,,,
OKR10F034,AE4904 CUSHING 7TH & NOBLE,CUSHING,OK,74023,Effective,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR10F034.json,0,0,,,,,
OKR10F03H,"AE4970 7TH AND NOBLE PH 2, 3, 4, 5 (WO# PENDING)",CUSHING,OK,74023,Effective,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR10F03H.json,0,0,,,,,
OKR10I023,OSAGE PIPELINE,CUSHING,OK,74023,Effective,General Permit Covered Facility,N,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKR10I023.json,0,0,,,,,
OKU000852,"CIRCLE 9 RESOURCES, LLC (SCHOOL LAND 66)",CUSHING,OK,74023,,Unpermitted Facility,,01/01/2015,09/09/2026,research/gathering/raw/091-cushing-dmr/dmr_OKU000852.json,0,0,,,,,
