permit_id,outfall,parameter_code,parameter_desc,monitoring_location,unit,rows
OK0026701,001,00300,"Oxygen, dissolved [DO]",Effluent Gross,,23
OK0026701,001,00300,"Oxygen, dissolved [DO]",Effluent Gross,mg/L,116
OK0026701,001,00310,"BOD, 5-day, 20 deg. C",Effluent Gross,,69
OK0026701,001,00310,"BOD, 5-day, 20 deg. C",Effluent Gross,lb/d,116
OK0026701,001,00310,"BOD, 5-day, 20 deg. C",Effluent Gross,mg/L,232
OK0026701,001,00400,pH,Effluent Gross,,46
OK0026701,001,00400,pH,Effluent Gross,SU,232
OK0026701,001,00530,"Solids, total suspended",Effluent Gross,,69
OK0026701,001,00530,"Solids, total suspended",Effluent Gross,lb/d,116
OK0026701,001,00530,"Solids, total suspended",Effluent Gross,mg/L,232
OK0026701,001,00610,"Nitrogen, ammonia total [as N]",Effluent Gross,,69
OK0026701,001,00610,"Nitrogen, ammonia total [as N]",Effluent Gross,lb/d,116
OK0026701,001,00610,"Nitrogen, ammonia total [as N]",Effluent Gross,mg/L,232
OK0026701,001,01027,"Cadmium, total [as Cd]",Effluent Gross,,33
OK0026701,001,01027,"Cadmium, total [as Cd]",Effluent Gross,lb/d,25
OK0026701,001,01027,"Cadmium, total [as Cd]",Effluent Gross,ug/L,50
OK0026701,001,01042,"Copper, total [as Cu]",Effluent Gross,mg/L,36
OK0026701,001,50050,"Flow, in conduit or thru treatment plant",Effluent Gross,,46
OK0026701,001,50050,"Flow, in conduit or thru treatment plant",Effluent Gross,MGD,232
OK0026701,001,51040,E. coli,Effluent Gross,CFU/100mL,134
OK0026701,001,74055,"Coliform, fecal general",Effluent Gross,,46
OK0026701,001,74055,"Coliform, fecal general",Effluent Gross,#/100mL,98
OK0026701,999,00900,"Hardness, total [as CaCO3]",Effluent Gross,,24
OK0026701,SLD,39516,Polychlorinated biphenyls [PCBs],Sludge,,1
OK0026701,SLD,39516,Polychlorinated biphenyls [PCBs],Sludge,mg/kg,5
OK0026701,SLD,46390,Toxicity characteristic leaching procedure,Sludge,,6
OK0026701,SLD,46390,Toxicity characteristic leaching procedure,Sludge,pass=0;fail=1,5
OK0026701,SLD,49017,Ann. amt sludge disposed by other method,See Comments,,1
OK0026701,SLD,49017,Ann. amt sludge disposed by other method,See Comments,metric t/yr,10
OK0026701,SLD,49018,Annual amt of sludge incinerated,Sludge,,1
OK0026701,SLD,49018,Annual amt of sludge incinerated,Sludge,metric t/yr,10
OK0026701,SLD,49019,"Annual sludge production, total",Sludge,,1
OK0026701,SLD,49019,"Annual sludge production, total",Sludge,metric t/yr,10
OK0026701,SLD,49020,Annual amount of sludge land applied,Sludge,,1
OK0026701,SLD,49020,Annual amount of sludge land applied,Sludge,metric t/yr,10
OK0026701,SLD,49021,Annual amt. sludge disposed surface unit,Sludge,,1
OK0026701,SLD,49021,Annual amt. sludge disposed surface unit,Sludge,metric t/yr,10
OK0026701,SLD,49022,Annual amt sludge disposed in landfill,Sludge,,1
OK0026701,SLD,49022,Annual amt sludge disposed in landfill,Sludge,metric t/yr,10
OK0026701,SLD,49023,Annual amt sludge transported interstate,Sludge,,1
OK0026701,SLD,49023,Annual amt sludge transported interstate,Sludge,metric t/yr,10
OK0026701,SLD,49030,Compliance w/part 258 sludge requirement,Sludge,,10
OK0026701,SLD,49030,Compliance w/part 258 sludge requirement,Sludge,N=0;Y=1,1
OK0026701,SLL,01003,"Arsenic, dry weight",See Comments,,3
OK0026701,SLL,01003,"Arsenic, dry weight",See Comments,kg/ha,10
OK0026701,SLL,01003,"Arsenic, dry weight",See Comments,mg/kg,20
OK0026701,SLL,01148,"Selenium, dry weight",See Comments,,3
OK0026701,SLL,01148,"Selenium, dry weight",See Comments,kg/ha,10
OK0026701,SLL,01148,"Selenium, dry weight",See Comments,mg/kg,20
OK0026701,SLL,39516,Polychlorinated biphenyls [PCBs],Sludge,mg/kg,5
OK0026701,SLL,46394,"Copper, dry weight",See Comments,,3
OK0026701,SLL,46394,"Copper, dry weight",See Comments,kg/ha,10
OK0026701,SLL,46394,"Copper, dry weight",See Comments,mg/kg,20
OK0026701,SLL,46395,"Cadmium, dry weight",See Comments,,3
OK0026701,SLL,46395,"Cadmium, dry weight",See Comments,kg/ha,10
OK0026701,SLL,46395,"Cadmium, dry weight",See Comments,mg/kg,20
OK0026701,SLL,49016,Annual whole sludge application rate,See Comments,,1
OK0026701,SLL,49016,Annual whole sludge application rate,See Comments,met t/ha/yr,10
