permit_id,facility_name,outfall,unit,unit_class,basis,value_type,date,value_raw,value_num,qualifier,nodi_code,nodi_desc,version,received_date
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2016-12-31,.94,0.94,=,,,4,2017-01-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-01-31,2.05,2.05,=,,,4,2017-02-06
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-02-28,1.544,1.544,=,,,4,2017-03-02
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-03-31,2.94,2.94,=,,,4,2017-04-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-04-30,3.532,3.532,=,,,4,2017-05-03
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-05-31,2.9,2.9,=,,,4,2017-06-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-06-30,1.567,1.567,=,,,4,2017-07-06
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-07-31,2.073,2.073,=,,,4,2017-08-02
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-08-31,1.893,1.893,=,,,4,2017-09-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-09-30,1.625,1.625,=,,,4,2017-10-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-10-31,2.533,2.533,=,,,4,2017-11-06
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-11-30,.957,0.957,=,,,4,2017-12-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2017-12-31,1.308,1.308,=,,,4,2018-01-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-01-31,.973,0.973,=,,,4,2018-02-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-02-28,3.137,3.137,=,,,4,2018-04-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-03-31,1.527,1.527,=,,,4,2018-04-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-04-30,2.338,2.338,=,,,4,2018-05-02
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-05-31,2.251,2.251,=,,,4,2018-06-08
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-06-30,1.984,1.984,=,,,4,2018-07-06
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-07-31,1.462,1.462,=,,,4,2018-08-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-08-31,1.775,1.775,=,,,4,2018-09-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-09-30,1.894,1.894,=,,,4,2018-10-03
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-10-31,1.736,1.736,=,,,4,2018-11-08
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-11-30,1.036,1.036,=,,,4,2018-12-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2018-12-31,1.865,1.865,=,,,4,2019-01-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-01-31,2.967,2.967,=,,,4,2019-02-05
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-02-28,2.117,2.117,=,,,4,2019-03-07
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-03-31,1.916,1.916,=,,,4,2019-04-08
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-04-30,2.22,2.22,=,,,4,2019-05-02
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-05-31,3.977,3.977,=,,,4,2019-06-10
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-06-30,2.96,2.96,=,,,4,2019-07-10
OK0026701,"CUSHING, CITY OF  - SOUTH STP",001,MGD,MGD,DAILY MX,Q2,2019-07-31,1.203,1.203,=,,,4,2019-08-09
