permit_id,outfall,unit,basis,window,present,on_wti_days,after_7d_lookback,after_5td_label,numeric_present,numeric_on_wti_days,numeric_after_7d_lookback,numeric_after_5td_label
OK0026701,001,MGD,DAILY MX,train,49,35,35,34,49,35,35,34
OK0026701,001,MGD,DAILY MX,val,36,25,25,25,36,25,25,25
OK0026701,001,MGD,MO AVG,train,49,35,35,34,49,35,35,34
OK0026701,001,MGD,MO AVG,val,36,25,25,25,36,25,25,25
OK0026701,001,null,DAILY MX,train,23,16,16,16,23,16,16,16
OK0026701,001,null,DAILY MX,val,0,0,0,0,0,0,0,0
OK0026701,001,null,MO AVG,train,23,16,16,16,23,16,16,16
OK0026701,001,null,MO AVG,val,0,0,0,0,0,0,0,0
OK0043320,001,MGD,DAILY MX,train,1,1,1,1,1,1,1,1
OK0043320,001,MGD,DAILY MX,val,4,3,3,3,4,3,3,3
OK0043320,001,MGD,MO AVG,train,1,1,1,1,1,1,1,1
OK0043320,001,MGD,MO AVG,val,4,3,3,3,4,3,3,3
OK0043320,001,null,DAILY MX,train,71,50,50,49,0,0,0,0
OK0043320,001,null,DAILY MX,val,32,22,22,22,0,0,0,0
OK0043320,001,null,MO AVG,train,71,50,50,49,0,0,0,0
OK0043320,001,null,MO AVG,val,32,22,22,22,0,0,0,0
OK0043320,007,MGD,DAILY MX,train,24,20,20,19,24,20,20,19
OK0043320,007,MGD,DAILY MX,val,21,14,14,14,21,14,14,14
OK0043320,007,MGD,MO AVG,train,24,20,20,19,24,20,20,19
OK0043320,007,MGD,MO AVG,val,21,14,14,14,21,14,14,14
OK0043320,007,null,DAILY MX,train,48,31,31,31,14,11,11,11
OK0043320,007,null,DAILY MX,val,15,11,11,11,0,0,0,0
OK0043320,007,null,MO AVG,train,48,31,31,31,14,11,11,11
OK0043320,007,null,MO AVG,val,15,11,11,11,0,0,0,0
OK0043320,008,MGD,DAILY MX,train,24,20,20,19,24,20,20,19
OK0043320,008,MGD,DAILY MX,val,21,14,14,14,21,14,14,14
OK0043320,008,MGD,MO AVG,train,24,20,20,19,24,20,20,19
OK0043320,008,MGD,MO AVG,val,21,14,14,14,21,14,14,14
OK0043320,008,null,DAILY MX,train,48,31,31,31,14,11,11,11
OK0043320,008,null,DAILY MX,val,15,11,11,11,0,0,0,0
OK0043320,008,null,MO AVG,train,48,31,31,31,14,11,11,11
OK0043320,008,null,MO AVG,val,15,11,11,11,0,0,0,0
OK0044598,001,gal/d,DAILY MX,train,48,35,35,34,48,35,35,34
OK0044598,001,gal/d,DAILY MX,val,36,25,25,25,36,25,25,25
OK0044598,001,gal/d,MO AVG,train,48,35,35,34,48,35,35,34
OK0044598,001,gal/d,MO AVG,val,36,25,25,25,36,25,25,25
OK0044598,001,null,DAILY MX,train,24,16,16,16,24,16,16,16
OK0044598,001,null,DAILY MX,val,0,0,0,0,0,0,0,0
OK0044598,001,null,MO AVG,train,24,16,16,16,24,16,16,16
OK0044598,001,null,MO AVG,val,0,0,0,0,0,0,0,0
OK0100374,001,null,DAILY MX,train,10,6,6,6,4,2,2,2
OK0100374,001,null,DAILY MX,val,0,0,0,0,0,0,0,0
OK0100374,001,null,MO AVG,train,10,6,6,6,4,2,2,2
OK0100374,001,null,MO AVG,val,0,0,0,0,0,0,0,0
OK0100374,002,null,DAILY MX,train,10,6,6,6,0,0,0,0
OK0100374,002,null,DAILY MX,val,0,0,0,0,0,0,0,0
OK0100374,002,null,MO AVG,train,10,6,6,6,0,0,0,0
OK0100374,002,null,MO AVG,val,0,0,0,0,0,0,0,0
OKG270057,001,MGD,DAILY MX,train,2,2,2,2,2,2,2,2
OKG270057,001,MGD,DAILY MX,val,0,0,0,0,0,0,0,0
OKG270057,001,MGD,MO AVG,train,2,2,2,2,2,2,2,2
OKG270057,001,MGD,MO AVG,val,0,0,0,0,0,0,0,0
OKG270057,001,null,DAILY MX,train,4,3,3,2,0,0,0,0
OKG270057,001,null,DAILY MX,val,1,0,0,0,0,0,0,0
OKG270057,001,null,MO AVG,train,4,3,3,2,0,0,0,0
OKG270057,001,null,MO AVG,val,1,0,0,0,0,0,0,0
OKG950028,001,MGD,DAILY MX,train,6,6,6,6,6,6,6,6
OKG950028,001,MGD,DAILY MX,val,3,1,1,1,3,1,1,1
OKG950028,001,MGD,MO AVG,train,6,6,6,6,6,6,6,6
OKG950028,001,MGD,MO AVG,val,3,1,1,1,3,1,1,1
OKG950028,001,null,DAILY MX,train,66,45,45,44,2,1,1,1
OKG950028,001,null,DAILY MX,val,33,24,24,24,0,0,0,0
OKG950028,001,null,MO AVG,train,66,45,45,44,2,1,1,1
OKG950028,001,null,MO AVG,val,33,24,24,24,0,0,0,0
