permit_id,outfall,unit_class,basis,date,value_raw,nodi_code
OK0026701,001,MGD,DAILY MX,2023-01-31,1.145,
OK0026701,001,MGD,DAILY MX,2023-02-28,1.963,
OK0026701,001,MGD,DAILY MX,2023-03-31,1.656,
OK0026701,001,MGD,DAILY MX,2023-04-30,2.18,
OK0026701,001,MGD,DAILY MX,2023-05-31,2.893,
OK0026701,001,MGD,DAILY MX,2023-06-30,1.62,
OK0026701,001,MGD,DAILY MX,2023-07-31,2.613,
OK0026701,001,MGD,DAILY MX,2023-08-31,1.869,
OK0026701,001,MGD,DAILY MX,2023-09-30,1.383,
OK0026701,001,MGD,DAILY MX,2023-10-31,1.736,
OK0026701,001,MGD,DAILY MX,2023-11-30,1.246,
OK0026701,001,MGD,DAILY MX,2023-12-31,2.442,
OK0026701,001,MGD,MO AVG,2023-01-31,.805,
OK0026701,001,MGD,MO AVG,2023-02-28,.983,
OK0026701,001,MGD,MO AVG,2023-03-31,.909,
OK0026701,001,MGD,MO AVG,2023-04-30,.9,
OK0026701,001,MGD,MO AVG,2023-05-31,1.396,
OK0026701,001,MGD,MO AVG,2023-06-30,1.042,
OK0026701,001,MGD,MO AVG,2023-07-31,1.323,
OK0026701,001,MGD,MO AVG,2023-08-31,1.023,
OK0026701,001,MGD,MO AVG,2023-09-30,.811,
OK0026701,001,MGD,MO AVG,2023-10-31,.844,
OK0026701,001,MGD,MO AVG,2023-11-30,.802,
OK0026701,001,MGD,MO AVG,2023-12-31,.953,
OK0043320,001,null,DAILY MX,2023-01-31,,C
OK0043320,001,null,DAILY MX,2023-02-28,,C
OK0043320,001,null,DAILY MX,2023-03-31,,C
OK0043320,001,null,DAILY MX,2023-04-30,,C
OK0043320,001,null,DAILY MX,2023-05-31,,C
OK0043320,001,null,DAILY MX,2023-06-30,,C
OK0043320,001,null,DAILY MX,2023-07-31,,C
OK0043320,001,null,DAILY MX,2023-08-31,,C
OK0043320,001,null,DAILY MX,2023-09-30,,C
OK0043320,001,null,DAILY MX,2023-10-31,,C
OK0043320,001,null,DAILY MX,2023-11-30,,C
OK0043320,001,null,DAILY MX,2023-12-31,,C
OK0043320,001,null,MO AVG,2023-01-31,,C
OK0043320,001,null,MO AVG,2023-02-28,,C
OK0043320,001,null,MO AVG,2023-03-31,,C
OK0043320,001,null,MO AVG,2023-04-30,,C
OK0043320,001,null,MO AVG,2023-05-31,,C
OK0043320,001,null,MO AVG,2023-06-30,,C
OK0043320,001,null,MO AVG,2023-07-31,,C
OK0043320,001,null,MO AVG,2023-08-31,,C
OK0043320,001,null,MO AVG,2023-09-30,,C
OK0043320,001,null,MO AVG,2023-10-31,,C
OK0043320,001,null,MO AVG,2023-11-30,,C
OK0043320,001,null,MO AVG,2023-12-31,,C
OK0043320,007,MGD,DAILY MX,2023-03-31,.09,
OK0043320,007,MGD,DAILY MX,2023-06-30,.09,
OK0043320,007,MGD,DAILY MX,2023-08-31,.09,
OK0043320,007,MGD,DAILY MX,2023-09-30,.09,
OK0043320,007,MGD,DAILY MX,2023-12-31,.09,
OK0043320,007,MGD,MO AVG,2023-03-31,.09,
OK0043320,007,MGD,MO AVG,2023-06-30,.09,
OK0043320,007,MGD,MO AVG,2023-08-31,.09,
OK0043320,007,MGD,MO AVG,2023-09-30,.09,
OK0043320,007,MGD,MO AVG,2023-12-31,.09,
OK0043320,007,null,DAILY MX,2023-01-31,,C
OK0043320,007,null,DAILY MX,2023-02-28,,C
OK0043320,007,null,DAILY MX,2023-04-30,,C
OK0043320,007,null,DAILY MX,2023-05-31,,C
OK0043320,007,null,DAILY MX,2023-07-31,,C
OK0043320,007,null,DAILY MX,2023-10-31,,C
OK0043320,007,null,DAILY MX,2023-11-30,,C
OK0043320,007,null,MO AVG,2023-01-31,,C
OK0043320,007,null,MO AVG,2023-02-28,,C
OK0043320,007,null,MO AVG,2023-04-30,,C
OK0043320,007,null,MO AVG,2023-05-31,,C
OK0043320,007,null,MO AVG,2023-07-31,,C
OK0043320,007,null,MO AVG,2023-10-31,,C
OK0043320,007,null,MO AVG,2023-11-30,,C
OK0043320,008,MGD,DAILY MX,2023-03-31,.09,
OK0043320,008,MGD,DAILY MX,2023-06-30,.09,
OK0043320,008,MGD,DAILY MX,2023-08-31,.09,
OK0043320,008,MGD,DAILY MX,2023-09-30,.09,
OK0043320,008,MGD,DAILY MX,2023-12-31,.09,
OK0043320,008,MGD,MO AVG,2023-03-31,.09,
