report_week,padd2_crude_kbbl,padd3_crude_kbbl,padd2_util_pct,padd3_util_pct,cushing_crude_kbbl,available_date,padd2_crude_kbbl_z52,padd3_crude_kbbl_z52,padd_stock_gap_z52,utilization_gap_pp,future_4w_cushing_change_kbbl,date,future_20d_rv,sample
2010-06-04,92421.000000,162294.000000,92.400000,92.000000,37416.000000,2010-06-09,,,,0.400000,-1611.000000,2015-01-02,0.616562,in
2010-06-11,94110.000000,162546.000000,90.900000,91.300000,37610.000000,2010-06-16,,,,-0.400000,-1491.000000,2015-01-02,0.616562,in
2010-06-18,93479.000000,164648.000000,93.500000,90.800000,36784.000000,2010-06-23,,,,2.700000,320.000000,2015-01-02,0.616562,in
2010-06-25,93305.000000,167146.000000,92.200000,88.800000,35989.000000,2010-06-30,,,,3.400000,1181.000000,2015-01-02,0.616562,in
2010-07-02,92336.000000,166268.000000,93.800000,89.000000,35805.000000,2010-07-07,,,,4.800000,2031.000000,2015-01-02,0.616562,in
2010-07-09,92512.000000,161509.000000,95.100000,91.500000,36119.000000,2010-07-14,,,,3.600000,1603.000000,2015-01-02,0.616562,in
2010-07-16,93496.000000,160554.000000,93.300000,92.800000,37104.000000,2010-07-21,,,,0.500000,-69.000000,2015-01-02,0.616562,in
2010-07-23,95368.000000,168738.000000,92.300000,92.500000,37170.000000,2010-07-28,,,,-0.200000,-914.000000,2015-01-02,0.616562,in
2010-07-30,95660.000000,164974.000000,94.200000,93.800000,37836.000000,2010-08-04,,,,0.400000,-2083.000000,2015-01-02,0.616562,in
2010-08-06,93341.000000,165637.000000,93.300000,91.300000,37722.000000,2010-08-11,,,,2.000000,-2187.000000,2015-01-02,0.616562,in
2010-08-13,93191.000000,164365.000000,95.400000,92.800000,37035.000000,2010-08-18,,,,2.600000,-2081.000000,2015-01-02,0.616562,in
2010-08-20,91828.000000,168876.000000,94.400000,87.800000,36256.000000,2010-08-25,,,,6.600000,-1512.000000,2015-01-02,0.616562,in
2010-08-27,91752.000000,172043.000000,92.600000,87.000000,35753.000000,2010-09-01,,,,5.600000,-1408.000000,2015-01-02,0.616562,in
2010-09-03,90719.000000,170722.000000,89.500000,91.900000,35535.000000,2010-09-08,,,,-2.400000,-441.000000,2015-01-02,0.616562,in
2010-09-10,89667.000000,168785.000000,90.500000,89.900000,34954.000000,2010-09-15,,,,0.600000,107.000000,2015-01-02,0.616562,in
2010-09-17,88768.000000,169313.000000,91.100000,89.900000,34744.000000,2010-09-22,,,,1.200000,-734.000000,2015-01-02,0.616562,in
2010-09-24,88671.000000,170386.000000,91.600000,86.300000,34345.000000,2010-09-29,,,,5.300000,-686.000000,2015-01-02,0.616562,in
2010-10-01,89244.000000,172260.000000,89.700000,85.500000,35094.000000,2010-10-06,,,,4.200000,-1549.000000,2015-01-02,0.616562,in
2010-10-08,90534.000000,172661.000000,87.200000,84.800000,35061.000000,2010-10-13,,,,2.400000,-3262.000000,2015-01-02,0.616562,in
2010-10-15,87015.000000,173838.000000,86.100000,86.200000,34010.000000,2010-10-20,,,,-0.100000,-945.000000,2015-01-02,0.616562,in
2010-10-22,89634.000000,174335.000000,84.900000,87.700000,33659.000000,2010-10-27,,,,-2.800000,-34.000000,2015-01-02,0.616562,in
2010-10-29,88632.000000,175582.000000,81.600000,86.900000,33545.000000,2010-11-03,,,,-5.300000,990.000000,2015-01-02,0.616562,in
2010-11-05,85894.000000,174124.000000,85.000000,86.300000,31799.000000,2010-11-10,,,,-1.300000,3130.000000,2015-01-02,0.616562,in
2010-11-12,87483.000000,167319.000000,84.400000,88.400000,33065.000000,2010-11-17,,,,-4.000000,2846.000000,2015-01-02,0.616562,in
2010-11-19,89711.000000,165420.000000,86.600000,90.500000,33625.000000,2010-11-24,,,,-3.900000,2765.000000,2015-01-02,0.616562,in
2010-11-26,89561.000000,168109.000000,85.800000,85.000000,34535.000000,2010-12-01,,,,0.800000,2100.000000,2015-01-02,0.616562,in
2010-12-03,89375.000000,166144.000000,92.000000,89.500000,34929.000000,2010-12-08,,,,2.500000,2564.000000,2015-01-02,0.616562,in
2010-12-10,90570.000000,157123.000000,90.400000,90.300000,35911.000000,2010-12-15,,,,0.100000,1465.000000,2015-01-02,0.616562,in
2010-12-17,92124.000000,151048.000000,89.600000,91.300000,36390.000000,2010-12-22,,,,-1.700000,415.000000,2015-01-02,0.616562,in
2010-12-24,95151.000000,146193.000000,88.100000,92.600000,36635.000000,2010-12-29,,,,-4.500000,1032.000000,2015-01-02,0.616562,in
2010-12-31,95477.000000,144604.000000,90.000000,93.800000,37493.000000,2011-01-05,,,,-3.800000,841.000000,2015-01-02,0.616562,in
2011-01-07,97647.000000,137127.000000,88.800000,91.900000,37376.000000,2011-01-12,,,,-3.100000,31.000000,2015-01-02,0.616562,in
2011-01-14,96682.000000,144003.000000,90.200000,86.000000,36805.000000,2011-01-19,,,,4.200000,852.000000,2015-01-02,0.616562,in
2011-01-21,97425.000000,149901.000000,90.600000,84.500000,37667.000000,2011-01-26,,,,6.100000,-227.000000,2015-01-02,0.616562,in
2011-01-28,96991.000000,154835.000000,91.200000,87.200000,38334.000000,2011-02-02,,,,4.000000,236.000000,2015-01-02,0.616562,in
