company,facility,city,status,voc_total_tons,hap_tons,latitude,longitude,year_emissions_reported
PLAINS MARKETING LP,CUSHING TERMINAL,CUSHING,Operating,354.724,4.611,35.93765,-96.74907,2024
ENBRIDGE STORAGE CUSHING LLC,CUSHING TERMINAL,CUSHING,Operating,244.413,4.328,35.95634,-96.76132,2024
MAGELLAN TERML HOLDINGS LP,SHINN PENCE TANK FARM,CUSHING,Operating,137.082,2.07,35.95695,-96.73094,2024
ET CRUDE OIL TERMINALS LLC,CUSHING NORTH TANK FARM,CUSHING,Operating,83.002,1.467,36.01604,-96.75876,2024
DEEPROCK ENERGY RESOURCES LLC,DEEPROCK DEVELOPMENT TERMINAL,CUSHING,Operating,81.384,1.149,36.01462,-96.7454,2024
NGL CRUDE CUSHING LLC,CUSHING SOUTH TERMINAL,CUSHING,Operating,81.157,1.272,35.94202,-96.71465,2024
ENBRIDGE STORAGE CUSHING LLC,GRANDSTAFF TERMINAL,CUSHING,Operating,74.217,2.591,36.01451,-96.75744,2024
MAGELLAN TERML HOLDINGS LP,CUSHING CENTRAL TERMINAL,CUSHING,Operating,60.641,0.897,35.94691,-96.7485,2024
KEYERA ENERGY INC,WILDHORSE TERMINAL,CUSHING,Operating,28.575,0.658,35.93083,-96.76277,2024
ENTERPRISE CRUDE PIPELINE LLC,CUSHING EAST TERMINAL,CUSHING,Operating,22.607,0.11,35.94204,-96.74488,2024
ET CRUDE OIL TERMINALS LLC,CUSHING TERMINAL,CUSHING,Operating,12.07,0.198,35.934,-96.739,2024
BARCAS PIPELINE VENTURES LLC,BARCAS CUSHING TANK FARM,CUSHING,Operating,9.213,0.102,35.926,-96.747,2024
ETP CRUDE LLC,LITTLE FARM CRUDE OIL PIPELINE STATION,CUSHING,Operating,6.785,0.082,35.98567,-96.74853,2024
BARCAS ENERGY ENTERPRISES LLC,CUSHING WEST TERMINAL,CUSHING,Operating,3.44,0.039,35.95656,-96.76715,2024
PHILLIPS 66 PIPELINE LLC,CUSHING CRUDE FACILITY,CUSHING,Operating,3.408,0.135,35.94267,-96.75506,2024
TIDAL ENERGY MARKETING LLC,TIDAL CUSHING CRUDE TERMINAL,CUSHING,Operating,2.05,0,35.9423,-96.7611,2024
ENTERPRISE CRUDE PIPELINE LLC,CUSHING WEST TERMINAL,CUSHING,Operating,1.621,0.006,35.9524,-96.7586,2024
