date,ok_regular,wti,gas_return,wti_return,future_gas_return_1m,future_wti_return_1m
1986-01-01,0.816000,22.930000,,,-0.150735,-0.325774
1986-02-01,0.693000,15.460000,-0.150735,-0.325774,-0.212121,-0.184347
1986-03-01,0.546000,12.610000,-0.212121,-0.184347,0.038462,0.018239
1986-04-01,0.567000,12.840000,0.038462,0.018239,0.134039,0.197819
1986-05-01,0.643000,15.380000,0.134039,0.197819,-0.037325,-0.126788
1986-06-01,0.619000,13.430000,-0.037325,-0.126788,-0.093700,-0.137007
1986-07-01,0.561000,11.590000,-0.093700,-0.137007,-0.024955,0.302847
1986-08-01,0.547000,15.100000,-0.024955,0.302847,0.074954,-0.015232
1986-09-01,0.588000,14.870000,0.074954,-0.015232,-0.093537,0.002017
1986-10-01,0.533000,14.900000,-0.093537,0.002017,0.001876,0.021477
1986-11-01,0.534000,15.220000,0.001876,0.021477,-0.001873,0.058476
1986-12-01,0.533000,16.110000,-0.001873,0.058476,0.101313,0.157666
1987-01-01,0.587000,18.650000,0.101313,0.157666,0.030664,-0.048257
1987-02-01,0.605000,17.750000,0.030664,-0.048257,0.006612,0.030986
1987-03-01,0.609000,18.300000,0.006612,0.030986,0.052545,0.020765
1987-04-01,0.641000,18.680000,0.052545,0.020765,0.012480,0.040685
1987-05-01,0.649000,19.440000,0.012480,0.040685,0.024653,0.032407
1987-06-01,0.665000,20.070000,0.024653,0.032407,0.042105,0.063279
1987-07-01,0.693000,21.340000,0.042105,0.063279,0.028860,-0.048266
1987-08-01,0.713000,20.310000,0.028860,-0.048266,-0.021038,-0.038405
1987-09-01,0.698000,19.530000,-0.021038,-0.038405,-0.032951,0.016897
1987-10-01,0.675000,19.860000,-0.032951,0.016897,0.017778,-0.050856
1987-11-01,0.687000,18.850000,0.017778,-0.050856,-0.059680,-0.083289
1987-12-01,0.646000,17.280000,-0.059680,-0.083289,-0.068111,-0.008681
1988-01-01,0.602000,17.130000,-0.068111,-0.008681,-0.006645,-0.019264
1988-02-01,0.598000,16.800000,-0.006645,-0.019264,0.005017,-0.035714
1988-03-01,0.601000,16.200000,0.005017,-0.035714,0.086522,0.102469
1988-04-01,0.653000,17.860000,0.086522,0.102469,0.038285,-0.024636
1988-05-01,0.678000,17.420000,0.038285,-0.024636,-0.011799,-0.051091
1988-06-01,0.670000,16.530000,-0.011799,-0.051091,0.025373,-0.062311
1988-07-01,0.687000,15.500000,0.025373,-0.062311,0.014556,0.001290
1988-08-01,0.697000,15.520000,0.014556,0.001290,-0.037303,-0.063144
1988-09-01,0.671000,14.540000,-0.037303,-0.063144,-0.044709,-0.052957
1988-10-01,0.641000,13.770000,-0.044709,-0.052957,0.004680,0.026870
1988-11-01,0.644000,14.140000,0.004680,0.026870,-0.023292,0.158416
1988-12-01,0.629000,16.380000,-0.023292,0.158416,-0.036566,0.100122
1989-01-01,0.606000,18.020000,-0.036566,0.100122,0.001650,-0.004440
1989-02-01,0.607000,17.940000,0.001650,-0.004440,0.065898,0.085842
1989-03-01,0.647000,19.480000,0.065898,0.085842,0.210201,0.081622
1989-04-01,0.783000,21.070000,0.210201,0.081622,0.049808,-0.045088
1989-05-01,0.822000,20.120000,0.049808,-0.045088,-0.023114,-0.003479
1989-06-01,0.803000,20.050000,-0.023114,-0.003479,-0.029888,-0.013466
1989-07-01,0.779000,19.780000,-0.029888,-0.013466,-0.092426,-0.060667
1989-08-01,0.707000,18.580000,-0.092426,-0.060667,0.028289,0.054360
1989-09-01,0.727000,19.590000,0.028289,0.054360,-0.004127,0.026034
1989-10-01,0.724000,20.100000,-0.004127,0.026034,-0.052486,-0.011940
1989-11-01,0.686000,19.860000,-0.052486,-0.011940,-0.017493,0.062437
1989-12-01,0.674000,21.100000,-0.017493,0.062437,0.086053,0.083412
1990-01-01,0.732000,22.860000,0.086053,0.083412,-0.016393,-0.032808
1990-02-01,0.720000,22.110000,-0.016393,-0.032808,-0.031944,-0.077793
1990-03-01,0.697000,20.390000,-0.031944,-0.077793,0.078910,-0.096126
1990-04-01,0.752000,18.430000,0.078910,-0.096126,0.014628,-0.012480
1990-05-01,0.763000,18.200000,0.014628,-0.012480,0.002621,-0.082418
1990-06-01,0.765000,16.700000,0.002621,-0.082418,-0.056209,0.104790
1990-07-01,0.722000,18.450000,-0.056209,0.104790,0.308864,0.480217
1990-08-01,0.945000,27.310000,0.308864,0.480217,0.105820,0.227023
1990-09-01,1.045000,33.510000,0.105820,0.227023,0.004785,0.075500
1990-10-01,1.050000,36.040000,0.004785,0.075500,-0.084762,-0.102941
1990-11-01,0.961000,32.330000,-0.084762,-0.102941,-0.096774,-0.156202
1990-12-01,0.868000,27.280000,-0.096774,-0.156202,-0.044931,-0.075147
1991-01-01,0.829000,25.230000,-0.044931,-0.075147,-0.118215,-0.188268
1991-02-01,0.731000,20.480000,-0.118215,-0.188268,0.015048,-0.028320
1991-03-01,0.742000,19.900000,0.015048,-0.028320,0.074124,0.046734
1991-04-01,0.797000,20.830000,0.074124,0.046734,0.013802,0.019203
1991-05-01,0.808000,21.230000,0.013802,0.019203,-0.049505,-0.048987
1991-06-01,0.768000,20.190000,-0.049505,-0.048987,-0.013021,0.059931
1991-07-01,0.758000,21.400000,-0.013021,0.059931,0.052770,0.013551
1991-08-01,0.798000,21.690000,0.052770,0.013551,-0.077694,0.009221
1991-09-01,0.736000,21.890000,-0.077694,0.009221,-0.016304,0.061215
1991-10-01,0.724000,23.230000,-0.016304,0.061215,0.034530,-0.033147
1991-11-01,0.749000,22.460000,0.034530,-0.033147,-0.082777,-0.131790
1991-12-01,0.687000,19.500000,-0.082777,-0.131790,-0.087336,-0.036410
1992-01-01,0.627000,18.790000,-0.087336,-0.036410,0.006380,0.011708
