month,units,units_1,units_2,units_3_4,units_5plus
2024-01,1,1,0,0,0
2024-02,4,1,0,3,0
2024-03,1,1,0,0,0
2024-04,1,1,0,0,0
2024-05,1,1,0,0,0
2024-06,2,0,2,0,0
2024-07,1,1,0,0,0
2024-08,1,1,0,0,0
2024-09,2,0,2,0,0
2024-10,2,0,2,0,0
2024-11,3,1,2,0,0
2024-12,1,1,0,0,0
2025-01,1,1,0,0,0
2025-02,0,0,0,0,0
2025-03,1,1,0,0,0
2025-04,1,1,0,0,0
2025-05,1,1,0,0,0
2025-06,1,1,0,0,0
2025-07,0,0,0,0,0
2025-08,0,0,0,0,0
2025-09,0,0,0,0,0
2025-10,0,0,0,0,0
2025-11,1,1,0,0,0
2025-12,1,1,0,0,0
2026-01,0,0,0,0,0
2026-02,1,1,0,0,0
2026-03,0,0,0,0,0
2026-04,0,0,0,0,0
2026-05,1,1,0,0,0
2026-06,0,0,0,0,0
2026-07,0,0,0,0,0
