month,hourly_wage
2017-01,26.0
2017-02,26.07
2017-03,26.11
2017-04,26.18
2017-05,26.21
2017-06,26.26
2017-07,26.35
2017-08,26.37
2017-09,26.49
2017-10,26.5
2017-11,26.54
2017-12,26.63
2018-01,26.72
2018-02,26.74
2018-03,26.85
2018-04,26.91
2018-05,26.98
2018-06,27.03
2018-07,27.1
2018-08,27.21
2018-09,27.32
2018-10,27.37
2018-11,27.44
2018-12,27.56
2019-01,27.59
2019-02,27.69
2019-03,27.77
2019-04,27.79
2019-05,27.88
2019-06,27.97
2019-07,28.03
2019-08,28.14
2019-09,28.16
2019-10,28.24
2019-11,28.34
2019-12,28.38
2020-01,28.43
2020-02,28.54
2020-03,28.73
2020-04,30.04
2020-05,29.72
2020-06,29.38
2020-07,29.39
2020-08,29.49
2020-09,29.51
2020-10,29.54
2020-11,29.64
2020-12,29.91
2021-01,29.93
2021-02,30.05
2021-03,30.03
2021-04,30.22
2021-05,30.41
2021-06,30.54
2021-07,30.66
2021-08,30.78
2021-09,30.98
2021-10,31.14
2021-11,31.23
2021-12,31.39
2022-01,31.6
2022-02,31.64
2022-03,31.8
2022-04,31.96
2022-05,32.1
2022-06,32.19
2022-07,32.34
2022-08,32.44
2022-09,32.57
2022-10,32.7
2022-11,32.82
2022-12,32.94
2023-01,33.02
2023-02,33.15
2023-03,33.27
2023-04,33.43
2023-05,33.5
2023-06,33.69
2023-07,33.85
2023-08,33.89
2023-09,34.01
2023-10,34.08
2023-11,34.17
2023-12,34.29
2024-01,34.47
2024-02,34.52
2024-03,34.65
2024-04,34.76
2024-05,34.89
2024-06,35.01
2024-07,35.08
2024-08,35.22
2024-09,35.34
2024-10,35.46
2024-11,35.6
2024-12,35.69
2025-01,35.84
2025-02,35.94
2025-03,36.11
2025-04,36.12
2025-05,36.28
2025-06,36.36
2025-07,36.47
2025-08,36.62
2025-09,36.7
2025-10,36.85
2025-11,37.0
2025-12,37.02
2026-01,37.15
2026-02,37.27
2026-03,37.35
2026-04,37.41
2026-05,37.49
2026-06,37.59
2026-07,37.65
2026-08,37.75
