month,stock_kbbl
2004-01,12890
2004-02,13692
2004-03,11294
2004-04,13224
2004-05,12346
2004-06,16488
2004-07,14853
2004-08,14627
2004-09,13885
2004-10,15625
2004-11,15965
2004-12,16557
2005-01,17394
2005-02,18341
2005-03,22102
2005-04,22707
2005-05,20641
2005-06,18459
2005-07,20002
2005-08,16852
2005-09,14807
2005-10,16357
2005-11,19536
2005-12,21777
2006-01,20732
2006-02,24355
2006-03,24856
2006-04,25125
2006-05,23333
2006-06,25109
2006-07,24891
2006-08,24243
2006-09,23016
2006-10,23724
2006-11,26677
2006-12,25895
2007-01,21416
2007-02,21976
2007-03,27034
2007-04,28031
2007-05,26324
2007-06,23441
2007-07,19754
2007-08,18066
2007-09,14033
2007-10,13804
2007-11,17150
2007-12,16742
2008-01,13579
2008-02,13718
2008-03,14814
2008-04,17337
2008-05,18450
2008-06,18066
2008-07,16166
2008-08,15966
2008-09,11691
2008-10,14786
2008-11,20481
2008-12,30001
2009-01,32352
2009-02,31896
2009-03,31156
2009-04,30328
2009-05,29603
2009-06,30458
2009-07,33916
2009-08,30273
2009-09,25505
2009-10,25718
2009-11,32978
2009-12,35645
2010-01,32275
2010-02,31016
2010-03,31857
2010-04,36414
2010-05,37757
2010-06,37037
2010-07,38710
2010-08,36687
2010-09,36176
2010-10,33699
2010-11,35412
2010-12,38089
2011-01,38839
2011-02,39770
2011-03,42194
2011-04,40926
2011-05,39278
2011-06,36992
2011-07,35031
2011-08,32588
2011-09,30058
2011-10,32045
2011-11,31213
2011-12,29252
2012-01,31118
2012-02,36172
2012-03,41861
2012-04,45342
2012-05,48069
2012-06,47273
2012-07,45120
2012-08,44650
2012-09,43657
2012-10,43104
2012-11,45918
2012-12,49903
2013-01,51828
2013-02,50719
2013-03,49696
2013-04,49237
2013-05,50172
2013-06,48671
2013-07,40459
2013-08,34809
2013-09,33017
2013-10,37217
2013-11,41440
2013-12,41426
2014-01,40557
2014-02,32573
2014-03,26993
2014-04,24466
2014-05,21500
2014-06,20372
2014-07,17946
2014-08,19950
2014-09,19190
2014-10,21384
2014-11,25222
2014-12,31944
2015-01,41080
2015-02,49739
2015-03,59357
2015-04,61456
2015-05,59576
2015-06,55976
2015-07,57242
2015-08,56824
2015-09,53433
2015-10,53921
2015-11,58627
2015-12,63507
2016-01,64086
2016-02,66958
2016-03,66356
2016-04,67474
2016-05,66607
2016-06,64271
2016-07,64625
2016-08,64351
2016-09,62894
2016-10,59432
2016-11,64370
2016-12,67740
2017-01,64527
2017-02,65309
2017-03,69414
2017-04,66920
2017-05,63957
2017-06,58893
2017-07,57268
2017-08,57908
2017-09,62801
2017-10,65122
2017-11,55715
2017-12,48701
2018-01,36342
2018-02,28551
2018-03,35734
2018-04,36948
2018-05,35131
2018-06,27613
2018-07,22089
2018-08,24989
2018-09,26104
2018-10,33986
2018-11,38926
2018-12,41895
2019-01,42634
2019-02,47487
2019-03,47258
2019-04,45864
2019-05,51271
2019-06,52808
2019-07,47707
2019-08,40251
2019-09,40363
2019-10,47721
2019-11,43862
2019-12,35866
2020-01,36960
2020-02,37756
2020-03,47889
2020-04,65537
2020-05,52454
2020-06,47071
2020-07,52154
2020-08,53972
2020-09,56221
2020-10,60468
2020-11,59553
2020-12,59081
2021-01,49456
2021-02,48912
2021-03,46499
2021-04,46197
2021-05,46129
2021-06,39603
2021-07,35060
2021-08,35563
2021-09,35264
2021-10,25813
2021-11,30148
2021-12,37616
2022-01,28914
2022-02,22705
2022-03,26158
2022-04,29082
2022-05,23874
2022-06,21540
2022-07,24863
2022-08,24714
2022-09,25400
2022-10,28485
2022-11,24204
2022-12,26095
2023-01,39011
2023-02,40208
2023-03,33857
2023-04,33247
2023-05,40325
2023-06,43330
2023-07,33962
2023-08,27014
2023-09,21606
2023-10,22976
2023-11,29424
2023-12,34454
2024-01,27731
2024-02,31518
2024-03,33086
2024-04,34445
2024-05,34695
2024-06,33857
2024-07,30616
2024-08,26081
2024-09,25265
2024-10,25788
2024-11,23540
2024-12,20428
2025-01,20678
2025-02,25494
2025-03,25488
2025-04,25287
2025-05,24066
2025-06,20908
2025-07,22287
2025-08,24374
2025-09,23554
2025-10,23305
2025-11,21604
2025-12,22971
2026-01,24498
2026-02,25188
2026-03,32110
2026-04,28272
2026-05,20462
2026-06,19515
