year,qtr,month,total_covered,private_mining_21
2015,1,3,33207,994
2015,2,6,33016,881
2015,3,9,34245,789
2015,4,12,33882,710
2016,1,3,33536,618
2016,2,6,32941,612
2016,3,9,34307,623
2016,4,12,33847,659
2017,1,3,33527,672
2017,2,6,32164,708
2017,3,9,33072,883
2017,4,12,34218,873
2018,1,3,34176,818
2018,2,6,32249,873
2018,3,9,33904,761
2018,4,12,33909,806
2019,1,3,33977,745
2019,2,6,33033,717
2019,3,9,33346,690
2019,4,12,33782,547
2020,1,3,33393,449
2020,2,6,31160,373
2020,3,9,31721,325
2020,4,12,32299,303
2021,1,3,31696,330
2021,2,6,31368,329
2021,3,9,33024,332
2021,4,12,33183,326
2022,1,3,33373,358
2022,2,6,32813,394
2022,3,9,34258,454
2022,4,12,34166,462
2023,1,3,34566,434
2023,2,6,34159,429
2023,3,9,35212,412
2023,4,12,34943,408
2024,1,3,35324,416
2024,2,6,34614,429
2024,3,9,35581,432
2024,4,12,35503,416
2025,1,3,35418,402
2025,2,6,34651,390
2025,3,9,35349,365
2025,4,12,35418,338
2026,1,3,35001,345
