period,working_storage_kbbl,shell_kbbl
2011-03-31,48001,57750
2011-09-30,55010,66403
2012-03-31,61928,74846
2012-09-30,63788,77182
2013-03-31,64972,79656
2013-09-30,66996,79966
2014-03-31,67294,81419
2014-09-30,70812,85116
2015-03-31,71278,86408
2015-09-01,72688,87984
2016-03-01,76921,90981
2016-09-30,77049,91299
2017-03-01,76946,91306
2017-09-30,78037,92299
2018-03-01,75294,92065
2018-09-01,75075,91579
2019-03-01,76415,92579
2019-09-01,76114,94846
2020-03-01,76342,93321
2021-03-01,76603,94009
2022-03-01,78449,98599
2023-03-01,77990,98695
2024-03-01,78410,97742
