year,payne_county_population,births,deaths,natural_change,international_mig,domestic_mig,net_mig
2010,77416,209,102,107,50,-86,-36
2011,78238,935,530,405,559,-143,416
2012,78725,875,568,307,349,-166,183
2013,79698,935,542,393,428,165,593
2014,80520,893,539,354,465,17,482
2015,81363,946,567,379,755,-289,466
2016,81850,909,565,344,433,-290,143
2017,81908,845,592,253,309,-508,-199
2018,82172,829,592,237,390,-367,23
2019,81784,815,592,223,396,-1014,-618
2020,81649,182,146,36,14,-65,-51
2021,82166,723,706,17,153,286,439
2022,83029,781,788,-7,668,261,929
2023,83819,754,675,79,604,122,726
2024,84199,748,689,59,744,-433,311
