permit_id,facility_name,city,outfall,parameter_code,monitoring_location,value_type,statistical_base,monitoring_period_end,value,unit,qualifier,nodi_code,nodi_desc,received_date
OK0026701,"CUSHING, CITY OF  - SOUTH STP",CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-01-31,.86,,=,,,2015-02-09
OK0026701,"CUSHING, CITY OF  - SOUTH STP",CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,1.126,,=,,,2015-02-09
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-17
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-17
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,007,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-17
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,007,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-17
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,008,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-17
OK0043320,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-CUSHING,CUSHING,008,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-17
OK0044598,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-SKULL CK,CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-01-31,.006,,=,,,2015-02-17
OK0044598,GREENFIELD ENVIRONMENTAL MULTISTATE TRUST LLC-SKULL CK,CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,.006,,=,,,2015-02-17
OK0100374,PRIVATE PROPERTY,CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-13
OK0100374,PRIVATE PROPERTY,CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-13
OK0100374,PRIVATE PROPERTY,CUSHING,002,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-27
OK0100374,PRIVATE PROPERTY,CUSHING,002,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-27
OKG950028,"STEWART STONE, INC.-CUSHING",CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-01-31,,,,C,No Discharge,2015-02-06
OKG950028,"STEWART STONE, INC.-CUSHING",CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-01-31,,,,C,No Discharge,2015-02-06
OK0026701,"CUSHING, CITY OF  - SOUTH STP",CUSHING,001,50050,Effluent Gross,Q1,MO AVG,2015-02-28,.93,,=,,,2015-03-09
OK0026701,"CUSHING, CITY OF  - SOUTH STP",CUSHING,001,50050,Effluent Gross,Q2,DAILY MX,2015-02-28,1.397,,=,,,2015-03-09
