declaration_date,fema_declaration_string,disaster_number,declaration_type,incident_type,declaration_title,incident_begin_date,incident_end_date,incident_id,pa_declared,ia_declared,ih_declared,hm_declared
1974-06-10,DR-441-OK,441,DR,Flood,SEVERE STORMS & FLOODING,1974-06-10,1974-06-10,74058,true,true,false,false
1974-11-26,DR-453-OK,453,DR,Flood,SEVERE STORMS & FLOODING,1974-11-26,1974-11-26,75040,true,true,false,false
1975-07-09,DR-474-OK,474,DR,Severe Storm,"SEVERE STORMS, FLOODING & TORNADOES",1975-07-09,1975-07-09,75097,true,true,false,false
1982-06-18,DR-662-OK,662,DR,Flood,SEVERE STORMS & FLOODING,1982-06-18,1982-06-18,82028,true,false,false,false
1984-05-03,DR-704-OK,704,DR,Tornado,SEVERE STORMS & TORNADOES,1984-04-26,1984-04-29,84027,false,true,false,false
1986-10-14,DR-778-OK,778,DR,Flood,SEVERE STORMS & FLOODING,1986-09-26,1986-10-15,86033,true,true,false,false
1990-05-18,DR-866-OK,866,DR,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",1990-04-14,1990-06-01,90018,true,true,false,false
1993-05-12,DR-991-OK,991,DR,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",1993-05-08,1993-05-26,93050,true,true,false,false
1996-02-27,EM-3118-OK,3118,EM,Fire,EXTREME FIRE HAZARD,1996-02-27,1996-05-31,96046,true,false,false,false
1999-05-04,DR-1272-OK,1272,DR,Tornado,"OK, TORNADOES 5/3/99",1999-05-03,1999-05-04,9050400009,true,false,false,true
2001-01-05,DR-1355-OK,1355,DR,Severe Ice Storm,SEVERE WINTER ICE STORM,2000-12-25,2001-01-10,2000122801,true,false,false,false
2001-06-29,DR-1384-OK,1384,DR,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",2001-05-27,2001-05-30,2001060802,true,false,false,false
2002-02-01,DR-1401-OK,1401,DR,Severe Ice Storm,SEVERE WINTER ICE STORM,2002-01-30,2002-02-11,2002013102,true,true,false,false
2003-02-04,DR-1452-OK,1452,DR,Severe Ice Storm,SEVERE ICE STORM,2002-12-03,2002-12-04,2002120502,true,false,false,true
2005-09-05,EM-3219-OK,3219,EM,Hurricane,HURRICANE KATRINA EVACUATION,2005-08-29,2005-10-01,2005082401,true,false,false,false
2006-01-10,DR-1623-OK,1623,DR,Fire,EXTREME WILDFIRE THREAT,2005-11-27,2006-03-31,2005123101,true,true,true,true
2006-01-19,FM-2623-OK,2623,FM,Fire,NORTH STILLWATER FIRE,2006-01-15,,2006012603,true,false,false,false
2007-01-14,EM-3272-OK,3272,EM,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2007-01-12,2007-01-26,2007011401,true,false,false,false
2007-07-07,DR-1712-OK,1712,DR,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",2007-06-10,2007-07-25,2007060701,true,true,true,true
2007-12-10,EM-3280-OK,3280,EM,Severe Ice Storm,SEVERE WINTER STORMS,2007-12-08,2008-01-03,2007121001,true,false,false,false
