date,depth_to_water_ft,approval
2017-06-29,6.03,A:[4]
2017-06-30,6.05,A
2017-07-01,6.06,A
2017-07-02,6.07,A
2017-07-03,6.06,A
2017-07-04,5.76,A
2017-07-05,5.73,A
2017-07-06,5.82,A
2017-07-07,5.91,A
2017-07-08,6.0,A
2017-07-09,6.05,A
2017-07-10,6.08,A
2017-07-11,6.1,A
2017-07-12,6.11,A
2017-07-13,6.1,A
2017-07-14,6.1,A
2017-07-15,6.11,A
2017-07-16,6.12,A
2017-07-17,6.13,A
2017-07-18,6.15,A
2017-07-19,6.16,A
2017-07-20,6.18,A
2017-07-21,6.2,A
2017-07-22,6.23,A
2017-07-23,6.25,A
2017-07-24,6.28,A
2017-07-25,6.32,A
2017-07-26,6.35,A
2017-07-27,6.37,A
2017-07-28,6.4,A
2017-07-29,6.43,A
2017-07-30,6.46,A
2017-07-31,6.49,A
2017-08-01,6.52,A
2017-08-02,6.53,A
2017-08-03,6.55,A
2017-08-04,6.57,A
2017-08-05,6.58,A
2017-08-06,6.51,A
2017-08-07,6.53,A
2017-08-08,6.54,A
2017-08-09,6.55,A
2017-08-10,6.54,A
2017-08-11,6.49,A
2017-08-12,6.49,A
2017-08-13,6.5,A
2017-08-14,6.51,A
2017-08-15,6.45,A
2017-08-16,6.3,A
2017-08-17,6.25,A
2017-08-18,6.26,A
2017-08-19,6.26,A
2017-08-20,6.26,A
2017-08-21,6.27,A
2017-08-22,6.27,A
2017-08-23,6.25,A
2017-08-24,6.27,A
2017-08-25,6.29,A
2017-08-26,6.31,A
2017-08-27,6.32,A
2017-08-28,6.34,A
2017-08-29,6.36,A
2017-08-30,6.37,A
2017-08-31,6.39,A
2017-09-01,6.4,A
2017-09-02,6.42,A
2017-09-03,6.43,A
2017-09-04,6.45,A
2017-09-05,6.46,A
2017-09-06,6.48,A
2017-09-07,6.5,A
2017-09-08,6.51,A
2017-09-09,6.52,A
2017-09-10,6.54,A
2017-09-11,6.55,A
2017-09-12,6.57,A
2017-09-13,6.58,A:[4]
2017-09-14,6.6,A
2017-09-15,6.61,A
2017-09-16,6.63,A
2017-09-17,6.63,A
2017-09-18,6.64,A
2017-09-19,6.65,A
2017-09-20,6.66,A
2017-09-21,6.67,A
2017-09-22,6.68,A
2017-09-23,6.69,A
2017-09-24,6.71,A
2017-09-25,6.72,A
2017-09-26,6.7,A
2017-09-27,6.66,A
2017-09-28,6.67,A
2017-09-29,6.68,A
2017-09-30,6.7,A
2017-10-01,6.71,A
2017-10-02,6.73,A
2017-10-03,6.75,A
2017-10-04,6.66,A
2017-10-05,6.62,A
2017-10-06,6.63,A
2017-10-07,6.63,A
2017-10-08,6.64,A
2017-10-09,6.66,A
2017-10-10,6.67,A
2017-10-11,6.68,A
2017-10-12,6.7,A
2017-10-13,6.71,A
2017-10-14,6.72,A
2017-10-15,6.7,A
2017-10-16,6.71,A
2017-10-17,6.72,A
2017-10-18,6.73,A
2017-10-19,6.74,A
2017-10-20,6.75,A
2017-10-21,6.75,A
2017-10-22,6.64,A
2017-10-23,6.65,A
2017-10-24,6.65,A
2017-10-25,6.66,A
2017-10-26,6.67,A
2017-10-27,6.68,A
2017-10-28,6.69,A
2017-10-29,6.7,A
2017-10-30,6.71,A
2017-10-31,6.72,A
2017-11-01,6.73,A
2017-11-02,6.74,A
2017-11-03,6.75,A
2017-11-04,6.76,A
2017-11-05,6.76,A
2017-11-06,6.77,A
2017-11-07,6.78,A
2017-11-08,6.79,A
2017-11-09,6.8,A
2017-11-10,6.81,A
2017-11-11,6.82,A
2017-11-12,6.83,A
2017-11-13,6.84,A
2017-11-14,6.85,A
2017-11-15,6.86,A
2017-11-16,6.87,A
2017-11-17,6.88,A
2017-11-18,6.89,A
2017-11-19,6.9,A
2017-11-20,6.9,A
2017-11-21,6.91,A
2017-11-22,6.92,A
2017-11-23,6.93,A
2017-11-24,6.94,A
2017-11-25,6.95,A
2017-11-26,6.96,A
2017-11-27,6.97,A
2017-11-28,6.98,A
2017-11-29,6.98,A
2017-11-30,6.99,A
2017-12-01,7.0,A
2017-12-02,7.01,A
2017-12-03,7.02,A
2017-12-04,7.02,A
2017-12-05,7.04,A
2017-12-06,7.05,A
2017-12-07,7.06,A
2017-12-08,7.06,A
2017-12-09,7.07,A
2017-12-10,7.08,A
2017-12-11,7.09,A
2017-12-12,7.1,A
2017-12-13,7.11,A
2017-12-14,7.13,A
2017-12-15,7.14,A
2017-12-16,7.15,A
2017-12-17,7.15,A
2017-12-18,7.16,A
2017-12-19,7.17,A
2017-12-20,7.17,A
2017-12-21,7.18,A
2017-12-22,7.19,A
2017-12-23,7.2,A
2017-12-24,7.21,A
2017-12-25,7.22,A
2017-12-26,7.24,A
2017-12-27,7.25,A
2017-12-28,7.26,A
2017-12-29,7.27,A
2017-12-30,7.28,A
2017-12-31,7.29,A
2018-01-01,7.3,A
2018-01-02,7.32,A
2018-01-03,7.33,A
2018-01-04,7.34,A
2018-01-05,7.35,A
2018-01-06,7.36,A
2018-01-07,7.37,A
2018-01-08,7.37,A
2018-01-09,7.38,A
2018-01-10,7.39,A
2018-01-11,7.4,A
2018-01-12,7.42,A
2018-01-13,7.43,A
2018-01-14,7.44,A
2018-01-15,7.45,A
2018-01-16,7.46,A
2018-01-17,7.47,A
2018-01-18,7.48,A
2018-01-19,7.49,A
2018-01-20,7.5,A
2018-01-21,7.51,A
2018-01-22,7.52,A
2018-01-23,7.53,A
2018-01-24,7.54,A
2018-01-25,7.55,A
2018-01-26,7.56,A
2018-01-27,7.57,A
2018-01-28,7.57,A
2018-01-29,7.58,A
2018-01-30,7.59,A
2018-01-31,7.6,A
2018-02-01,7.61,A
2018-02-02,7.62,A
2018-02-03,7.63,A
2018-02-04,7.64,A
2018-02-05,7.64,A
2018-02-06,7.65,A
2018-02-07,7.66,A
2018-02-08,7.67,A
2018-02-09,7.68,A
2018-02-10,7.69,A
2018-02-11,7.7,A
2018-02-12,7.71,A
2018-02-13,7.71,A
2018-02-14,7.72,A
2018-02-15,7.72,A
2018-02-16,7.73,A
2018-02-17,7.74,A
2018-02-18,7.74,A
2018-02-19,7.74,A
2018-02-20,7.72,A
2018-02-21,7.71,A
2018-02-22,7.7,A
2018-02-23,7.67,A
2018-02-24,7.61,A
2018-02-25,7.6,A
2018-02-26,7.61,A
2018-02-27,7.6,A
2018-02-28,7.57,A
2018-03-01,7.57,A
2018-03-02,7.57,A
2018-03-03,7.58,A
2018-03-04,7.58,A
2018-03-05,7.58,A
2018-03-06,7.58,A
2018-03-07,7.58,A
2018-03-08,7.58,A
2018-03-09,7.58,A
2018-03-10,7.58,A
2018-03-11,7.59,A
2018-03-12,7.59,A
2018-03-13,7.59,A
2018-03-14,7.59,A
2018-03-15,7.6,A
2018-03-16,7.6,A
2018-03-17,7.6,A
2018-03-18,7.6,A
2018-03-19,7.6,A
2018-03-20,7.6,A
2018-03-21,7.61,A
2018-03-22,7.61,A
2018-03-23,7.61,A
2018-03-24,7.61,A
2018-03-25,7.61,A
2018-03-26,7.61,A
2018-03-27,7.61,A
2018-03-28,7.61,A
2018-03-29,7.61,A
2018-03-30,7.61,A
2018-03-31,7.61,A
2018-04-01,7.62,A
2018-04-02,7.62,A
2018-04-03,7.62,A
2018-04-04,7.63,A
2018-04-05,7.63,A
2018-04-06,7.62,A
2018-04-07,7.61,A
2018-04-08,7.62,A
2018-04-09,7.62,A
2018-04-10,7.63,A
2018-04-11,7.63,A
2018-04-12,7.63,A
2018-04-13,7.63,A
2018-04-14,7.62,A
2018-04-15,7.62,A
2018-04-16,7.63,A
2018-04-17,7.63,A
2018-04-18,7.64,A
2018-04-19,7.64,A
2018-04-20,7.65,A
2018-04-21,7.64,A
2018-04-22,7.63,A
2018-04-23,7.63,A
2018-04-24,7.64,A
2018-04-25,7.63,A
2018-04-26,7.63,A
2018-04-27,7.63,A
2018-04-28,7.64,A
2018-04-29,7.64,A
2018-04-30,7.64,A
2018-05-01,7.65,A
2018-05-02,7.65,A
2018-05-03,7.58,A
2018-05-04,7.57,A
2018-05-05,7.57,A
2018-05-06,7.58,A
2018-05-07,7.58,A
2018-05-08,7.58,A
2018-05-09,7.58,A
2018-05-10,7.58,A
2018-05-11,7.59,A
2018-05-12,7.59,A
2018-05-13,7.59,A
2018-05-14,7.6,A
2018-05-15,7.6,A
2018-05-16,7.61,A
2018-05-17,7.61,A
2018-05-18,7.62,A
2018-05-19,7.62,A
2018-05-20,7.63,A
2018-05-21,7.64,A
2018-05-22,7.65,A
2018-05-23,7.65,A
2018-05-24,7.66,A
2018-05-25,7.66,A
2018-05-26,7.66,A
2018-05-27,7.67,A
2018-05-28,7.68,A
2018-05-29,7.68,A
2018-05-30,7.66,A
2018-05-31,7.66,A
2018-06-01,7.66,A
2018-06-02,7.67,A
2018-06-03,7.67,A
2018-06-04,7.68,A
2018-06-05,7.69,A
2018-06-06,7.69,A
2018-06-07,7.69,A
2018-06-08,7.7,A
2018-06-09,7.7,A
2018-06-10,7.71,A
2018-06-11,7.72,A
2018-06-12,7.66,A
2018-06-13,7.65,A
2018-06-14,7.65,A
2018-06-15,7.65,A
2018-06-16,7.64,A
2018-06-17,7.65,A
2018-06-18,7.65,A
2018-06-19,7.65,A
2018-06-20,7.65,A
