year,payne_county_personal_income_thousands_dollars
1969,121389
1970,136389
1971,153525
1972,168345
1973,184465
1974,211973
1975,244169
1976,274408
1977,316822
1978,359747
1979,402215
1980,460604
1981,536554
1982,600374
1983,629903
1984,670031
1985,709561
1986,726488
1987,726567
1988,757644
1989,839408
1990,884507
1991,930606
1992,984409
1993,1013968
1994,1068998
1995,1126015
1996,1187687
1997,1259236
1998,1284684
1999,1353965
2000,1475112
2001,1528909
2002,1570310
2003,1701175
2004,1767868
2005,1849153
2006,2064354
2007,2209285
2008,2402644
2009,2318100
2010,2436434
2011,2557252
2012,2619882
2013,2680787
2014,2941424
2015,2872117
2016,2807788
2017,2870362
2018,3009941
2019,3138347
2020,3351840
2021,3634980
2022,3687122
2023,3892570
2024,4121797
