date,max_temp_f,min_temp_f,precip_in
2015-01-01,32,24.8,
2015-01-02,35.6,32,0.1
2015-01-03,41,33.8,0.14
2015-01-04,33.8,15.8,
2015-01-05,41,12.2,
2015-01-06,44.6,23,
2015-01-07,28.4,6.8,
2015-01-08,35.6,5,
2015-01-09,33.8,12.2,
2015-01-10,35.6,12.2,
2015-01-11,35.6,32,0.01
2015-01-12,33.8,24.8,0.01
2015-01-13,37.4,17.6,
2015-01-14,37.4,21.2,
2015-01-15,55.4,26.6,0.05
2015-01-16,62.6,23,
2015-01-17,64.4,33.8,
2015-01-18,69.8,32,
2015-01-19,73.4,33.8,
2015-01-20,57.2,30.2,
2015-01-21,50,30.2,
2015-01-22,50,30.2,
2015-01-23,50,23,
2015-01-24,60.8,30.2,
2015-01-25,55.4,33.8,
2015-01-26,71.6,26.6,
2015-01-27,77,32,
2015-01-28,78.8,41,
2015-01-29,57.2,33.8,
2015-01-30,50,28.4,
2015-01-31,42.8,39.2,0.39
2015-02-01,44.6,19.4,0.03
2015-02-02,35.6,10.4,
2015-02-03,57.2,21.2,
2015-02-04,51.8,23,
2015-02-05,41,14,
2015-02-06,59,26.6,
2015-02-07,69.8,33.8,
2015-02-08,78.8,32,
2015-02-09,64.4,39.2,
2015-02-10,64.4,32,
2015-02-11,50,32,
2015-02-12,44.6,23,
2015-02-13,64.4,30.2,
2015-02-14,77,28.4,
2015-02-15,42.8,26.6,
2015-02-16,33.8,19.4,0.08
2015-02-17,48.2,17.6,0.35
2015-02-18,37.4,19.4,
2015-02-19,46.4,21.2,
2015-02-20,46.4,30.2,
2015-02-21,55.4,33.8,
2015-02-22,41,23,
2015-02-23,23,19.4,
2015-02-24,42.8,21.2,0.03
2015-02-25,55.4,23,
2015-02-26,32,19.4,
2015-02-27,19.4,15.8,
2015-02-28,30.2,19.4,
2015-03-01,32,26.6,0.02
2015-03-02,33.8,23,0.14
2015-03-03,57.2,33.8,
2015-03-04,42.8,24.8,
2015-03-05,44.6,17.6,
2015-03-06,55.4,26.6,
2015-03-07,68,32,
2015-03-08,62.6,41,
2015-03-09,48.2,42.8,0.35
2015-03-10,68,41,
2015-03-11,77,35.6,
2015-03-12,73.4,37.4,
2015-03-13,59,44.6,0.56
2015-03-14,68,44.6,
2015-03-15,73.4,35.6,
2015-03-16,77,46.4,
2015-03-17,64.4,48.2,
2015-03-18,53.6,46.4,0.22
2015-03-19,50,44.6,0.16
2015-03-20,60.8,39.2,0.07
2015-03-21,64.4,41,
2015-03-22,73.4,50,
2015-03-23,77,44.6,
2015-03-24,80.6,46.4,0.04
2015-03-25,80.6,44.6,0.6
2015-03-26,60.8,39.2,
2015-03-27,57.2,39.2,
2015-03-28,71.6,41,
2015-03-29,71.6,44.6,
2015-03-30,77,39.2,
2015-03-31,84.2,51.8,
2015-04-01,82.4,55.4,0.06
2015-04-02,84.2,62.6,
2015-04-03,71.6,44.6,
2015-04-04,62.6,32,
2015-04-05,51.8,41,0.13
2015-04-06,80.6,50,
2015-04-07,86,64.4,
2015-04-08,80.6,68,
2015-04-09,73.4,48.2,0.01
2015-04-10,69.8,33.8,
2015-04-11,68,50,0.12
2015-04-12,78.8,57.2,
2015-04-13,66.2,51.8,0.92
2015-04-14,57.2,50,
2015-04-15,68,51.8,
2015-04-16,77,51.8,
2015-04-17,73.4,57.2,0.07
2015-04-18,75.2,55.4,0.3
2015-04-19,68,42.8,0.41
2015-04-20,62.6,37.4,
2015-04-21,75.2,42.8,0.01
2015-04-22,60.8,46.4,0.27
2015-04-23,62.6,50,
2015-04-24,69.8,55.4,
2015-04-25,82.4,53.6,
2015-04-26,68,53.6,
2015-04-27,55.4,48.2,1.12
2015-04-28,62.6,46.4,0.23
2015-04-29,73.4,44.6,
2015-04-30,77,46.4,
2015-05-01,77,44.6,
2015-05-02,80.6,51.8,
2015-05-03,78.8,59,
2015-05-04,80.6,60.8,
2015-05-05,75.2,55.4,0.63
2015-05-06,75.2,59,0.79
2015-05-07,78.8,60.8,0.05
2015-05-08,77,62.6,0.45
2015-05-09,71.6,62.6,0.22
2015-05-10,77,59,0.19
2015-05-11,68,44.6,
2015-05-12,73.4,44.6,
2015-05-13,64.4,48.2,0.25
2015-05-14,80.6,59,0.6
2015-05-15,78.8,62.6,0.21
2015-05-16,78.8,64.4,0.16
2015-05-17,82.4,62.6,
2015-05-18,87.8,59,
2015-05-19,64.4,55.4,0.9
2015-05-20,62.6,53.6,
2015-05-21,66.2,44.6,
2015-05-22,59,48.2,0.27
2015-05-23,68,55.4,1.47
2015-05-24,69.8,59,0.29
2015-05-25,78.8,59,0.04
2015-05-26,78.8,53.6,0.03
2015-05-27,86,62.6,0.02
2015-05-28,78.8,62.6,0.34
2015-05-29,75.2,62.6,0.08
2015-05-30,68,59,
2015-05-31,73.4,57.2,
2015-06-01,82.4,51.8,
2015-06-02,86,60.8,
2015-06-03,87.8,66.2,
2015-06-04,87.8,68,
2015-06-05,89.6,64.4,
2015-06-06,91.4,66.2,
2015-06-07,91.4,68,
2015-06-08,93.2,68,
2015-06-09,96.8,62.6,
2015-06-10,96.8,69.8,
2015-06-11,91.4,73.4,
2015-06-12,91.4,64.4,1.18
2015-06-13,82.4,64.4,1.62
2015-06-14,82.4,68,
2015-06-15,84.2,69.8,0.02
2015-06-16,82.4,69.8,0.27
2015-06-17,75.2,69.8,0.42
2015-06-18,77,68,1.29
2015-06-19,91.4,66.2,
2015-06-20,91.4,71.6,
2015-06-21,86,71.6,
2015-06-22,89.6,71.6,
2015-06-23,91.4,71.6,
2015-06-24,91.4,69.8,
2015-06-25,93.2,71.6,
2015-06-26,91.4,71.6,
2015-06-27,87.8,64.4,
2015-06-28,91.4,62.6,
2015-06-29,95,68,
2015-06-30,93.2,66.2,
2015-07-01,93.2,71.6,
2015-07-02,95,71.6,0.36
2015-07-03,91.4,68,
2015-07-04,91.4,69.8,
2015-07-05,91.4,69.8,
2015-07-06,89.6,69.8,0.42
2015-07-07,77,64.4,0.38
2015-07-08,71.6,62.6,0.73
2015-07-09,82.4,68,0.93
2015-07-10,87.8,69.8,
2015-07-11,89.6,71.6,
2015-07-12,91.4,69.8,
2015-07-13,95,71.6,
2015-07-14,95,78.8,
2015-07-15,93.2,71.6,
2015-07-16,93.2,69.8,
2015-07-17,95,73.4,
2015-07-18,95,71.6,
2015-07-19,96.8,71.6,
2015-07-20,95,73.4,0.09
2015-07-21,77,68,0.33
2015-07-22,89.6,69.8,0.17
2015-07-23,91.4,71.6,0.17
2015-07-24,96.8,73.4,
2015-07-25,95,69.8,
2015-07-26,93.2,71.6,
2015-07-27,95,69.8,
2015-07-28,95,71.6,
2015-07-29,93.2,69.8,
2015-07-30,86,73.4,
2015-07-31,87.8,71.6,0.3
2015-08-01,89.6,69.8,
2015-08-02,86,64.4,
2015-08-03,91.4,69.8,
2015-08-04,84.2,71.6,0.01
2015-08-05,95,71.6,
2015-08-06,96.8,71.6,
2015-08-07,98.6,69.8,
2015-08-08,98.6,71.6,
2015-08-09,100.4,71.6,
2015-08-10,89.6,71.6,
2015-08-11,89.6,71.6,
2015-08-12,86,62.6,
2015-08-13,89.6,60.8,
2015-08-14,87.8,69.8,
2015-08-15,89.6,62.6,
2015-08-16,91.4,59,
2015-08-17,95,66.2,
2015-08-18,91.4,71.6,0.01
2015-08-19,78.8,55.4,0.75
2015-08-20,80.6,51.8,
2015-08-21,86,66.2,0.1
2015-08-22,86,62.6,3.12
2015-08-23,73.4,66.2,0.17
2015-08-24,75.2,62.6,
2015-08-25,84.2,55.4,
2015-08-26,89.6,62.6,
2015-08-27,84.2,66.2,
2015-08-28,82.4,68,0.03
2015-08-29,86,66.2,
2015-08-30,86,62.6,
2015-08-31,91.4,64.4,
2015-09-01,89.6,66.2,
2015-09-02,89.6,68,
2015-09-03,91.4,64.4,
2015-09-04,91.4,64.4,
2015-09-05,91.4,69.8,
2015-09-06,95,69.8,
2015-09-07,96.8,71.6,
2015-09-08,95,68,0.96
2015-09-09,84.2,68,0.01
2015-09-10,87.8,62.6,
2015-09-11,78.8,60.8,0.53
2015-09-12,75.2,51.8,
2015-09-13,80.6,55.4,
2015-09-14,84.2,62.6,0.02
2015-09-15,84.2,60.8,
2015-09-16,86,68,
2015-09-17,91.4,71.6,
2015-09-18,91.4,64.4,0.25
2015-09-19,73.4,60.8,0.05
2015-09-20,68,59,0.36
2015-09-21,84.2,62.6,
2015-09-22,87.8,66.2,
2015-09-23,84.2,64.4,
2015-09-24,86,62.6,
2015-09-25,86,57.2,
2015-09-26,82.4,59,
2015-09-27,82.4,53.6,
2015-09-28,82.4,55.4,
2015-09-29,84.2,55.4,
2015-09-30,69.8,55.4,
2015-10-01,71.6,53.6,0.27
2015-10-02,69.8,46.4,
2015-10-03,68,46.4,
2015-10-04,71.6,46.4,
2015-10-05,59,51.8,
2015-10-06,75.2,51.8,
2015-10-07,78.8,53.6,
2015-10-08,82.4,53.6,
2015-10-09,69.8,50,0.07
2015-10-10,77,48.2,
2015-10-11,87.8,55.4,
2015-10-12,82.4,55.4,
2015-10-13,86,46.4,
2015-10-14,89.6,46.4,
2015-10-15,91.4,50,
2015-10-16,68,44.6,
2015-10-17,69.8,46.4,
2015-10-18,73.4,42.8,
2015-10-19,78.8,53.6,
2015-10-20,80.6,59,
2015-10-21,82.4,53.6,
2015-10-22,75.2,60.8,0.35
2015-10-23,77,60.8,0.01
2015-10-24,64.4,50,
2015-10-25,69.8,41,0.03
2015-10-26,69.8,41,
2015-10-27,73.4,50,
2015-10-28,68,48.2,0.03
2015-10-29,64.4,46.4,
2015-10-30,59,44.6,1.19
2015-10-31,59,42.8,0.02
2015-11-01,73.4,39.2,
2015-11-02,68,46.4,
2015-11-03,73.4,57.2,
2015-11-04,68,60.8,
2015-11-05,75.2,53.6,0.18
2015-11-06,64.4,42.8,
2015-11-07,64.4,41,
2015-11-08,64.4,35.6,
2015-11-09,68,37.4,
2015-11-10,77,50,
2015-11-11,75.2,44.6,
2015-11-12,64.4,35.6,
2015-11-13,69.8,32,
2015-11-14,68,37.4,
2015-11-15,60.8,50,0.06
2015-11-16,68,50,0.18
2015-11-17,69.8,46.4,0.42
2015-11-18,68,42.8,
2015-11-19,59,39.2,
2015-11-20,68,37.4,
2015-11-21,55.4,26.6,
2015-11-22,55.4,26.6,
2015-11-23,68,30.2,
2015-11-24,64.4,41,
2015-11-25,64.4,57.2,
2015-11-26,64.4,37.4,0.92
2015-11-27,37.4,32,0.97
2015-11-28,35.6,32,0.54
2015-11-29,39.2,33.8,0.03
2015-11-30,41,32,0.04
2015-12-01,51.8,32,
2015-12-02,53.6,30.2,
2015-12-03,59,28.4,
2015-12-04,60.8,30.2,
2015-12-05,59,35.6,
2015-12-06,59,35.6,
2015-12-07,66.2,30.2,
2015-12-08,64.4,41,
2015-12-09,73.4,41,
2015-12-10,71.6,41,
2015-12-11,71.6,39.2,
2015-12-12,71.6,60.8,
2015-12-13,68,41,0.45
2015-12-14,57.2,37.4,
2015-12-15,68,42.8,
2015-12-16,48.2,30.2,
2015-12-17,42.8,28.4,
2015-12-18,50,23,
2015-12-19,60.8,32,
2015-12-20,62.6,48.2,
2015-12-21,60.8,32,
2015-12-22,68,28.4,
2015-12-23,60.8,32,
2015-12-24,59,33.8,
2015-12-25,60.8,33.8,
2015-12-26,57.2,39.2,2.64
2015-12-27,39.2,33.8,1.14
2015-12-28,33.8,24.8,
2015-12-29,32,21.2,0.01
2015-12-30,37.4,30.2,0.06
2015-12-31,41,32,
2016-01-01,42.8,28.4,
2016-01-02,51.8,30.2,
2016-01-03,48.2,30.2,
2016-01-04,41,24.8,
2016-01-05,42.8,21.2,
2016-01-06,42.8,35.6,0.07
2016-01-07,51.8,41,0.12
2016-01-08,42.8,35.6,0.09
2016-01-09,35.6,23,0.01
2016-01-10,32,14,
2016-01-11,50,23,
2016-01-12,51.8,30.2,
2016-01-13,59,26.6,
2016-01-14,64.4,32,
2016-01-15,51.8,35.6,
2016-01-16,41,24.8,
2016-01-17,33.8,21.2,
2016-01-18,35.6,17.6,
2016-01-19,32,28.4,
2016-01-20,31.82,31.1,
2016-01-21,34.52,29.84,0.1
2016-01-22,32.72,23.54,
2016-01-23,45.5,26.24,
2016-01-24,59.54,34.88,
