date,tmax_f,tmin_f,tavg_f,rain_in
2015-01-01,31.16,24.06,28.27,0.02
2015-01-02,35.96,30.88,33.62,0.25
2015-01-03,41.4,34.13,37.33,0.17
2015-01-04,35.97,13.68,21.45,0.0
2015-01-05,42.42,10.71,24.08,0.0
2015-01-06,42.16,20.15,29.23,0.0
2015-01-07,28.27,4.14,19.45,0.0
2015-01-08,36.24,3.15,18.77,0.0
2015-01-09,32.66,10.56,22.73,0.0
2015-01-10,37.13,9.82,26.22,0.0
2015-01-11,36.93,31.54,34.29,0.05
2015-01-12,35.79,24.25,31.81,0.02
2015-01-13,35.97,16.83,24.24,0.0
2015-01-14,37.74,16.92,29.62,0.0
2015-01-15,56.32,21.06,37.55,0.0
2015-01-16,64.85,20.44,42.62,0.0
2015-01-17,65.7,31.5,48.76,0.0
2015-01-18,72.86,23.27,51.12,0.0
2015-01-19,73.17,27.86,45.64,0.0
2015-01-20,57.72,25.91,40.22,0.0
2015-01-21,51.8,24.2,39.21,0.0
2015-01-22,51.71,28.21,41.43,0.0
2015-01-23,49.93,17.28,33.44,0.0
2015-01-24,,,,
2015-01-25,56.17,24.86,47.31,0.0
2015-01-26,71.55,21.38,43.08,0.0
2015-01-27,75.65,28.55,51.49,0.0
2015-01-28,79.75,47.55,62.03,0.0
2015-01-29,60.57,26.18,46.19,0.0
2015-01-30,47.64,21.66,35.69,0.0
2015-01-31,43.19,40.69,41.79,0.51
2015-02-01,46.03,17.76,34.18,0.08
2015-02-02,36.88,10.13,22.77,0.0
2015-02-03,58.62,20.56,40.17,0.0
2015-02-04,52.97,24.15,35.72,0.0
2015-02-05,40.85,14.41,26.47,0.0
2015-02-06,60.33,28.26,42.61,0.0
2015-02-07,69.1,34.51,51.9,0.0
2015-02-08,79.48,30.9,51.62,0.0
2015-02-09,63.12,30.39,45.82,0.0
2015-02-10,66.87,25.89,45.62,0.0
2015-02-11,50.34,26.73,38.73,0.0
2015-02-12,39.68,16.36,29.36,0.0
2015-02-13,63.72,26.42,41.83,0.0
2015-02-14,76.32,25.34,48.28,0.0
2015-02-15,45.17,24.96,33.07,0.0
2015-02-16,32.99,15.85,23.38,0.01
2015-02-17,48.16,15.17,31.43,0.41
2015-02-18,36.56,14.99,24.96,0.02
2015-02-19,46.62,19.96,31.43,0.11
