structure_number,county_code,place_code,facility,location,latitude,longitude,year_built,year_reconstructed,inspection_mmyy,inspection_ym,inspection_frequency_months,deck,superstructure,substructure,channel,culvert,adt,adt_year
183920000000000,119,00000,CIMARRON TP,T.P. NO 25.12 A,36134492,096585845,1973,0000,0322,2022-03,24,N,N,N,7,8,3500,2022
183950000000000,119,00000,CIMARRON TP,MILE MARKER 26A,36140461,096580821,1973,0000,0322,2022-03,24,N,N,N,5,5,3500,2022
183960000000000,119,00000,CIMARRON TP,WESTBOUND SPUR RAMP,36142342,096563715,1973,0000,0322,2022-03,24,N,N,N,5,8,3500,2022
184970000000000,119,00000,CO. RD. N3340,1 MI NE JCT US 177,36121870,097030688,1973,0000,0322,2022-03,24,7,7,6,N,N,1900,2022
185380000000000,119,00000,CO. RD. N3350,2 MI NE JCT US 177,36123521,097020287,1973,0000,0322,2022-03,24,7,8,6,N,N,1900,2022
185400000000000,119,00000,CO. RD. N3370,4 MI'S NE JCT US 177,36132647,096594942,1973,0000,0322,2022-03,24,7,8,7,N,N,1900,2022
185410000000000,119,00000,CO. RD. E0540,5 MI'S NE JCT US 177,36135480,096583521,1973,0000,0322,2022-03,24,7,8,7,N,N,1900,2022
185440000000000,119,00000,6060C,3 MI'S NE JCT US 177,36130278,097005415,1973,0000,0322,2022-03,24,7,8,7,N,N,100,2022
185700000000000,119,00000,6006C,.8 MI'S NE JCT US 177,36120905,097033827,1973,0000,0322,2022-03,24,7,8,6,N,N,100,2022
190770000000000,119,00000,CIMARRON TP,6.6 MI N SH 51,36114846,097041259,1975,0000,0322,2022-03,24,5,7,6,N,N,3500,2022
303910000000000,119,00000,E0690 (92ND ST.),92ND & BRUSH CR. INT.,36005200,097005700,2012,0000,0322,2022-03,24,7,5,5,6,N,50,2022
185420000000000,119,00000,CO. RD. N3390,6 MI'S NE JCT US 177,36141573,096574049,1973,0000,0422,2022-04,24,7,8,7,N,N,1900,2022
184760000000000,119,00000,CIMARRON TP,1.1 MI E GLENCOE,36134497,096543352,1973,0000,0522,2022-05,24,6,6,5,7,N,8800,2022
184780000000000,119,00000,CIMARRON TP,4.5 MIS E GLENCOE,36133004,096505807,1973,0000,0522,2022-05,24,5,6,6,7,N,8800,2022
184820000000000,119,00000,CIMARRON TP,.2 MI E SH 108,36141062,096552129,1973,0000,0522,2022-05,24,6,7,7,N,N,8800,2022
185030000000000,119,00000,CO. RD. N3430,2 MI E GLENCOE,36132865,096532361,1973,0000,0522,2022-05,24,7,8,7,N,N,3650,2022
185060000000000,119,00000,CO. RD. N3440,3 MI E GLENCOE,36133078,096521997,1973,0000,0522,2022-05,24,7,7,7,N,N,3650,2022
185100000000000,119,00000,CO. RD. N3460,5 MIS E GLENCOE,36132910,096501189,1973,0000,0522,2022-05,24,7,8,7,N,N,3650,2022
185130000000000,119,00000,CO. RD. N3470,2 MIS W SH 18,36132843,096490798,1973,0000,0522,2022-05,24,7,8,7,N,N,3650,2022
185240000000000,119,00000,6040C,4 MIS E GLENCOE,36132995,096511590,1973,0000,0522,2022-05,24,7,7,7,N,N,100,2022
185390000000000,119,00000,CO. RD. E0540,.8 MI NE GLENCOE,36135870,096545871,1973,0000,0522,2022-05,24,7,7,7,N,N,3650,2022
185650000000000,119,00000,TURNPIKE RAMP,.3 MI S COUNTY LINE,36143002,096570542,1973,0000,0522,2022-05,24,5,7,6,N,N,3650,2022
187920000000000,119,00000,S.H. 108,2.6 MI N JCT SH 33,36013411,096542457,1974,0000,0622,2022-06,24,6,5,5,7,N,1800,2022
192750000000000,119,00000,S.H. 33,18.1 MI E LOGAN C/L,35590857,096545431,1976,0000,0622,2022-06,24,7,7,5,7,N,4200,2022
230230000000000,119,00000,E0610,MCELROY&COTTONWD .21,36074891,097091687,1992,0000,0622,2022-06,24,5,5,5,6,N,75,2022
275680000000000,119,00000,S.H. 18,4.6 MI N OF JCT SH 33,36030549,096460162,2005,0000,0622,2022-06,24,6,7,7,6,N,3500,2022
293630000000000,119,00000,U.S. 177,1.6S OF S.H. 33,35572693,097015557,2014,0000,0622,2022-06,24,6,7,7,7,N,4000,2022
017470000000000,119,00000,92ND ST. (E0690),92ND ST\CNCL RD .3E,36005346,096521003,1926,0000,0223,2023-02,24,5,5,6,6,N,100,2022
029960000000000,119,00000,E0600,LVIEW RD & MAJOR RD .2E,36084124,097185835,1926,0000,0223,2023-02,24,5,4,4,5,N,50,2022
045270000000000,119,00000,E0610,MCELROY & REDLAND .2E,36074892,097101523,1935,0000,0223,2023-02,12,4,4,5,6,N,50,2022
089510000000000,119,02300,MCELROY RD.,1N .7W OF SH51/US 177,36074972,097034744,1940,0000,0223,2023-02,24,N,N,N,5,6,11000,2022
109280000000000,119,00000,OAKGROVE RD,OAKGROVE RD\80TH ST .7S,36010037,096383369,1948,0000,0223,2023-02,24,5,5,4,6,N,81,2022
111250000000000,119,02300,MAIN ST.,.4W .9S OF US177/SH51,36060460,097033035,1949,1995,0223,2023-02,24,6,7,7,6,N,6200,2022
188640000000000,119,02300,MAIN ST.,.4W .7N OF US177/SH51,36073612,097033094,1975,0000,0223,2023-02,24,N,N,N,7,7,14000,2022
196590000000000,119,02300,E0615 (VIRGINIA ST,.2W OF US 177,36072458,097031927,1980,0000,0223,2023-02,24,N,N,N,6,4,4000,2022
196980000000000,119,02300,3RD ST.,.2W  OF US177 ON 3RD ST.,36070815,097031043,1980,0000,0223,2023-02,24,N,N,N,7,6,400,2022
197840000000000,119,02300,E0615 (VIRGINIA ST,.1W OF US 177,36072372,097030908,1980,0000,0223,2023-02,24,6,7,5,6,N,4000,2022
200860000000000,119,02300,ESKRIDGE,.7W OF US 177,36080273,097035623,1971,0000,0223,2023-02,24,N,N,N,6,6,2400,2022
201390000000000,119,02300,E0630,3.3W 1S OF US177/SH51,36060492,097063290,1982,0000,0223,2023-02,24,N,N,N,7,6,300,2022
206810000000000,119,02300,SANGRE RD.,3W .9S OF US177/SH51,36061075,097061771,1984,0000,0223,2023-02,24,N,N,N,6,3,500,2022
207050000000000,119,02300,E0610 (MC ELROY,.3W OF US177,36074953,097032264,1984,0000,0223,2023-02,24,N,N,N,6,6,17000,2022
220310000000000,119,02300,E0613 (HALL OF FAM,.4 W OF US 177,36073661,097031658,1988,0000,0223,2023-02,24,5,7,6,6,N,12000,2022
223250000000000,119,00000,122ND ST (E0715),122ND & BRUSH CRK .5E,35584140,097002883,1989,0000,0223,2023-02,24,6,5,5,7,N,200,2022
230890000000000,119,02300,E0606 (REDBUD),0.1 MI E OF MAIN,36080910,097032561,1950,0000,0223,2023-02,24,7,6,5,6,N,250,2022
230910000000000,119,02300,DUNCAN ST.,DUNCAN / CONNELL,36074311,097034169,1934,0000,0223,2023-02,24,N,N,N,7,6,280,2022
241370000000000,119,00000,ESECO,ESECO\LINWOOD RD .9E,35572349,096440570,1996,0000,0223,2023-02,12,6,4,6,6,N,100,2022
246760000000000,119,02300,E0625 (12TH ST),.7E .5S OF MAIN/SH 51,36063124,097023596,1996,0000,0223,2023-02,24,6,7,4,6,N,1500,2022
270120000000000,119,02300,SANGRE RD,3W .4S OF US177/SH51,36063889,097061786,2001,0000,0223,2023-02,24,N,N,N,7,6,2500,2022
278570000000000,119,02300,WESTERN AVE.,.8S SH51 ON WESTERN,36061435,097051346,2004,0000,0223,2023-02,24,7,8,6,7,N,15000,2022
291600000000000,119,02300,19TH AVE,1.1E 1S OF  MAIN/S.H. 51,36060500,097022200,2010,0000,0223,2023-02,24,6,7,8,6,N,638,2022
296600000000000,119,02300,E0625 (12TH ST),.2E OF WESTERN ON 12TH,36063000,097050200,2010,0000,0223,2023-02,24,N,N,N,7,6,1000,2022
315480000000000,119,02300,N3320 WESTERN,.75 N OF SH 51,36073465,097051397,2016,0000,0223,2023-02,24,6,8,7,7,N,6445,2022
327350000000000,119,02300,E0635 W. 26TH AVE,.75W OF W. 26TH/MAIN,36053855,097041927,2020,0000,0223,2023-02,24,N,N,N,8,8,100,2022
328410000000000,119,02300,SOUTH WEST ST.,.15S .35 W OF 12TH & MAIN,36062497,097035202,1995,0000,0223,2023-02,24,5,6,6,8,N,24,2022
164400000000000,119,02300,AIRPORT RD.,.5E OF US 177,36093396,097034183,1965,0000,0323,2023-03,24,7,6,7,5,N,3900,2022
191890000000000,119,02300,FRANKLIN LANE,.1W OF HUSBAND,36081555,097034189,1976,0000,0323,2023-03,24,5,5,4,7,N,2800,2022
196400000000000,119,02300,WASHINGTON ST.,1.8N  1W OF SH51/US177,36082687,097040981,1980,0000,0323,2023-03,24,N,N,N,7,6,5000,2022
196570000000000,119,02300,BROOKE AVE.,1.8N .9W OF SH51/US177,36082382,097040678,1980,0000,0323,2023-03,24,N,N,N,7,6,100,2022
196580000000000,119,02300,MOORE AVE.,1.6N .9W OF SH5/US177,36082060,097040659,1980,0000,0323,2023-03,24,N,N,N,7,6,100,2022
241160000000000,119,02300,E0600,.7E LAKEVIEW / SH177,36084198,097035067,1995,0000,0323,2023-03,24,7,8,7,7,N,15000,2022
256200000000000,119,02300,E0578 (GOLF COURSE,4.2N  .9W OF SH51/US177,36104264,097041027,1998,0000,0323,2023-03,24,N,N,N,7,6,300,2022
031300000000000,119,00000,19TH ST.,19TH ST\W. POINT RD .1E,36060592,096511544,1930,0000,0623,2023-06,24,4,4,4,6,N,100,2022
