claim_id,county_code,date_of_loss,year_of_loss,rated_flood_zone,amount_paid_building,amount_paid_contents,net_building_payment,net_contents_payment
6034961,40119,1980-06-19,1980,C,,,0.0,0.0
6114236,40119,1980-06-19,1980,C,49.6,413.15,49.6,413.15
7336793,40119,1980-06-19,1980,C,1234.88,0.0,1234.88,0.0
5503145,40119,1982-05-12,1982,A02,127.0,0.0,127.0,0.0
5815714,40119,1982-05-21,1982,A,959.8,0.0,959.8,0.0
5911886,40119,1984-09-25,1984,A,,,0.0,0.0
6762420,40119,1986-10-03,1986,A02,84.9,0.0,84.9,0.0
6244208,40119,1989-05-18,1989,A04,0.0,10000.0,0.0,10000.0
6219388,40119,1990-03-11,1990,A02,1343.6,0.0,1343.6,0.0
6006907,40119,1991-12-20,1991,A04,330.0,0.0,0.0,0.0
5511517,40119,1993-04-28,1993,A04,121.1,0.0,121.1,0.0
5672794,40119,1993-04-28,1993,A02,5259.9,0.0,5259.9,0.0
5573245,40119,1993-05-08,1993,C,,,0.0,0.0
5613968,40119,1993-05-08,1993,C,1000.39,0.0,1000.39,0.0
5744505,40119,1993-05-08,1993,A02,,,0.0,0.0
5788580,40119,1993-05-08,1993,A,10000.0,5032.8,10000.0,5032.8
6423643,40119,1993-05-08,1993,C,31906.74,0.0,25048.75,0.0
6539563,40119,1993-05-08,1993,C,32423.45,0.0,32423.45,0.0
6880008,40119,1993-05-08,1993,A,4230.47,7291.8,4230.47,7291.8
7074361,40119,1993-05-08,1993,C,13131.24,0.0,13131.24,0.0
7248531,40119,1993-05-08,1993,C,25473.78,0.0,25473.78,0.0
7554573,40119,1993-05-08,1993,B,17455.17,0.0,17455.17,0.0
7625853,40119,1993-05-08,1993,C,272.03,0.0,272.03,0.0
8093092,40119,1993-05-08,1993,C,2725.22,0.0,2725.22,0.0
6792331,40119,1993-05-09,1993,C,24081.85,0.0,24081.85,0.0
6847924,40119,1993-05-10,1993,A,20501.61,9271.5,20501.61,9271.5
6905279,40119,1993-05-10,1993,A,5006.4,0.0,5006.4,0.0
7318013,40119,1993-06-08,1993,A09,,,0.0,0.0
8022947,40119,1995-03-10,1995,A02,541.25,0.0,541.25,0.0
6138643,40119,1995-04-11,1995,A,10543.84,0.0,10543.84,0.0
7745714,40119,1995-04-11,1995,A,6812.18,0.0,6812.18,0.0
7881314,40119,1995-06-03,1995,C,17019.87,36876.53,17019.87,36876.53
6748950,40119,1995-06-09,1995,C,18490.42,0.0,18490.42,0.0
7543285,40119,1995-06-09,1995,C,15102.41,0.0,15102.41,0.0
5481891,40119,1995-08-01,1995,C,18188.4,12100.0,18188.4,12100.0
5615043,40119,1995-08-01,1995,A02,,,0.0,0.0
5774881,40119,1995-08-01,1995,A04,197.25,0.0,197.25,0.0
5843755,40119,1995-08-01,1995,A04,,,0.0,0.0
6081295,40119,1995-08-01,1995,A,1416.8,0.0,1416.8,0.0
6126651,40119,1995-08-01,1995,X,14093.99,2974.01,14093.99,2974.01
6353884,40119,1995-08-01,1995,B,16585.48,0.0,16585.48,0.0
6358896,40119,1995-08-01,1995,A02,7792.05,0.0,7792.05,0.0
6532411,40119,1995-08-01,1995,C,356.0,0.0,356.0,0.0
6747255,40119,1995-08-01,1995,A01,2759.4,0.0,2756.4,0.0
6948757,40119,1995-08-01,1995,A02,407.64,0.0,407.64,0.0
6965923,40119,1995-08-01,1995,A01,2803.89,0.0,2803.89,0.0
7156813,40119,1995-08-01,1995,A02,7904.5,0.0,7904.5,0.0
7162345,40119,1995-08-01,1995,C,,,0.0,0.0
7282998,40119,1995-08-01,1995,B,3560.38,0.0,3560.38,0.0
7335850,40119,1995-08-01,1995,X,,,0.0,0.0
7353110,40119,1995-08-01,1995,A04,,,0.0,0.0
7373678,40119,1995-08-01,1995,A02,4713.58,0.0,4713.58,0.0
7420941,40119,1995-08-01,1995,AE,1461.94,0.0,1461.94,0.0
7511290,40119,1995-08-01,1995,A08,,,0.0,0.0
7810393,40119,1995-08-01,1995,A03,,,0.0,0.0
7848838,40119,1995-08-01,1995,A02,3157.58,0.0,3157.58,0.0
7955367,40119,1995-08-01,1995,C,4596.42,0.0,4596.42,0.0
7985133,40119,1995-08-01,1995,A02,5737.72,0.0,5737.72,0.0
8103793,40119,1995-08-01,1995,AE,,,0.0,0.0
7211849,40119,1995-08-02,1995,A02,2793.83,0.0,2793.83,0.0
7781052,40119,1995-08-02,1995,A02,2793.72,0.0,2793.72,0.0
6907489,40119,1999-04-26,1999,X,,,0.0,0.0
6313447,40119,1999-06-24,1999,A02,,,0.0,0.0
7933771,40119,2003-06-25,2003,AE,,,0.0,0.0
7698969,40119,2005-08-22,2005,A,5024.65,0.0,5024.65,0.0
6661105,40119,2006-05-04,2006,X,2364.29,0.0,2364.29,0.0
7659187,40119,2007-05-25,2007,AE,2680.54,2822.35,2680.54,2822.35
5513687,40119,2007-06-01,2007,A02,46600.0,0.0,46600.0,0.0
5769832,40119,2007-06-01,2007,AE,6747.19,0.0,6747.19,0.0
6419020,40119,2007-06-01,2007,AE,4644.15,3181.2,4644.15,3181.2
6498147,40119,2007-06-01,2007,C,2354.9,0.0,2354.9,0.0
6680405,40119,2007-06-01,2007,AE,29708.72,0.0,29708.72,0.0
6700669,40119,2007-06-01,2007,A02,12372.02,0.0,12372.02,0.0
7068935,40119,2007-06-01,2007,AE,,,0.0,0.0
7087102,40119,2007-06-01,2007,C,2354.19,0.0,2354.19,0.0
7443867,40119,2007-06-01,2007,AE,7593.74,0.0,2521.98,0.0
7562976,40119,2007-06-01,2007,AE,4782.14,0.0,4782.14,0.0
7579814,40119,2007-06-01,2007,AE,,,0.0,0.0
7661607,40119,2007-06-01,2007,A02,5206.56,689.5,5206.56,689.5
7673688,40119,2007-06-01,2007,AE,,,0.0,0.0
7890720,40119,2007-06-01,2007,A02,2950.05,0.0,2950.05,0.0
7517861,40119,2007-06-29,2007,A02,5973.67,0.0,5973.67,0.0
7098745,40119,2007-07-09,2007,X,0.0,691.36,0.0,691.36
