year_month,policies
2009-01,12
2009-02,12
2009-03,22
2009-04,25
2009-05,29
2009-06,32
2009-07,26
2009-08,36
2009-09,32
2009-10,30
2009-11,21
2009-12,17
2010-01,11
2010-02,13
2010-03,21
2010-04,24
2010-05,23
2010-06,32
2010-07,23
2010-08,44
2010-09,32
2010-10,38
2010-11,20
2010-12,20
2011-01,13
2011-02,14
2011-03,21
2011-04,19
2011-05,26
2011-06,30
2011-07,23
2011-08,41
2011-09,28
2011-10,34
2011-11,18
2011-12,19
2012-01,21
2012-02,15
2012-03,24
2012-04,22
2012-05,31
2012-06,30
2012-07,22
2012-08,39
2012-09,30
2012-10,36
2012-11,17
2012-12,21
2013-01,20
2013-02,13
2013-03,26
2013-04,17
2013-05,27
2013-06,27
2013-07,28
2013-08,44
2013-09,31
2013-10,37
2013-11,16
2013-12,23
2014-01,20
2014-02,13
2014-03,30
2014-04,18
2014-05,28
2014-06,24
2014-07,30
2014-08,41
2014-09,23
2014-10,36
2014-11,17
2014-12,19
2015-01,21
2015-02,11
2015-03,24
2015-04,20
2015-05,29
2015-06,23
2015-07,28
2015-08,34
2015-09,23
2015-10,32
2015-11,11
2015-12,23
2016-01,17
2016-02,11
2016-03,24
2016-04,15
2016-05,33
2016-06,23
2016-07,25
2016-08,29
2016-09,20
2016-10,24
2016-11,11
2016-12,19
2017-01,15
2017-02,12
2017-03,22
2017-04,14
2017-05,31
2017-06,24
2017-07,23
2017-08,23
2017-09,23
2017-10,21
2017-11,11
2017-12,15
2018-01,14
2018-02,9
2018-03,17
2018-04,15
2018-05,31
2018-06,17
2018-07,19
2018-08,17
2018-09,24
2018-10,21
2018-11,14
2018-12,12
2019-01,17
2019-02,8
2019-03,14
2019-04,13
2019-05,28
2019-06,28
2019-07,17
2019-08,17
2019-09,27
2019-10,19
2019-11,16
2019-12,13
2020-01,15
2020-02,6
2020-03,12
2020-04,14
2020-05,25
2020-06,20
2020-07,12
2020-08,16
2020-09,23
2020-10,16
2020-11,18
2020-12,10
2021-01,13
2021-02,9
2021-03,14
2021-04,16
2021-05,25
2021-06,15
2021-07,9
2021-08,17
2021-09,22
2021-10,17
2021-11,19
2021-12,9
2022-01,17
2022-02,10
2022-03,15
2022-04,11
2022-05,22
2022-06,15
2022-07,9
2022-08,17
2022-09,15
2022-10,14
2022-11,14
2022-12,6
2023-01,13
2023-02,7
2023-03,15
2023-04,10
2023-05,18
2023-06,12
2023-07,11
2023-08,15
2023-09,15
2023-10,12
2023-11,14
2023-12,6
2024-01,14
2024-02,7
2024-03,14
2024-04,11
2024-05,16
2024-06,11
2024-07,9
2024-08,14
2024-09,14
2024-10,9
2024-11,16
2024-12,5
2025-01,13
2025-02,6
2025-03,14
2025-04,10
2025-05,14
2025-06,14
2025-07,7
2025-08,11
2025-09,15
2025-10,9
2025-11,14
2025-12,5
2026-01,12
2026-02,7
2026-03,11
2026-04,9
2026-05,14
2026-06,12
2026-07,6
2026-08,11
2026-09,11
2026-10,1
