crash_date,report_number,county_code,fatalities,injuries
1993-01-27,OK083606125A,119,0,1
1993-11-06,OK087613008A,119,0,2
1997-08-12,OK093546226A,119,0,0
1999-02-25,OK094370123A,119,0,1
2000-01-12,OK0095250105,119,0,9
2000-07-26,OK0095291483,119,0,2
2001-06-29,OK0096273240,119,0,1
2001-08-08,OK0096287981,119,0,0
2002-03-04,OK0097238878,119,0,1
2003-04-14,OK0098036676,119,0,0
2005-03-29,OK0099905443,119,2,3
2005-08-02,OK0099944682,119,0,1
2005-08-25,OK0099944694,119,0,1
2006-03-09,OK0099995673,119,0,2
2007-06-05,OK0100875879,119,0,1
2007-11-30,OK0100891082,131,0,1
2007-12-10,OK0100891841,119,0,1
2008-09-09,OK0102343980,119,0,1
2008-12-29,OK0102395753,119,0,2
2009-01-26,OK0102392925,119,0,2
2010-09-17,OK000MMX6499,119,0,1
2010-11-01,OK00K0089710,119,0,1
2011-07-22,OK00K0058111,119,0,4
2012-03-09,OK0020121620,119,0,1
2012-04-16,OK00K0028712,119,0,2
2012-04-19,OK0020122718,119,0,1
2012-05-23,OK00K0040012,119,0,1
2012-07-13,OK00K0056412,119,0,0
2012-08-14,OK0020126873,119,0,1
2012-08-20,OK00K0069112,119,1,0
2012-09-25,OK00K0080412,119,0,1
2012-10-16,OK00K0088012,119,0,1
2013-01-30,OK0020130590,119,0,1
2013-03-13,OK0020131459,119,0,0
2013-04-12,OK00K0033613,119,0,0
2013-04-29,OK00K0039213,119,0,0
2013-04-29,OK00K0039313,119,0,0
2013-05-29,OK00K0048913,119,1,0
2013-09-16,OK00K0086013,119,0,0
2013-09-24,OK0020136178,119,0,0
2013-09-26,OK00K0089713,119,0,0
2013-09-30,OK00K0091013,119,0,1
2013-10-03,OK00K0092013,119,0,0
2013-10-21,OK0020136817,119,0,1
2013-12-05,OK0020137781,119,0,0
2013-12-09,OK00K0111613,119,0,1
2013-12-13,OK0020137922,119,0,0
2013-12-21,OK00K0114813,119,0,1
2014-01-25,OK00K0010114,119,0,1
2014-01-26,OK00K0010714,119,0,1
2014-01-29,OK00K0011514,119,0,0
2014-01-29,OK00K0011614,119,1,0
2014-01-31,OK00K0012214,119,0,2
2014-05-05,OK00K0040314,119,0,0
2014-05-22,OK00K0044714,119,0,1
2014-06-18,OK00K0054314,119,0,0
2014-07-16,OK00K0064014,119,0,0
2014-07-28,OK00K0067514,119,0,1
2014-08-18,OK00K0075114,119,0,1
2014-09-04,OK00K0081814,119,0,1
2014-09-10,OK0020145300,119,0,0
2014-09-30,OK00K0090914,119,0,0
2014-10-29,OK00K0103414,119,0,0
2014-12-02,OK0020147115,119,0,3
2014-12-18,OK00K0122014,119,0,0
2015-01-21,OK00K0007415,119,0,0
2015-03-20,OK0020151668,119,0,0
2015-03-30,OK00K0032615,119,0,3
2015-04-09,OK00K0035915,119,0,0
2015-08-13,OK00K0081815,119,0,1
2015-10-12,OK0015102442,119,0,0
2015-12-09,OK0001506936,119,0,0
2015-12-29,OK0201507011,119,0,0
2016-01-07,OK0201607059,119,0,0
2016-01-11,OK00K0003616,119,0,1
2016-04-14,OK0000167538,119,0,0
2016-05-11,OK00K0043116,119,0,0
2016-05-16,OK00K0045316,119,0,0
2017-01-18,OK00K0006717,119,0,0
2017-02-07,OK0201709026,119,0,1
2017-02-08,OK00K0011617,119,0,1
2017-02-27,OK00K0017617,119,0,1
2017-06-05,OK00K0053617,119,0,0
2017-12-09,OK00K0123717,119,0,0
2017-12-12,OK00K0124317,119,0,0
2018-07-13,OK0201806905,119,0,1
2018-07-20,OK0201806910,119,0,1
2018-10-29,OK00K0100218,119,0,0
2018-11-27,OK00K0110218,119,0,0
2019-02-13,OK0201907009,000,0,1
2019-02-27,OK00K0027419,000,0,0
2019-08-18,OK00K0086719,000,0,1
2019-09-11,OK0201907080,000,0,1
2019-11-27,OK0020197116,000,0,1
2020-01-10,OK0202007135,000,0,0
2020-02-06,OK00K0009720,000,0,1
2020-04-13,OK00K0028820,000,0,0
2020-10-02,OK0202007193,119,0,1
2020-12-18,OK0202007212,081,0,1
2021-02-22,OK0020210010,119,0,0
2021-03-04,OK0021004918,119,0,0
2021-04-02,OK0020210027,119,0,0
2021-04-30,OK0020210036,119,0,0
2021-05-12,OK0021010776,119,0,3
2021-06-22,OK0021014418,119,0,0
2021-07-09,OK0021016026,119,0,0
2021-08-12,OK0021018899,119,0,1
2021-11-19,OK0021027033,119,0,0
2021-12-27,OK0021029911,119,0,0
2022-03-10,OK0022004934,119,0,3
2022-04-01,OK0022006533,119,0,2
2022-09-07,OK0022017825,119,0,3
2022-11-14,OK0020220090,119,0,0
2023-01-24,OK0023001592,119,0,0
2023-07-17,OK0020230044,119,0,0
2023-07-21,OK2307002022,119,0,0
2024-04-11,OK2404002714,119,0,0
2024-05-25,OK2406001534,119,0,0
2024-08-08,OK2408001759,119,0,0
2024-10-02,OK2410001140,119,0,1
2024-10-30,OK0020240056,119,0,0
2025-01-05,OK2501002868,119,0,0
2025-02-11,OK2502002137,119,0,3
2025-05-22,OK2505004466,119,0,0
2025-06-05,OK0020250035,119,0,1
2025-07-11,OK2507003094,119,0,2
2025-08-10,OK2508002203,119,0,1
2025-08-10,OK2508002204,119,0,0
2025-10-06,OK2510004329,119,0,0
