period,precip_in
2017-05,
2017-06,2.220
2017-07,2.929
2017-08,
2017-09,1.823
2017-10,5.669
2017-11,0.524
2017-12,1.008
2018-01,0.209
2018-02,4.063
2018-03,1.043
2018-04,2.272
2018-05,3.571
2018-06,
2018-07,3.689
2018-08,
2018-09,3.906
2018-10,2.571
2018-11,0.606
2018-12,
2019-01,3.508
2019-02,1.244
2019-03,
2019-04,4.031
2019-05,15.791
2019-06,5.441
2019-07,
2019-08,11.079
2019-09,6.031
2019-10,4.512
2019-11,3.453
2019-12,1.449
2020-01,3.795
2020-02,1.236
2020-03,6.606
2020-04,2.000
2020-05,3.484
2020-06,1.189
2020-07,6.555
2020-08,1.500
2020-09,3.531
2020-10,5.449
2020-11,1.224
2020-12,2.362
2021-01,3.031
2021-02,0.646
2021-03,3.106
2021-04,4.791
2021-05,6.244
2021-06,11.508
2021-07,3.803
2021-08,2.791
2021-09,0.000
2021-10,9.031
2021-11,
