date,pavg_inhg
2015-01-01,29.38
2015-01-02,29.25
2015-01-03,29.0
2015-01-04,29.6
2015-01-05,29.58
2015-01-06,29.52
2015-01-07,29.91
2015-01-08,29.5
2015-01-09,29.64
2015-01-10,29.47
2015-01-11,29.26
2015-01-12,29.52
2015-01-13,29.59
2015-01-14,29.44
2015-01-15,29.34
2015-01-16,29.25
2015-01-17,29.09
2015-01-18,29.18
2015-01-19,29.07
2015-01-20,29.18
2015-01-21,29.34
2015-01-22,29.46
2015-01-23,29.29
2015-01-24,
2015-01-25,29.07
2015-01-26,29.18
2015-01-27,29.18
2015-01-28,29.05
2015-01-29,29.42
2015-01-30,29.55
2015-01-31,29.19
2015-02-01,29.13
2015-02-02,29.43
2015-02-03,29.24
2015-02-04,29.26
2015-02-05,29.51
2015-02-06,29.27
2015-02-07,28.94
2015-02-08,28.96
2015-02-09,29.22
2015-02-10,29.1
2015-02-11,29.33
2015-02-12,29.54
2015-02-13,29.31
2015-02-14,29.25
2015-02-15,29.22
2015-02-16,29.24
2015-02-17,29.25
2015-02-18,29.43
2015-02-19,29.37
2015-02-20,28.97
2015-02-21,29.07
2015-02-22,29.51
2015-02-23,29.67
2015-02-24,29.26
2015-02-25,
2015-02-26,29.44
2015-02-27,29.63
2015-02-28,29.49
2015-03-01,29.48
2015-03-02,29.41
2015-03-03,28.98
2015-03-04,29.29
2015-03-05,29.6
2015-03-06,29.52
2015-03-07,29.38
2015-03-08,29.21
2015-03-09,29.15
2015-03-10,29.12
2015-03-11,29.31
2015-03-12,29.27
2015-03-13,29.13
2015-03-14,29.25
2015-03-15,29.36
2015-03-16,
2015-03-17,29.22
2015-03-18,29.14
2015-03-19,29.15
2015-03-20,29.28
2015-03-21,29.22
2015-03-22,29.11
2015-03-23,29.11
2015-03-24,28.94
2015-03-25,28.96
2015-03-26,29.23
2015-03-27,29.25
2015-03-28,29.14
2015-03-29,29.13
2015-03-30,29.21
2015-03-31,29.02
2015-04-01,28.9
2015-04-02,28.82
2015-04-03,29.19
2015-04-04,29.41
2015-04-05,29.09
2015-04-06,28.91
2015-04-07,28.91
2015-04-08,28.87
2015-04-09,28.94
2015-04-10,
2015-04-11,29.18
2015-04-12,28.98
2015-04-13,29.15
2015-04-14,29.2
2015-04-15,29.05
2015-04-16,29.07
2015-04-17,29.07
2015-04-18,28.96
2015-04-19,28.88
2015-04-20,29.06
2015-04-21,29.01
2015-04-22,29.06
2015-04-23,29.05
2015-04-24,28.83
2015-04-25,28.71
2015-04-26,28.88
2015-04-27,29.05
2015-04-28,29.19
2015-04-29,29.1
2015-04-30,29.07
2015-05-01,29.17
2015-05-02,29.1
2015-05-03,29.03
2015-05-04,29.12
2015-05-05,
2015-05-06,28.99
2015-05-07,28.97
2015-05-08,29.01
2015-05-09,28.97
2015-05-10,28.95
2015-05-11,29.22
2015-05-12,29.36
2015-05-13,29.22
2015-05-14,29.08
2015-05-15,29.01
2015-05-16,28.91
2015-05-17,28.98
2015-05-18,29.2
2015-05-19,29.18
2015-05-20,29.18
2015-05-21,29.33
2015-05-22,29.28
2015-05-23,29.15
2015-05-24,28.98
2015-05-25,28.95
2015-05-26,29.03
2015-05-27,29.13
2015-05-28,29.1
2015-05-29,29.05
2015-05-30,29.19
2015-05-31,29.21
2015-06-01,29.17
2015-06-02,29.07
2015-06-03,29.0
2015-06-04,29.06
2015-06-05,29.12
2015-06-06,29.08
2015-06-07,29.0
2015-06-08,29.04
2015-06-09,29.0
2015-06-10,28.92
2015-06-11,28.86
2015-06-12,28.93
2015-06-13,28.98
2015-06-14,29.0
2015-06-15,29.07
2015-06-16,29.14
2015-06-17,29.08
2015-06-18,28.97
2015-06-19,29.05
2015-06-20,29.0
2015-06-21,29.08
2015-06-22,29.07
2015-06-23,29.19
2015-06-24,29.18
2015-06-25,
2015-06-26,29.03
2015-06-27,29.16
2015-06-28,29.07
2015-06-29,29.04
2015-06-30,29.05
2015-07-01,28.97
2015-07-02,28.97
2015-07-03,29.01
2015-07-04,29.04
2015-07-05,29.04
2015-07-06,29.02
2015-07-07,29.07
2015-07-08,29.04
2015-07-09,29.1
2015-07-10,29.13
2015-07-11,29.15
2015-07-12,29.07
2015-07-13,28.93
2015-07-14,28.9
2015-07-15,28.98
2015-07-16,
2015-07-17,28.97
2015-07-18,29.0
2015-07-19,29.03
2015-07-20,28.98
2015-07-21,29.02
2015-07-22,28.96
2015-07-23,29.01
2015-07-24,29.04
2015-07-25,29.03
2015-07-26,29.0
2015-07-27,29.01
2015-07-28,29.02
2015-07-29,29.13
2015-07-30,29.21
2015-07-31,29.2
2015-08-01,29.13
2015-08-02,29.04
2015-08-03,29.03
2015-08-04,29.04
2015-08-05,28.99
2015-08-06,28.93
2015-08-07,28.92
2015-08-08,28.95
2015-08-09,28.97
2015-08-10,29.06
2015-08-11,29.2
2015-08-12,29.25
2015-08-13,29.19
2015-08-14,29.19
2015-08-15,29.18
2015-08-16,29.12
2015-08-17,29.04
2015-08-18,
2015-08-19,29.05
2015-08-20,29.11
2015-08-21,29.06
2015-08-22,29.0
2015-08-23,29.15
2015-08-24,29.24
2015-08-25,29.22
2015-08-26,29.2
2015-08-27,29.13
2015-08-28,29.06
2015-08-29,29.07
2015-08-30,29.06
2015-08-31,29.07
2015-09-01,29.11
2015-09-02,29.09
2015-09-03,29.03
2015-09-04,29.04
2015-09-05,29.08
2015-09-06,29.05
2015-09-07,29.01
2015-09-08,28.97
2015-09-09,29.05
2015-09-10,29.04
2015-09-11,29.17
2015-09-12,29.22
2015-09-13,29.09
2015-09-14,29.05
2015-09-15,29.14
2015-09-16,29.11
2015-09-17,29.0
2015-09-18,28.95
2015-09-19,29.15
2015-09-20,29.15
2015-09-21,29.11
2015-09-22,29.15
2015-09-23,29.17
2015-09-24,29.19
2015-09-25,29.18
2015-09-26,29.15
2015-09-27,29.07
2015-09-28,29.03
2015-09-29,
2015-09-30,29.19
2015-10-01,29.25
2015-10-02,29.23
2015-10-03,29.11
2015-10-04,29.17
2015-10-05,29.24
2015-10-06,29.24
2015-10-07,29.21
2015-10-08,
2015-10-09,29.3
2015-10-10,29.25
2015-10-11,28.92
2015-10-12,28.94
2015-10-13,29.09
2015-10-14,29.1
2015-10-15,
2015-10-16,29.46
2015-10-17,29.45
2015-10-18,29.41
2015-10-19,
2015-10-20,29.16
2015-10-21,29.22
2015-10-22,29.16
2015-10-23,29.02
2015-10-24,29.23
2015-10-25,29.32
2015-10-26,29.18
2015-10-27,28.92
2015-10-28,28.93
2015-10-29,29.07
2015-10-30,28.98
2015-10-31,28.93
2015-11-01,29.08
2015-11-02,29.06
2015-11-03,29.09
2015-11-04,29.11
2015-11-05,28.99
2015-11-06,29.25
2015-11-07,29.44
2015-11-08,29.39
2015-11-09,29.22
2015-11-10,29.02
2015-11-11,28.86
2015-11-12,29.3
2015-11-13,29.39
2015-11-14,29.37
2015-11-15,29.24
2015-11-16,28.89
2015-11-17,
2015-11-18,28.76
2015-11-19,29.28
2015-11-20,29.1
2015-11-21,29.39
2015-11-22,29.31
2015-11-23,29.27
2015-11-24,29.15
2015-11-25,29.07
2015-11-26,29.2
2015-11-27,29.4
2015-11-28,29.38
2015-11-29,29.28
2015-11-30,29.13
2015-12-01,29.1
2015-12-02,29.23
2015-12-03,29.43
2015-12-04,29.51
2015-12-05,29.47
2015-12-06,29.46
2015-12-07,29.27
2015-12-08,28.97
2015-12-09,29.0
2015-12-10,28.85
2015-12-11,28.77
2015-12-12,28.84
2015-12-13,28.58
2015-12-14,28.71
2015-12-15,28.77
2015-12-16,29.01
2015-12-17,29.18
2015-12-18,29.39
2015-12-19,29.36
2015-12-20,29.06
2015-12-21,28.99
2015-12-22,28.73
2015-12-23,28.54
2015-12-24,28.99
2015-12-25,29.09
2015-12-26,28.95
2015-12-27,29.09
2015-12-28,28.87
2015-12-29,29.21
2015-12-30,29.37
2015-12-31,29.51
2016-01-01,29.59
2016-01-02,29.41
2016-01-03,29.38
2016-01-04,29.49
2016-01-05,29.4
2016-01-06,29.17
2016-01-07,28.87
2016-01-08,28.93
2016-01-09,29.13
2016-01-10,29.4
2016-01-11,29.23
2016-01-12,29.29
2016-01-13,29.15
2016-01-14,28.81
2016-01-15,28.87
2016-01-16,29.14
2016-01-17,29.31
2016-01-18,29.46
2016-01-19,29.24
2016-01-20,29.23
2016-01-21,29.22
2016-01-22,29.42
2016-01-23,29.3
2016-01-24,28.94
2016-01-25,28.98
2016-01-26,29.39
2016-01-27,
2016-01-28,29.13
2016-01-29,28.91
2016-01-30,28.75
2016-01-31,28.83
2016-02-01,28.87
2016-02-02,28.72
2016-02-03,29.26
2016-02-04,29.47
2016-02-05,29.41
2016-02-06,29.39
2016-02-07,29.25
2016-02-08,29.31
2016-02-09,29.35
2016-02-10,29.2
2016-02-11,
2016-02-12,
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,29.22
2016-02-18,29.03
2016-02-19,29.07
2016-02-20,29.0
2016-02-21,29.18
2016-02-22,29.12
2016-02-23,28.99
2016-02-24,29.12
2016-02-25,29.42
2016-02-26,29.4
2016-02-27,29.16
2016-02-28,29.0
2016-02-29,29.06
2016-03-01,29.19
2016-03-02,29.08
2016-03-03,29.09
2016-03-04,29.18
2016-03-05,29.26
2016-03-06,29.04
2016-03-07,28.85
2016-03-08,28.87
2016-03-09,29.01
2016-03-10,29.16
2016-03-11,29.23
2016-03-12,29.01
2016-03-13,28.81
2016-03-14,
2016-03-15,28.81
2016-03-16,29.14
2016-03-17,29.08
2016-03-18,29.13
2016-03-19,29.38
2016-03-20,29.48
2016-03-21,29.26
2016-03-22,28.85
2016-03-23,28.7
2016-03-24,29.03
2016-03-25,29.02
2016-03-26,28.99
2016-03-27,29.23
2016-03-28,29.19
2016-03-29,29.04
2016-03-30,28.72
2016-03-31,28.83
2016-04-01,29.16
2016-04-02,29.25
2016-04-03,29.13
2016-04-04,
2016-04-05,29.09
2016-04-06,29.04
2016-04-07,
2016-04-08,29.26
2016-04-09,29.13
2016-04-10,28.87
2016-04-11,29.1
2016-04-12,29.3
2016-04-13,29.21
2016-04-14,29.12
2016-04-15,29.01
2016-04-16,29.06
2016-04-17,29.17
2016-04-18,29.25
2016-04-19,29.19
2016-04-20,29.07
2016-04-21,29.08
2016-04-22,29.17
2016-04-23,29.09
2016-04-24,28.88
2016-04-25,28.8
2016-04-26,28.73
2016-04-27,28.76
2016-04-28,29.01
2016-04-29,28.84
2016-04-30,28.89
2016-05-01,29.15
2016-05-02,29.22
2016-05-03,29.16
2016-05-04,29.1
2016-05-05,29.15
2016-05-06,29.14
2016-05-07,29.03
2016-05-08,28.85
2016-05-09,28.73
2016-05-10,28.87
2016-05-11,29.02
2016-05-12,29.27
2016-05-13,29.21
2016-05-14,29.33
2016-05-15,29.25
2016-05-16,29.04
2016-05-17,29.15
2016-05-18,29.27
2016-05-19,29.16
2016-05-20,29.11
2016-05-21,29.17
2016-05-22,29.09
2016-05-23,28.96
2016-05-24,28.98
2016-05-25,28.99
2016-05-26,28.91
2016-05-27,28.8
2016-05-28,29.01
2016-05-29,29.16
2016-05-30,29.09
2016-05-31,29.0
2016-06-01,29.07
2016-06-02,29.1
2016-06-03,29.07
2016-06-04,29.06
2016-06-05,29.06
2016-06-06,29.02
2016-06-07,29.03
2016-06-08,29.03
2016-06-09,
2016-06-10,29.07
2016-06-11,29.12
