facility_name,source_id,registry_id,city,county,status,universe,last_inspection_date,last_iea_date,last_fea_date,inspection_count,formal_actions,total_penalties,waste_hazardous_2023,waste_hazardous_2024,waste_hazardous_2025,waste_hazardous_2026,waste_acute_2023,waste_acute_2024,waste_acute_2025,waste_acute_2026,waste_pharma_2023,waste_pharma_2024,waste_pharma_2025,waste_pharma_2026
CUSHING RAIL CAR INC,OKD065436784,110007730492,CUSHING,PAYNE,Inactive (     ),Other,1985-08-28,,,0,0,$0,,,,,,,,,,,,
FORMER EVANS CUSHING INC.,OKD987071768,110000454614,CUSHING,PAYNE,Inactive (     ),Other,1994-07-27,1994-09-09,,0,0,$0,,,,,,,,,,,,
HUDSON REFNG CO INC,OKD082471988,110009305616,CUSHING,PAYNE,Inactive (     ),Other,1994-12-19,1989-02-01,1987-09-30,0,0,$0,,,,,,,,,,,,
PLAINS TERMINAL & TRANSFER,OKD987098605,110007735139,CUSHING,PAYNE,Active (H    ),VSQG,2001-10-11,,,0,0,$0,,,,,,,,,,,,
"ENBRIDGE STORAGE (CUSHING), L.L.C.",OKD980812721,110007161588,CUSHING,PAYNE,Active (H    ),SQG,2005-03-03,2008-09-17,,0,0,$0,200,442,966,"8,051",0,0,0,0,0,0,0,0
VICTORY ENERGY,OKR000023135,110032658158,CUSHING,PAYNE,Active (H    ),VSQG,2008-10-17,,,0,0,$0,,,,,,,,,,,,
LEGACY CLEANERS,OKR000001859,110031514644,CUSHING,PAYNE,Active (H    ),Other,2010-05-19,,,0,0,$0,,,,,,,,,,,,
"MAGELLAN TERMINALS HOLDINGS, LP CUSHING SHINN PENCE",OKD987071875,110007733943,CUSHING,PAYNE,Active (H    ),VSQG,2010-09-14,,,0,0,$0,68,"1,724",,,0,0,,,0,0,,
SUBMERSIBLE PUMPS INC,OKD987083193,110004763051,CUSHING,PAYNE,Active (H    ),VSQG,2011-02-28,2011-03-22,,0,0,$0,,,,,,,,,,,,
SOUTH BOW (USA) LP - CUSHING FACILITY,OKR000026922,110044922108,CUSHING,LINCOLN,Active (H    ),VSQG,2013-04-23,,,0,0,$0,,181,,,,0,,,,0,,
"MAGELLAN TERMINALS HOLDINGS, LP CUSHING SOUTH TERMINAL",OKR000026674,110044989787,CUSHING,PAYNE,Active (H    ),VSQG,2013-06-05,,,0,0,$0,,,,,,,,,,,,
FORMER TOWN & COUNTY DRY CLEANERS,OKD987083987,110004763435,CUSHING,PAYNE,Inactive (     ),Other,2013-12-17,,,0,0,$0,,,,,,,,,,,,
"MAGELLAN TERMINALS HOLDINGS, LP CUSHING CENTRAL TERMINAL",OKD077338473,110007730839,CUSHING,PAYNE,Active (H    ),VSQG,2014-12-03,2008-10-28,,0,0,$0,36,119,,,0,0,,,0,0,,
INTERTEK USA INC,OKR000026393,110043553650,CUSHING,PAYNE,Active (H    ),SQG,2017-02-17,2017-02-17,,0,0,$0,"1,928",680,"1,157",408,0,0,0,0,0,0,0,0
