date,savg_f
2015-01-01,39.08
2015-01-02,40.32
2015-01-03,41.57
2015-01-04,39.0
2015-01-05,36.51
2015-01-06,36.68
2015-01-07,36.11
2015-01-08,34.83
2015-01-09,34.51
2015-01-10,34.07
2015-01-11,34.24
2015-01-12,35.15
2015-01-13,35.06
2015-01-14,35.07
2015-01-15,37.03
2015-01-16,37.79
2015-01-17,40.32
2015-01-18,40.46
2015-01-19,42.07
2015-01-20,42.19
2015-01-21,41.1
2015-01-22,42.87
2015-01-23,40.52
2015-01-24,
2015-01-25,43.57
2015-01-26,42.31
2015-01-27,44.01
2015-01-28,46.52
2015-01-29,46.87
2015-01-30,43.89
2015-01-31,44.61
2015-02-01,43.9
2015-02-02,39.41
2015-02-03,40.1
2015-02-04,41.4
2015-02-05,39.51
2015-02-06,40.79
2015-02-07,43.87
2015-02-08,46.01
2015-02-09,46.12
2015-02-10,45.71
2015-02-11,45.03
2015-02-12,42.49
2015-02-13,43.45
2015-02-14,44.82
2015-02-15,43.85
2015-02-16,40.92
2015-02-17,38.4
2015-02-18,37.6
2015-02-19,38.2
2015-02-20,39.46
2015-02-21,42.41
2015-02-22,41.43
2015-02-23,39.51
2015-02-24,39.85
2015-02-25,
2015-02-26,39.39
2015-02-27,36.53
2015-02-28,36.14
2015-03-01,37.2
2015-03-02,37.33
2015-03-03,40.43
2015-03-04,40.24
2015-03-05,38.77
2015-03-06,40.31
2015-03-07,43.31
2015-03-08,45.39
2015-03-09,45.68
2015-03-10,48.51
2015-03-11,49.8
2015-03-12,50.77
2015-03-13,50.67
2015-03-14,51.78
2015-03-15,51.9
2015-03-16,
2015-03-17,54.46
2015-03-18,53.4
2015-03-19,52.43
2015-03-20,52.48
2015-03-21,52.92
2015-03-22,55.84
2015-03-23,57.43
2015-03-24,59.08
2015-03-25,57.89
2015-03-26,56.53
2015-03-27,55.11
2015-03-28,56.28
2015-03-29,56.66
2015-03-30,57.11
2015-03-31,60.72
2015-04-01,62.33
2015-04-02,64.59
2015-04-03,63.32
2015-04-04,58.86
2015-04-05,57.07
2015-04-06,59.38
2015-04-07,64.53
2015-04-08,65.44
2015-04-09,65.58
2015-04-10,
2015-04-11,60.62
2015-04-12,61.63
2015-04-13,61.55
2015-04-14,59.16
2015-04-15,60.8
2015-04-16,62.43
2015-04-17,64.35
2015-04-18,65.51
2015-04-19,63.77
2015-04-20,61.36
2015-04-21,61.79
2015-04-22,61.32
2015-04-23,60.6
2015-04-24,61.62
2015-04-25,63.81
2015-04-26,64.29
2015-04-27,61.64
2015-04-28,59.58
2015-04-29,60.23
2015-04-30,61.71
2015-05-01,62.9
2015-05-02,64.25
2015-05-03,65.35
2015-05-04,66.47
2015-05-05,
2015-05-06,66.14
2015-05-07,68.13
2015-05-08,68.79
2015-05-09,67.77
2015-05-10,67.72
2015-05-11,67.62
2015-05-12,66.51
2015-05-13,65.11
2015-05-14,67.3
2015-05-15,70.24
2015-05-16,71.45
2015-05-17,72.55
2015-05-18,74.28
2015-05-19,70.25
2015-05-20,67.77
2015-05-21,66.7
2015-05-22,64.51
2015-05-23,65.66
2015-05-24,66.5
2015-05-25,68.05
2015-05-26,69.36
2015-05-27,72.82
2015-05-28,72.2
2015-05-29,71.68
2015-05-30,69.57
2015-05-31,69.43
2015-06-01,70.12
2015-06-02,72.77
2015-06-03,74.78
2015-06-04,75.82
2015-06-05,76.65
2015-06-06,77.19
2015-06-07,77.82
2015-06-08,78.6
2015-06-09,77.81
2015-06-10,78.91
2015-06-11,79.03
2015-06-12,79.12
2015-06-13,75.47
2015-06-14,76.55
2015-06-15,76.84
2015-06-16,76.92
2015-06-17,76.36
2015-06-18,74.84
2015-06-19,76.11
2015-06-20,78.69
2015-06-21,79.49
2015-06-22,79.96
2015-06-23,80.67
2015-06-24,81.11
2015-06-25,
2015-06-26,82.17
2015-06-27,81.19
2015-06-28,81.22
2015-06-29,82.18
2015-06-30,82.69
2015-07-01,83.99
2015-07-02,83.2
2015-07-03,82.39
2015-07-04,82.94
2015-07-05,83.64
2015-07-06,83.54
2015-07-07,80.33
2015-07-08,75.39
2015-07-09,75.97
2015-07-10,78.43
2015-07-11,80.55
2015-07-12,81.6
2015-07-13,82.86
2015-07-14,83.89
2015-07-15,84.29
2015-07-16,
2015-07-17,83.88
2015-07-18,84.14
2015-07-19,84.61
2015-07-20,84.49
2015-07-21,81.35
2015-07-22,82.15
2015-07-23,82.66
2015-07-24,84.28
2015-07-25,84.47
2015-07-26,84.32
2015-07-27,83.88
2015-07-28,83.87
2015-07-29,83.58
2015-07-30,83.2
2015-07-31,82.45
2015-08-01,81.8
2015-08-02,80.78
2015-08-03,81.07
2015-08-04,80.08
2015-08-05,80.55
2015-08-06,82.14
2015-08-07,83.0
2015-08-08,83.17
2015-08-09,83.0
2015-08-10,82.19
2015-08-11,81.41
2015-08-12,79.6
2015-08-13,78.67
2015-08-14,79.68
2015-08-15,78.89
2015-08-16,78.76
2015-08-17,79.41
2015-08-18,
2015-08-19,76.09
2015-08-20,74.01
2015-08-21,75.32
2015-08-22,75.7
2015-08-23,76.34
2015-08-24,75.34
2015-08-25,74.68
2015-08-26,76.44
2015-08-27,76.54
2015-08-28,75.11
2015-08-29,76.54
2015-08-30,77.84
2015-08-31,78.38
2015-09-01,79.06
2015-09-02,79.72
2015-09-03,80.12
2015-09-04,80.69
2015-09-05,81.49
2015-09-06,82.43
2015-09-07,83.11
2015-09-08,81.0
2015-09-09,79.56
2015-09-10,79.76
2015-09-11,77.95
2015-09-12,74.82
2015-09-13,74.35
2015-09-14,72.94
2015-09-15,73.81
2015-09-16,75.94
2015-09-17,76.98
2015-09-18,76.55
2015-09-19,74.65
2015-09-20,72.84
2015-09-21,74.14
2015-09-22,75.65
2015-09-23,75.88
2015-09-24,75.67
2015-09-25,75.18
2015-09-26,74.49
2015-09-27,73.64
2015-09-28,73.56
2015-09-29,
2015-09-30,72.91
2015-10-01,71.05
2015-10-02,68.85
2015-10-03,67.46
2015-10-04,67.18
2015-10-05,66.03
2015-10-06,66.69
2015-10-07,67.76
2015-10-08,
2015-10-09,68.89
2015-10-10,67.2
2015-10-11,68.8
2015-10-12,69.44
2015-10-13,66.72
2015-10-14,67.22
2015-10-15,
2015-10-16,67.06
2015-10-17,65.6
2015-10-18,64.93
2015-10-19,
2015-10-20,66.72
2015-10-21,68.09
2015-10-22,68.58
2015-10-23,69.17
2015-10-24,66.81
2015-10-25,62.91
2015-10-26,61.11
2015-10-27,63.04
2015-10-28,62.61
2015-10-29,60.96
2015-10-30,58.18
2015-10-31,59.44
2015-11-01,58.91
2015-11-02,59.99
2015-11-03,62.15
2015-11-04,62.78
2015-11-05,63.93
2015-11-06,61.07
2015-11-07,57.91
2015-11-08,56.51
2015-11-09,56.39
2015-11-10,57.85
2015-11-11,60.83
2015-11-12,57.03
2015-11-13,54.91
2015-11-14,54.78
2015-11-15,55.78
2015-11-16,56.66
2015-11-17,
2015-11-18,56.43
2015-11-19,54.27
2015-11-20,53.22
2015-11-21,52.84
2015-11-22,49.26
2015-11-23,50.01
2015-11-24,51.3
2015-11-25,54.5
2015-11-26,57.39
2015-11-27,50.16
2015-11-28,47.0
2015-11-29,47.04
