sample_date,sample_time,activity_id,activity_type,characteristic,unit,value,status
2005-09-01,00:00:00,IOWATROK_WQX-SND1W090105F,Field Msr/Obs,pH,None,8.07,Final
2005-09-01,,IOWATROK_WQX-SND1_09/01/2005_F,Field Msr/Obs,pH,None,8.07,Final
2005-12-20,00:00:00,IOWATROK_WQX-SND1W122005F,Field Msr/Obs,pH,None,7.84,Final
2005-12-20,,IOWATROK_WQX-SND1_12/20/2005_F,Field Msr/Obs,pH,None,7.84,Final
2006-07-05,00:00:00,IOWATROK_WQX-SND1W070506F,Field Msr/Obs,pH,None,8.14,Final
2006-07-05,,IOWATROK_WQX-SND1_07/05/2006_F,Field Msr/Obs,pH,None,8.14,Final
2007-04-02,00:00:00,IOWATROK_WQX-SND1W040207F,Field Msr/Obs,pH,None,7.42,Final
2007-04-02,,IOWATROK_WQX-SND1_04/02/2007_F,Field Msr/Obs,pH,None,7.42,Final
2007-04-09,00:00:00,IOWATROK_WQX-SND1W040907F,Field Msr/Obs,pH,None,7.93,Final
2007-04-09,,IOWATROK_WQX-SND1_04/09/2007_F,Field Msr/Obs,pH,None,7.93,Final
2007-04-16,00:00:00,IOWATROK_WQX-SND1W041607F,Field Msr/Obs,pH,None,7.58,Final
2007-04-16,,IOWATROK_WQX-SND1_04/16/2007_F,Field Msr/Obs,pH,None,7.58,Final
2007-04-19,00:00:00,IOWATROK_WQX-SND1W041907F,Field Msr/Obs,pH,None,7.74,Final
2007-04-19,,IOWATROK_WQX-SND1_04/19/2007_F,Field Msr/Obs,pH,None,7.74,Final
2007-04-23,00:00:00,IOWATROK_WQX-SND1W042307F,Field Msr/Obs,pH,None,7.92,Final
2007-04-23,,IOWATROK_WQX-SND1_04/23/2007_F,Field Msr/Obs,pH,None,7.92,Final
2007-05-14,00:00:00,IOWATROK_WQX-SND1W051407F,Field Msr/Obs,pH,None,7.68,Final
2007-05-14,,IOWATROK_WQX-SND1_05/14/2007_F,Field Msr/Obs,pH,None,7.68,Final
2007-05-17,00:00:00,IOWATROK_WQX-SND1W051707F,Field Msr/Obs,pH,None,7.67,Final
2007-05-17,,IOWATROK_WQX-SND1_05/17/2007_F,Field Msr/Obs,pH,None,7.67,Final
2007-05-21,00:00:00,IOWATROK_WQX-SND1W052107F,Field Msr/Obs,pH,None,7.88,Final
2007-05-21,,IOWATROK_WQX-SND1_05/21/2007_F,Field Msr/Obs,pH,None,7.88,Final
2007-06-04,00:00:00,IOWATROK_WQX-SND1W060407F,Field Msr/Obs,pH,None,7.59,Final
2007-06-04,,IOWATROK_WQX-SND1_06/04/2007_F,Field Msr/Obs,pH,None,7.59,Final
2007-06-07,00:00:00,IOWATROK_WQX-SND1W060707F,Field Msr/Obs,pH,None,7.72,Final
2007-06-07,,IOWATROK_WQX-SND1_06/07/2007_F,Field Msr/Obs,pH,None,7.72,Final
2007-06-11,00:00:00,IOWATROK_WQX-SND1W061107F,Field Msr/Obs,pH,None,7.73,Final
2007-06-11,,IOWATROK_WQX-SND1_06/11/2007_F,Field Msr/Obs,pH,None,7.73,Final
2007-06-18,00:00:00,IOWATROK_WQX-SND1W061807F,Field Msr/Obs,pH,None,7.41,Final
2007-06-18,,IOWATROK_WQX-SND1_06/18/2007_F,Field Msr/Obs,pH,None,7.41,Final
2007-07-02,00:00:00,IOWATROK_WQX-SND1W070207F,Field Msr/Obs,pH,None,7.38,Final
2007-07-02,,IOWATROK_WQX-SND1_07/02/2007_F,Field Msr/Obs,pH,None,7.38,Final
2007-07-09,00:00:00,IOWATROK_WQX-SND1W070907F,Field Msr/Obs,pH,None,7.69,Final
2007-07-09,,IOWATROK_WQX-SND1_07/09/2007_F,Field Msr/Obs,pH,None,7.69,Final
2007-07-11,00:00:00,IOWATROK_WQX-SND1W071107F,Field Msr/Obs,pH,None,7.46,Final
2007-07-11,,IOWATROK_WQX-SND1_07/11/2007_F,Field Msr/Obs,pH,None,7.46,Final
2007-08-29,00:00:00,IOWATROK_WQX-SND1W082907F,Field Msr/Obs,pH,None,7.77,Final
2007-08-29,,IOWATROK_WQX-SND1_08/29/2007_F,Field Msr/Obs,pH,None,7.77,Final
2007-09-06,00:00:00,IOWATROK_WQX-SND1W090607F,Field Msr/Obs,pH,None,7.84,Final
2007-09-06,,IOWATROK_WQX-SND1_09/06/2007_F,Field Msr/Obs,pH,None,7.84,Final
2007-09-11,00:00:00,IOWATROK_WQX-SND1W091107F,Field Msr/Obs,pH,None,7.84,Final
2007-09-11,,IOWATROK_WQX-SND1_09/11/2007_F,Field Msr/Obs,pH,None,7.84,Final
2007-09-17,00:00:00,IOWATROK_WQX-SND1W091707F,Field Msr/Obs,pH,None,7.65,Final
2007-09-17,,IOWATROK_WQX-SND1_09/17/2007_F,Field Msr/Obs,pH,None,7.65,Final
2007-09-20,00:00:00,IOWATROK_WQX-SND1W092007F,Field Msr/Obs,pH,None,7.25,Final
2007-09-20,,IOWATROK_WQX-SND1_09/20/2007_F,Field Msr/Obs,pH,None,7.25,Final
2007-09-24,00:00:00,IOWATROK_WQX-SND1W092407F,Field Msr/Obs,pH,None,7.46,Final
2007-09-24,,IOWATROK_WQX-SND1_09/24/2007_F,Field Msr/Obs,pH,None,7.46,Final
2009-01-21,,IOWATROK_WQX-SndW012109F,Field Msr/Obs,pH,None,8.13,Final
2009-02-03,,IOWATROK_WQX-Snd1W020309F,Field Msr/Obs,pH,None,8.02,Final
2009-02-05,,IOWATROK_WQX-Snd1W020509F,Field Msr/Obs,pH,None,8.22,Final
2009-02-16,,IOWATROK_WQX-Snd1W021609F,Field Msr/Obs,pH,None,8.33,Final
2009-02-18,,IOWATROK_WQX-Snd1W021809F,Field Msr/Obs,pH,None,8.35,Final
2009-03-11,,IOWATROK_WQX-Snd1W031109F,Field Msr/Obs,pH,None,8.32,Final
2009-03-17,,IOWATROK_WQX-Snd1W031709F,Field Msr/Obs,pH,None,8.51,Final
2009-03-24,,IOWATROK_WQX-Snd1W032409F,Field Msr/Obs,pH,None,8.1,Final
2009-03-24,,IOWATROK_WQX-Snd1W032409F,Field Msr/Obs,pH,None,8.11,Final
2009-03-24,,IOWATROK_WQX-Snd1W032409F,Field Msr/Obs,pH,None,8.12,Final
2009-03-26,,IOWATROK_WQX-Snd1W032609F,Field Msr/Obs,pH,None,8.29,Final
2009-03-30,,IOWATROK_WQX-Snd1W033009F,Field Msr/Obs,pH,None,8.11,Final
2009-04-23,,IOWATROK_WQX-Snd1W042309F,Field Msr/Obs,pH,None,8.48,Final
2009-05-05,,IOWATROK_WQX-Sand1W050509F,Field Msr/Obs,pH,None,0.0,Final
2009-05-26,,IOWATROK_WQX-Snd1W052609F,Field Msr/Obs,pH,None,8.56,Final
2009-05-26,,IOWATROK_WQX-Snd1W052609F,Field Msr/Obs,pH,None,8.56,Final
2009-05-26,,IOWATROK_WQX-Snd1W052609F,Field Msr/Obs,pH,None,8.57,Final
2009-05-28,,IOWATROK_WQX-Snd1W052809F,Field Msr/Obs,pH,None,8.71,Final
2009-06-01,,IOWATROK_WQX-Snd1W060109F,Field Msr/Obs,pH,None,8.6,Final
2009-06-03,,IOWATROK_WQX-Snd1W060309F,Field Msr/Obs,pH,None,8.52,Final
2009-06-08,,IOWATROK_WQX-Snd1W060809F,Field Msr/Obs,pH,None,8.61,Final
2009-06-17,,IOWATROK_WQX-Snd1W061709F,Field Msr/Obs,pH,None,8.61,Final
2009-06-22,,IOWATROK_WQX-Snd1W062209F,Field Msr/Obs,pH,None,8.71,Final
2009-06-22,,IOWATROK_WQX-Snd1W062209F,Field Msr/Obs,pH,None,8.72,Final
2009-06-22,,IOWATROK_WQX-Snd1W062209F,Field Msr/Obs,pH,None,8.72,Final
2009-06-25,,IOWATROK_WQX-Snd1W062509F,Field Msr/Obs,pH,None,8.85,Final
2009-06-29,,IOWATROK_WQX-Snd1W062909F,Field Msr/Obs,pH,None,8.77,Final
2009-07-01,,IOWATROK_WQX-Snd1W070109F,Field Msr/Obs,pH,None,8.84,Final
2009-07-09,,IOWATROK_WQX-Snd1W070909F,Field Msr/Obs,pH,None,8.76,Final
2009-07-14,,IOWATROK_WQX-Snd1W071409F,Field Msr/Obs,pH,None,8.9,Final
2009-07-21,,IOWATROK_WQX-Snd1W072109F,Field Msr/Obs,pH,None,8.48,Final
2009-07-28,,IOWATROK_WQX-Snd1W072809F,Field Msr/Obs,pH,None,9.08,Final
2009-08-04,,IOWATROK_WQX-Snd1W080409F,Field Msr/Obs,pH,None,8.73,Final
2009-08-06,,IOWATROK_WQX-Snd1W080609F,Field Msr/Obs,pH,None,8.41,Final
2009-08-18,,IOWATROK_WQX-Snd1W081809F,Field Msr/Obs,pH,None,8.72,Final
2009-08-18,,IOWATROK_WQX-Snd1W081809F,Field Msr/Obs,pH,None,8.72,Final
2009-08-18,,IOWATROK_WQX-Snd1W081809F,Field Msr/Obs,pH,None,8.72,Final
2009-08-25,,IOWATROK_WQX-Snd1W082509F,Field Msr/Obs,pH,None,8.8,Final
2009-08-27,,IOWATROK_WQX-Snd1W082709F,Field Msr/Obs,pH,None,8.69,Final
2009-09-01,,IOWATROK_WQX-Snd1W090109F,Field Msr/Obs,pH,None,8.54,Final
2009-09-08,,IOWATROK_WQX-Snd1W090809F,Field Msr/Obs,pH,None,8.32,Final
2009-09-15,,IOWATROK_WQX-Snd1W091509F,Field Msr/Obs,pH,None,8.3,Final
2009-09-15,,IOWATROK_WQX-Snd1W091509F,Field Msr/Obs,pH,None,8.32,Final
2009-09-15,,IOWATROK_WQX-Snd1W091509F,Field Msr/Obs,pH,None,8.33,Final
2009-09-22,,IOWATROK_WQX-Snd1W092209F,Field Msr/Obs,pH,None,0.832,Final
2009-09-29,,IOWATROK_WQX-Snd1W092909F,Field Msr/Obs,pH,None,8.48,Final
2009-10-01,,IOWATROK_WQX-Snd1W100109F,Field Msr/Obs,pH,None,8.52,Final
2010-02-04,,IOWATROK_WQX-Snd1W020410F,Field Msr/Obs,pH,None,8.09,Final
2010-02-11,,IOWATROK_WQX-Snd1W021110F,Field Msr/Obs,pH,None,8.07,Final
2010-02-16,,IOWATROK_WQX-Snd1W021610F,Field Msr/Obs,pH,None,7.99,Final
2010-02-16,,IOWATROK_WQX-Snd1W021610F,Field Msr/Obs,pH,None,7.99,Final
2010-02-16,,IOWATROK_WQX-Snd1W021610F,Field Msr/Obs,pH,None,7.99,Final
2010-02-18,,IOWATROK_WQX-Snd1W021810F,Field Msr/Obs,pH,None,8.35,Final
2010-02-25,,IOWATROK_WQX-Snd1W022510F,Field Msr/Obs,pH,None,8.0,Final
2010-03-02,,IOWATROK_WQX-Snd1W030210F,Field Msr/Obs,pH,None,8.0,Final
2010-03-10,,IOWATROK_WQX-Snd1W031010F,Field Msr/Obs,pH,None,8.15,Final
2010-03-22,,IOWATROK_WQX-Snd1W032210F,Field Msr/Obs,pH,None,7.61,Final
2010-03-29,,IOWATROK_WQX-Snd1W032910F,Field Msr/Obs,pH,None,8.26,Final
2010-03-29,,IOWATROK_WQX-Snd1W032910F,Field Msr/Obs,pH,None,8.26,Final
2010-03-29,,IOWATROK_WQX-Snd1W032910F,Field Msr/Obs,pH,None,8.26,Final
2010-03-31,,IOWATROK_WQX-Snd1W033110F,Field Msr/Obs,pH,None,8.65,Final
2010-04-08,,IOWATROK_WQX-Snd1W040810F,Field Msr/Obs,pH,None,7.86,Final
2010-04-14,,IOWATROK_WQX-Snd1W041410F,Field Msr/Obs,pH,None,8.42,Final
2010-04-20,,IOWATROK_WQX-Snd1W042010F,Field Msr/Obs,pH,None,8.35,Final
2010-04-26,,IOWATROK_WQX-Snd1W042610F,Field Msr/Obs,pH,None,8.28,Final
2010-04-29,,IOWATROK_WQX-Snd1W042910F,Field Msr/Obs,pH,None,8.28,Final
2010-05-03,,IOWATROK_WQX-Snd1W050310F,Field Msr/Obs,pH,None,8.28,Final
2010-05-03,,IOWATROK_WQX-Snd1W050310F,Field Msr/Obs,pH,None,8.28,Final
2010-05-03,,IOWATROK_WQX-Snd1W050310F,Field Msr/Obs,pH,None,8.29,Final
2010-05-07,,IOWATROK_WQX-Snd1W050710F,Field Msr/Obs,pH,None,8.56,Final
2010-05-17,,IOWATROK_WQX-Snd1W051710F,Field Msr/Obs,pH,None,8.58,Final
2010-05-25,,IOWATROK_WQX-Snd1W052510F,Field Msr/Obs,pH,None,8.62,Final
2010-05-27,,IOWATROK_WQX-Snd1W052710F,Field Msr/Obs,pH,None,8.62,Final
2010-06-10,,IOWATROK_WQX-Snd1W061010F,Field Msr/Obs,pH,None,8.28,Final
2010-06-16,,IOWATROK_WQX-Snd1W061610F,Field Msr/Obs,pH,None,8.28,Final
2010-06-22,,IOWATROK_WQX-Snd1W062210F,Field Msr/Obs,pH,None,8.62,Final
2010-06-29,,IOWATROK_WQX-Snd1W062910F,Field Msr/Obs,pH,None,8.62,Final
2010-07-07,,IOWATROK_WQX-Snd1W070710F,Field Msr/Obs,pH,None,8.28,Final
2010-07-13,,IOWATROK_WQX-Snd1W071310F,Field Msr/Obs,pH,None,8.61,Final
2010-07-13,,IOWATROK_WQX-Snd1W071310F,Field Msr/Obs,pH,None,8.62,Final
2010-07-13,,IOWATROK_WQX-Snd1W071310F,Field Msr/Obs,pH,None,8.62,Final
2010-07-15,,IOWATROK_WQX-Snd1W071510F,Field Msr/Obs,pH,None,8.62,Final
2010-07-19,,IOWATROK_WQX-Snd1W071910F,Field Msr/Obs,pH,None,8.58,Final
2010-07-29,,IOWATROK_WQX-Snd1W072910F,Field Msr/Obs,pH,None,9.14,Final
2010-08-02,,IOWATROK_WQX-Snd1W080210F,Field Msr/Obs,pH,None,8.1,Final
2010-08-04,,IOWATROK_WQX-Snd1W080410F,Field Msr/Obs,pH,None,8.45,Final
