station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2016-03-01,3,3,1,24,0,3407
AVC040,2016-03-01,3,7,1,24,0,3398
AVC040,2016-03-02,4,3,1,24,0,3329
AVC040,2016-03-02,4,7,1,24,0,3324
AVC040,2016-03-03,5,3,1,24,0,3557
AVC040,2016-03-03,5,7,1,24,0,3531
AVC040,2016-03-04,6,3,1,24,0,4133
AVC040,2016-03-04,6,7,1,24,0,4081
AVC040,2016-03-05,7,3,1,24,0,3070
AVC040,2016-03-05,7,7,1,24,0,3105
AVC040,2016-03-06,1,3,1,24,0,2104
AVC040,2016-03-06,1,7,1,24,0,2244
AVC040,2016-03-07,2,3,1,24,0,3129
AVC040,2016-03-07,2,7,1,24,0,3213
AVC040,2016-03-08,3,3,1,24,0,2963
AVC040,2016-03-08,3,7,1,24,0,3012
AVC040,2016-03-09,4,3,1,24,0,3226
AVC040,2016-03-09,4,7,1,24,0,3258
AVC040,2016-03-10,5,3,1,24,0,3304
AVC040,2016-03-10,5,7,1,24,0,3314
AVC040,2016-03-11,6,3,1,24,0,3635
AVC040,2016-03-11,6,7,1,24,0,3621
AVC040,2016-03-12,7,3,1,24,0,2705
AVC040,2016-03-12,7,7,1,24,0,2659
AVC040,2016-03-14,2,3,1,24,0,3193
AVC040,2016-03-14,2,7,1,24,0,3177
AVC040,2016-03-15,3,3,1,24,0,3230
AVC040,2016-03-15,3,7,1,24,0,3230
AVC040,2016-03-16,4,3,1,24,0,3299
AVC040,2016-03-16,4,7,1,24,0,3314
AVC040,2016-03-17,5,3,1,24,0,3274
AVC040,2016-03-17,5,7,1,24,0,3218
AVC040,2016-03-18,6,3,1,24,0,3321
AVC040,2016-03-18,6,7,1,24,0,3393
AVC040,2016-03-19,7,3,1,24,0,2709
AVC040,2016-03-19,7,7,1,24,0,2769
AVC040,2016-03-20,1,3,1,24,0,2136
AVC040,2016-03-20,1,7,1,24,0,2250
AVC040,2016-03-21,2,3,1,24,0,3081
AVC040,2016-03-21,2,7,1,24,0,3132
AVC040,2016-03-22,3,3,1,24,0,3310
AVC040,2016-03-22,3,7,1,24,0,3352
AVC040,2016-03-23,4,3,1,24,0,3357
AVC040,2016-03-23,4,7,1,24,0,3376
AVC040,2016-03-24,5,3,1,24,0,3382
AVC040,2016-03-24,5,7,1,24,0,3409
AVC040,2016-03-25,6,3,1,24,0,3609
AVC040,2016-03-25,6,7,1,24,0,3602
AVC040,2016-03-26,7,3,1,24,0,2898
AVC040,2016-03-26,7,7,1,24,0,2863
AVC040,2016-03-27,1,3,1,24,0,2274
AVC040,2016-03-27,1,7,1,24,0,2361
AVC040,2016-03-29,3,3,1,24,0,3223
AVC040,2016-03-29,3,7,1,24,0,3314
AVC040,2016-03-30,4,3,1,24,0,3039
AVC040,2016-03-30,4,7,1,24,0,3055
AVC040,2016-03-31,5,3,1,24,0,3307
AVC040,2016-03-31,5,7,1,24,0,3274
