station_id,distance_km,lat,lon,counties,routes,f_systems,directions,lanes,num_lanes,class_types,year_est,rows,location
AVC040,9.164,35.985914,-96.868845,119,SH-18,4R,3;7,1,1,H,00,2,"H-33, 0.50 miles E of SH-18, W of Cus"
AVC047,31.271,35.709769,-96.837691,081,SH-66,5R,3;7,1,1,H,06,2,"H-66, 2.40 miles E of SH-18N, E of Ch"
AVC032,36.960,36.115898,-97.144951,119,SH-51,4U,3;7,1;2,2,H,00,4,"H-51, 3.50 miles E of SH-51C, W of St"
AVC013,59.541,36.093075,-96.118403,143,SH-97,3U,1;5,1;2,2,H,95,4,"H-97, 3.00 miles S of US-412, in Sand"
AVC009,63.537,36.065198,-96.067460,037,SH-66,3U,3;7,1;2,2,H,95,4,"H-66, 1.40 miles E of 81st St, in Sap"
AVC504,64.833,35.733785,-97.416162,083,I-35,1R,1;5,1;2,2,H,18,4,"-35, 0.50 miles N of Waterloo Rd"
WIM104,64.833,35.733785,-97.416162,083,I-35,1R,1;5,1;2,2,H,95,4,"-35, 0.50 miles N of Waterloo Rd"
AVC070,65.516,35.407804,-96.912091,125,SH-18,5R,1;5,1;2,2,H,09,4,"H-18, 1.62 miles N of I-40"
AVC018,67.064,36.158405,-96.052295,143,US-64,2U,3;7,1;2;3,3,H,95,6,"S-64, 0.38 miles W of 49th W Ave, E o"
AVC011,67.988,36.000580,-96.011541,143,US-75,2U,1;5,1;2,2,H,06,4,"S-75, 0.80 miles N of SH-117, in Jenk"
AVC063,70.204,36.134564,-96.008202,143,I-244,1U,3;7,1;2;3,3,H,00,6,"-244, 0.30 miles N of 23rd St OP"
AVC005,72.217,35.493143,-97.289381,109,US-62,3U,3;7,1;2,2,H,95,4,"S-62, 9.75 miles E of I-35, in Chocta"
AVC064,77.386,36.159375,-95.933405,143,I-244,1U,3;7,1;2;3;4,4,H,07,8,"-244, 0.40 miles E of Harvard Ave"
AVC014,79.259,36.008532,-95.886450,143,US-64,3U,1;5,1;2;3,3,H,95,6,"S-64 (Memorial Rd), 1.10 miles S of t"
