station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2023-05-01,2,3,1,24,0,3355
AVC040,2023-05-01,2,7,1,24,0,3373
AVC040,2023-05-02,3,3,1,24,0,3438
AVC040,2023-05-02,3,7,1,24,0,3372
AVC040,2023-05-03,4,3,1,24,0,3371
AVC040,2023-05-03,4,7,1,24,0,3399
AVC040,2023-05-04,5,3,1,24,0,3220
AVC040,2023-05-04,5,7,1,24,0,3118
AVC040,2023-05-05,6,3,1,24,0,3912
AVC040,2023-05-05,6,7,1,24,0,3845
AVC040,2023-05-06,7,3,1,24,0,3309
AVC040,2023-05-06,7,7,1,24,0,3306
AVC040,2023-05-07,1,3,1,24,0,2246
AVC040,2023-05-07,1,7,1,24,0,2235
AVC040,2023-05-08,2,3,1,24,0,3290
AVC040,2023-05-08,2,7,1,24,0,3322
AVC040,2023-05-09,3,3,1,24,0,3327
AVC040,2023-05-09,3,7,1,24,0,3326
AVC040,2023-05-10,4,3,1,24,0,3441
AVC040,2023-05-10,4,7,1,24,0,3357
AVC040,2023-05-11,5,3,1,24,0,3305
AVC040,2023-05-11,5,7,1,24,0,3303
AVC040,2023-05-12,6,3,1,24,0,3590
AVC040,2023-05-12,6,7,1,24,0,3579
AVC040,2023-05-13,7,3,1,24,0,2853
AVC040,2023-05-13,7,7,1,24,0,2773
AVC040,2023-05-14,1,3,1,24,0,2429
AVC040,2023-05-14,1,7,1,24,0,2362
AVC040,2023-05-15,2,3,1,24,0,3128
AVC040,2023-05-15,2,7,1,24,0,3031
AVC040,2023-05-16,3,3,1,24,0,3289
AVC040,2023-05-16,3,7,1,24,0,3247
AVC040,2023-05-17,4,3,1,24,0,3487
AVC040,2023-05-17,4,7,1,24,0,3366
AVC040,2023-05-18,5,3,1,24,0,3481
AVC040,2023-05-18,5,7,1,24,0,3443
AVC040,2023-05-19,6,3,1,24,0,3487
AVC040,2023-05-19,6,7,1,24,0,3396
AVC040,2023-05-20,7,3,1,24,0,3053
AVC040,2023-05-20,7,7,1,24,0,2962
AVC040,2023-05-21,1,3,1,24,0,2346
AVC040,2023-05-21,1,7,1,24,0,2345
AVC040,2023-05-22,2,3,1,24,0,3273
AVC040,2023-05-22,2,7,1,24,0,3277
AVC040,2023-05-23,3,3,1,24,0,3215
AVC040,2023-05-23,3,7,1,24,0,3156
AVC040,2023-05-24,4,3,1,24,0,3426
AVC040,2023-05-24,4,7,1,24,0,3333
AVC040,2023-05-25,5,3,1,24,0,3534
AVC040,2023-05-25,5,7,1,24,0,3373
AVC040,2023-05-26,6,3,1,24,0,3793
AVC040,2023-05-26,6,7,1,24,0,3535
AVC040,2023-05-27,7,3,1,24,0,2809
AVC040,2023-05-27,7,7,1,24,0,2749
AVC040,2023-05-28,1,3,1,24,0,2234
AVC040,2023-05-28,1,7,1,24,0,2127
AVC040,2023-05-29,2,3,1,24,0,2098
AVC040,2023-05-29,2,7,1,24,0,2162
AVC040,2023-05-30,3,3,1,24,0,3366
AVC040,2023-05-30,3,7,1,24,0,3297
AVC040,2023-05-31,4,3,1,24,0,3486
AVC040,2023-05-31,4,7,1,24,0,3405
