station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2023-11-01,4,3,1,24,0,3472
AVC040,2023-11-01,4,7,1,24,0,3434
AVC040,2023-11-02,5,3,1,24,0,3440
AVC040,2023-11-02,5,7,1,24,0,3429
AVC040,2023-11-03,6,3,1,24,0,3986
AVC040,2023-11-03,6,7,1,24,0,3867
AVC040,2023-11-04,7,3,1,24,0,2764
AVC040,2023-11-04,7,7,1,24,0,2774
AVC040,2023-11-06,2,3,1,24,0,3407
AVC040,2023-11-06,2,7,1,24,0,3446
AVC040,2023-11-07,3,3,1,24,0,3598
AVC040,2023-11-07,3,7,1,24,0,3594
AVC040,2023-11-08,4,3,1,24,0,3559
AVC040,2023-11-08,4,7,1,24,0,3543
AVC040,2023-11-09,5,3,1,24,0,3679
AVC040,2023-11-09,5,7,1,24,0,3658
AVC040,2023-11-10,6,3,1,24,0,3856
AVC040,2023-11-10,6,7,1,24,0,3729
AVC040,2023-11-11,7,3,1,24,0,2918
AVC040,2023-11-11,7,7,1,24,0,2833
AVC040,2023-11-12,1,3,1,24,0,2253
AVC040,2023-11-12,1,7,1,24,0,2197
AVC040,2023-11-13,2,3,1,24,0,3481
AVC040,2023-11-13,2,7,1,24,0,3492
AVC040,2023-11-14,3,3,1,24,0,3657
AVC040,2023-11-14,3,7,1,24,0,3690
AVC040,2023-11-15,4,3,1,24,0,3649
AVC040,2023-11-15,4,7,1,24,0,3742
AVC040,2023-11-16,5,3,1,24,0,3670
AVC040,2023-11-16,5,7,1,24,0,3719
AVC040,2023-11-17,6,3,1,24,0,4169
AVC040,2023-11-17,6,7,1,24,0,3993
AVC040,2023-11-18,7,3,1,24,0,2947
AVC040,2023-11-18,7,7,1,24,0,2781
AVC040,2023-11-19,1,3,1,24,0,2032
AVC040,2023-11-19,1,7,1,24,0,1895
AVC040,2023-11-20,2,3,1,24,0,3271
AVC040,2023-11-20,2,7,1,24,0,3202
AVC040,2023-11-21,3,3,1,24,0,3561
AVC040,2023-11-21,3,7,1,24,0,3531
AVC040,2023-11-22,4,3,1,24,0,3454
AVC040,2023-11-22,4,7,1,24,0,3408
AVC040,2023-11-23,5,3,1,24,0,2470
AVC040,2023-11-23,5,7,1,24,0,2457
AVC040,2023-11-24,6,3,1,24,0,2980
AVC040,2023-11-24,6,7,1,24,0,2965
AVC040,2023-11-25,7,3,1,24,0,2421
AVC040,2023-11-25,7,7,1,24,0,2433
AVC040,2023-11-26,1,3,1,24,0,1980
AVC040,2023-11-26,1,7,1,24,0,2025
AVC040,2023-11-27,2,3,1,24,0,3240
AVC040,2023-11-27,2,7,1,24,0,3563
AVC040,2023-11-28,3,3,1,24,0,3355
AVC040,2023-11-28,3,7,1,24,0,3395
AVC040,2023-11-29,4,3,1,24,0,3518
AVC040,2023-11-29,4,7,1,24,0,3508
AVC040,2023-11-30,5,3,1,24,0,3438
AVC040,2023-11-30,5,7,1,24,0,3375
