station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2018-04-01,1,3,1,24,0,2171
AVC040,2018-04-01,1,7,1,24,0,2350
AVC040,2018-04-02,2,3,1,24,0,3244
AVC040,2018-04-02,2,7,1,24,0,3405
AVC040,2018-04-03,3,3,1,24,0,3452
AVC040,2018-04-03,3,7,1,24,0,3480
AVC040,2018-04-04,4,3,1,24,0,3541
AVC040,2018-04-04,4,7,1,24,0,3535
AVC040,2018-04-05,5,3,1,24,0,3780
AVC040,2018-04-05,5,7,1,24,0,3809
AVC040,2018-04-06,6,3,1,24,0,3641
AVC040,2018-04-06,6,7,1,24,0,3636
AVC040,2018-04-07,7,3,1,24,0,2515
AVC040,2018-04-07,7,7,1,24,0,2555
AVC040,2018-04-08,1,3,1,24,0,2155
AVC040,2018-04-08,1,7,1,24,0,2300
AVC040,2018-04-09,2,3,1,24,0,3370
AVC040,2018-04-09,2,7,1,24,0,3397
AVC040,2018-04-10,3,3,1,24,0,3536
AVC040,2018-04-10,3,7,1,24,0,3569
AVC040,2018-04-11,4,3,1,24,0,3569
AVC040,2018-04-11,4,7,1,24,0,3540
AVC040,2018-04-12,5,3,1,24,0,3672
AVC040,2018-04-12,5,7,1,24,0,3620
AVC040,2018-04-13,6,3,1,24,0,3867
AVC040,2018-04-13,6,7,1,24,0,3804
AVC040,2018-04-14,7,3,1,24,0,2841
AVC040,2018-04-14,7,7,1,24,0,2861
AVC040,2018-04-15,1,3,1,24,0,2214
AVC040,2018-04-15,1,7,1,24,0,2323
AVC040,2018-04-16,2,3,1,24,0,3431
AVC040,2018-04-16,2,7,1,24,0,3458
AVC040,2018-04-17,3,3,1,24,0,3524
AVC040,2018-04-17,3,7,1,24,0,3591
AVC040,2018-04-18,4,3,1,24,0,3554
AVC040,2018-04-18,4,7,1,24,0,3536
AVC040,2018-04-19,5,3,1,24,0,3658
AVC040,2018-04-19,5,7,1,24,0,3537
AVC040,2018-04-20,6,3,1,24,0,3958
AVC040,2018-04-20,6,7,1,24,0,3960
AVC040,2018-04-21,7,3,1,24,0,2534
AVC040,2018-04-21,7,7,1,24,0,2518
AVC040,2018-04-22,1,3,1,24,0,2258
AVC040,2018-04-22,1,7,1,24,0,2183
AVC040,2018-04-23,2,3,1,24,0,3376
AVC040,2018-04-23,2,7,1,24,0,3406
AVC040,2018-04-24,3,3,1,24,0,3645
AVC040,2018-04-24,3,7,1,24,0,3567
AVC040,2018-04-25,4,3,1,24,0,3221
AVC040,2018-04-25,4,7,1,24,0,3223
AVC040,2018-04-26,5,3,1,24,0,3701
AVC040,2018-04-26,5,7,1,24,0,3648
AVC040,2018-04-27,6,3,1,24,0,3861
AVC040,2018-04-27,6,7,1,24,0,3733
AVC040,2018-04-28,7,3,1,24,0,3289
AVC040,2018-04-28,7,7,1,24,0,3293
AVC040,2018-04-29,1,3,1,24,0,2612
AVC040,2018-04-29,1,7,1,24,0,2616
AVC040,2018-04-30,2,3,1,24,0,3472
AVC040,2018-04-30,2,7,1,24,0,3429
