station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2017-12-01,6,3,1,24,0,4160
AVC040,2017-12-01,6,7,1,24,0,4102
AVC040,2017-12-02,7,3,1,24,0,2812
AVC040,2017-12-02,7,7,1,24,0,2804
AVC040,2017-12-03,1,3,1,24,0,2239
AVC040,2017-12-03,1,7,1,24,0,2336
AVC040,2017-12-04,2,3,1,24,0,3376
AVC040,2017-12-04,2,7,1,24,0,3425
AVC040,2017-12-05,3,3,1,24,0,3500
AVC040,2017-12-05,3,7,1,24,0,3424
AVC040,2017-12-06,4,3,1,24,0,3441
AVC040,2017-12-06,4,7,1,24,0,3504
AVC040,2017-12-07,5,3,1,24,0,3476
AVC040,2017-12-07,5,7,1,24,0,3426
AVC040,2017-12-08,6,3,1,24,0,3786
AVC040,2017-12-08,6,7,1,24,0,3696
AVC040,2017-12-09,7,3,1,24,0,2936
AVC040,2017-12-09,7,7,1,24,0,2995
AVC040,2017-12-10,1,3,1,24,0,2201
AVC040,2017-12-10,1,7,1,24,0,2228
AVC040,2017-12-11,2,3,1,24,0,3328
AVC040,2017-12-11,2,7,1,24,0,3334
AVC040,2017-12-12,3,3,1,24,0,3527
AVC040,2017-12-12,3,7,1,24,0,3481
AVC040,2017-12-13,4,3,1,24,0,3571
AVC040,2017-12-13,4,7,1,24,0,3451
AVC040,2017-12-14,5,3,1,24,0,3434
AVC040,2017-12-14,5,7,1,24,0,3491
AVC040,2017-12-15,6,3,1,24,0,3744
AVC040,2017-12-15,6,7,1,24,0,3728
AVC040,2017-12-16,7,3,1,24,0,3037
AVC040,2017-12-16,7,7,1,24,0,3063
AVC040,2017-12-17,1,3,1,24,0,2212
AVC040,2017-12-17,1,7,1,24,0,2246
AVC040,2017-12-18,2,3,1,24,0,3339
AVC040,2017-12-18,2,7,1,24,0,3405
AVC040,2017-12-19,3,3,1,24,0,3389
AVC040,2017-12-19,3,7,1,24,0,3345
AVC040,2017-12-20,4,3,1,24,0,3550
AVC040,2017-12-20,4,7,1,24,0,3464
AVC040,2017-12-21,5,3,1,24,0,3394
AVC040,2017-12-21,5,7,1,24,0,3448
AVC040,2017-12-22,6,3,1,24,0,3164
AVC040,2017-12-22,6,7,1,24,0,3082
AVC040,2017-12-23,7,3,1,24,0,2436
AVC040,2017-12-23,7,7,1,24,0,2397
AVC040,2017-12-24,1,3,1,24,0,2279
AVC040,2017-12-24,1,7,1,24,0,2252
AVC040,2017-12-25,2,3,1,24,0,1917
AVC040,2017-12-25,2,7,1,24,0,2035
AVC040,2017-12-26,3,3,1,24,0,2542
AVC040,2017-12-26,3,7,1,24,0,2669
AVC040,2017-12-27,4,3,1,24,0,2749
AVC040,2017-12-27,4,7,1,24,0,2844
AVC040,2017-12-28,5,3,1,24,0,2967
AVC040,2017-12-28,5,7,1,24,0,2971
AVC040,2017-12-29,6,3,1,24,0,3233
AVC040,2017-12-29,6,7,1,24,0,3293
AVC040,2017-12-30,7,3,1,24,0,2076
AVC040,2017-12-30,7,7,1,24,0,2082
AVC040,2017-12-31,1,3,1,24,0,1725
AVC040,2017-12-31,1,7,1,24,0,1709
