station_id,date,direction,lane,hour,volume_veh
AVC040,2015-06-02,3,1,0,28
AVC040,2015-06-02,3,1,1,24
AVC040,2015-06-02,3,1,2,1
AVC040,2015-06-02,3,1,3,7
AVC040,2015-06-02,3,1,4,24
AVC040,2015-06-02,3,1,5,77
AVC040,2015-06-02,3,1,6,189
AVC040,2015-06-02,3,1,7,248
AVC040,2015-06-02,3,1,8,210
AVC040,2015-06-02,3,1,9,191
AVC040,2015-06-02,3,1,10,196
AVC040,2015-06-02,3,1,11,184
AVC040,2015-06-02,3,1,12,200
AVC040,2015-06-02,3,1,13,218
AVC040,2015-06-02,3,1,14,191
AVC040,2015-06-02,3,1,15,209
AVC040,2015-06-02,3,1,16,241
AVC040,2015-06-02,3,1,17,309
AVC040,2015-06-02,3,1,18,191
AVC040,2015-06-02,3,1,19,100
AVC040,2015-06-02,3,1,20,105
AVC040,2015-06-02,3,1,21,83
AVC040,2015-06-02,3,1,22,69
AVC040,2015-06-02,3,1,23,32
AVC040,2015-06-01,3,1,0,15
AVC040,2015-06-01,3,1,1,13
AVC040,2015-06-01,3,1,2,4
AVC040,2015-06-01,3,1,3,10
AVC040,2015-06-01,3,1,4,17
AVC040,2015-06-01,3,1,5,80
AVC040,2015-06-01,3,1,6,209
AVC040,2015-06-01,3,1,7,259
AVC040,2015-06-01,3,1,8,194
AVC040,2015-06-01,3,1,9,195
AVC040,2015-06-01,3,1,10,218
AVC040,2015-06-01,3,1,11,197
AVC040,2015-06-01,3,1,12,207
AVC040,2015-06-01,3,1,13,202
AVC040,2015-06-01,3,1,14,217
AVC040,2015-06-01,3,1,15,238
AVC040,2015-06-01,3,1,16,239
AVC040,2015-06-01,3,1,17,267
AVC040,2015-06-01,3,1,18,157
AVC040,2015-06-01,3,1,19,110
AVC040,2015-06-01,3,1,20,104
AVC040,2015-06-01,3,1,21,90
AVC040,2015-06-01,3,1,22,50
AVC040,2015-06-01,3,1,23,39
AVC040,2015-06-04,3,1,0,21
AVC040,2015-06-04,3,1,1,12
AVC040,2015-06-04,3,1,2,12
AVC040,2015-06-04,3,1,3,8
AVC040,2015-06-04,3,1,4,31
AVC040,2015-06-04,3,1,5,68
AVC040,2015-06-04,3,1,6,186
AVC040,2015-06-04,3,1,7,278
AVC040,2015-06-04,3,1,8,225
AVC040,2015-06-04,3,1,9,228
AVC040,2015-06-04,3,1,10,188
AVC040,2015-06-04,3,1,11,187
AVC040,2015-06-04,3,1,12,204
AVC040,2015-06-04,3,1,13,215
AVC040,2015-06-04,3,1,14,208
AVC040,2015-06-04,3,1,15,220
AVC040,2015-06-04,3,1,16,281
AVC040,2015-06-04,3,1,17,276
AVC040,2015-06-04,3,1,18,229
AVC040,2015-06-04,3,1,19,131
AVC040,2015-06-04,3,1,20,111
AVC040,2015-06-04,3,1,21,107
AVC040,2015-06-04,3,1,22,63
AVC040,2015-06-04,3,1,23,28
AVC040,2015-06-03,3,1,0,28
AVC040,2015-06-03,3,1,1,9
AVC040,2015-06-03,3,1,2,6
AVC040,2015-06-03,3,1,3,9
AVC040,2015-06-03,3,1,4,27
AVC040,2015-06-03,3,1,5,65
AVC040,2015-06-03,3,1,6,207
AVC040,2015-06-03,3,1,7,243
AVC040,2015-06-03,3,1,8,226
AVC040,2015-06-03,3,1,9,186
AVC040,2015-06-03,3,1,10,204
AVC040,2015-06-03,3,1,11,219
AVC040,2015-06-03,3,1,12,191
AVC040,2015-06-03,3,1,13,219
AVC040,2015-06-03,3,1,14,241
AVC040,2015-06-03,3,1,15,226
AVC040,2015-06-03,3,1,16,249
AVC040,2015-06-03,3,1,17,284
AVC040,2015-06-03,3,1,18,174
AVC040,2015-06-03,3,1,19,133
AVC040,2015-06-03,3,1,20,108
AVC040,2015-06-03,3,1,21,81
AVC040,2015-06-03,3,1,22,72
AVC040,2015-06-03,3,1,23,34
AVC040,2015-06-06,3,1,0,29
AVC040,2015-06-06,3,1,1,22
AVC040,2015-06-06,3,1,2,22
AVC040,2015-06-06,3,1,3,14
AVC040,2015-06-06,3,1,4,16
AVC040,2015-06-06,3,1,5,45
AVC040,2015-06-06,3,1,6,83
AVC040,2015-06-06,3,1,7,103
AVC040,2015-06-06,3,1,8,150
AVC040,2015-06-06,3,1,9,176
AVC040,2015-06-06,3,1,10,168
AVC040,2015-06-06,3,1,11,204
AVC040,2015-06-06,3,1,12,214
AVC040,2015-06-06,3,1,13,219
AVC040,2015-06-06,3,1,14,203
AVC040,2015-06-06,3,1,15,174
AVC040,2015-06-06,3,1,16,186
AVC040,2015-06-06,3,1,17,197
AVC040,2015-06-06,3,1,18,179
AVC040,2015-06-06,3,1,19,101
AVC040,2015-06-06,3,1,20,116
AVC040,2015-06-06,3,1,21,101
AVC040,2015-06-06,3,1,22,88
AVC040,2015-06-06,3,1,23,35
AVC040,2015-06-05,3,1,0,19
AVC040,2015-06-05,3,1,1,11
AVC040,2015-06-05,3,1,2,8
AVC040,2015-06-05,3,1,3,13
AVC040,2015-06-05,3,1,4,22
AVC040,2015-06-05,3,1,5,86
AVC040,2015-06-05,3,1,6,180
AVC040,2015-06-05,3,1,7,247
AVC040,2015-06-05,3,1,8,203
AVC040,2015-06-05,3,1,9,207
AVC040,2015-06-05,3,1,10,198
AVC040,2015-06-05,3,1,11,209
AVC040,2015-06-05,3,1,12,235
AVC040,2015-06-05,3,1,13,232
AVC040,2015-06-05,3,1,14,220
AVC040,2015-06-05,3,1,15,254
AVC040,2015-06-05,3,1,16,283
AVC040,2015-06-05,3,1,17,256
AVC040,2015-06-05,3,1,18,229
AVC040,2015-06-05,3,1,19,169
AVC040,2015-06-05,3,1,20,122
AVC040,2015-06-05,3,1,21,97
AVC040,2015-06-05,3,1,22,83
AVC040,2015-06-05,3,1,23,58
AVC040,2015-06-07,3,1,0,43
AVC040,2015-06-07,3,1,1,24
AVC040,2015-06-07,3,1,2,15
AVC040,2015-06-07,3,1,3,14
AVC040,2015-06-07,3,1,4,16
AVC040,2015-06-07,3,1,5,27
AVC040,2015-06-07,3,1,6,41
AVC040,2015-06-07,3,1,7,69
AVC040,2015-06-07,3,1,8,88
AVC040,2015-06-07,3,1,9,123
AVC040,2015-06-07,3,1,10,143
AVC040,2015-06-07,3,1,11,123
AVC040,2015-06-07,3,1,12,174
AVC040,2015-06-07,3,1,13,153
AVC040,2015-06-07,3,1,14,172
AVC040,2015-06-07,3,1,15,157
AVC040,2015-06-07,3,1,16,170
AVC040,2015-06-07,3,1,17,173
AVC040,2015-06-07,3,1,18,164
AVC040,2015-06-07,3,1,19,139
AVC040,2015-06-07,3,1,20,98
AVC040,2015-06-07,3,1,21,66
AVC040,2015-06-07,3,1,22,54
AVC040,2015-06-07,3,1,23,31
AVC040,2015-06-08,3,1,0,15
AVC040,2015-06-08,3,1,1,8
AVC040,2015-06-08,3,1,2,7
AVC040,2015-06-08,3,1,3,13
AVC040,2015-06-08,3,1,4,22
AVC040,2015-06-08,3,1,5,73
AVC040,2015-06-08,3,1,6,192
AVC040,2015-06-08,3,1,7,259
AVC040,2015-06-08,3,1,8,193
AVC040,2015-06-08,3,1,9,187
AVC040,2015-06-08,3,1,10,201
AVC040,2015-06-08,3,1,11,184
AVC040,2015-06-08,3,1,12,182
AVC040,2015-06-08,3,1,13,199
AVC040,2015-06-08,3,1,14,197
AVC040,2015-06-08,3,1,15,248
AVC040,2015-06-08,3,1,16,241
AVC040,2015-06-08,3,1,17,256
AVC040,2015-06-08,3,1,18,132
AVC040,2015-06-08,3,1,19,98
AVC040,2015-06-08,3,1,20,108
AVC040,2015-06-08,3,1,21,82
AVC040,2015-06-08,3,1,22,55
AVC040,2015-06-08,3,1,23,37
AVC040,2015-06-09,3,1,0,24
AVC040,2015-06-09,3,1,1,6
AVC040,2015-06-09,3,1,2,7
AVC040,2015-06-09,3,1,3,11
AVC040,2015-06-09,3,1,4,25
AVC040,2015-06-09,3,1,5,70
AVC040,2015-06-09,3,1,6,205
AVC040,2015-06-09,3,1,7,247
AVC040,2015-06-09,3,1,8,229
AVC040,2015-06-09,3,1,9,244
AVC040,2015-06-09,3,1,10,216
AVC040,2015-06-09,3,1,11,202
AVC040,2015-06-09,3,1,12,216
AVC040,2015-06-09,3,1,13,218
AVC040,2015-06-09,3,1,14,216
AVC040,2015-06-09,3,1,15,258
AVC040,2015-06-09,3,1,16,247
AVC040,2015-06-09,3,1,17,286
AVC040,2015-06-09,3,1,18,189
AVC040,2015-06-09,3,1,19,109
AVC040,2015-06-09,3,1,20,105
AVC040,2015-06-09,3,1,21,74
AVC040,2015-06-09,3,1,22,55
AVC040,2015-06-09,3,1,23,39
AVC040,2015-06-11,3,1,0,19
AVC040,2015-06-11,3,1,1,6
AVC040,2015-06-11,3,1,2,12
AVC040,2015-06-11,3,1,3,13
AVC040,2015-06-11,3,1,4,18
AVC040,2015-06-11,3,1,5,84
AVC040,2015-06-11,3,1,6,204
AVC040,2015-06-11,3,1,7,250
AVC040,2015-06-11,3,1,8,228
AVC040,2015-06-11,3,1,9,218
AVC040,2015-06-11,3,1,10,187
AVC040,2015-06-11,3,1,11,224
AVC040,2015-06-11,3,1,12,206
AVC040,2015-06-11,3,1,13,199
AVC040,2015-06-11,3,1,14,232
AVC040,2015-06-11,3,1,15,233
AVC040,2015-06-11,3,1,16,246
AVC040,2015-06-11,3,1,17,276
AVC040,2015-06-11,3,1,18,216
AVC040,2015-06-11,3,1,19,112
AVC040,2015-06-11,3,1,20,96
AVC040,2015-06-11,3,1,21,91
AVC040,2015-06-11,3,1,22,56
AVC040,2015-06-11,3,1,23,39
AVC040,2015-06-10,3,1,0,23
AVC040,2015-06-10,3,1,1,6
AVC040,2015-06-10,3,1,2,12
AVC040,2015-06-10,3,1,3,10
AVC040,2015-06-10,3,1,4,38
AVC040,2015-06-10,3,1,5,82
AVC040,2015-06-10,3,1,6,205
AVC040,2015-06-10,3,1,7,266
AVC040,2015-06-10,3,1,8,233
AVC040,2015-06-10,3,1,9,196
AVC040,2015-06-10,3,1,10,198
AVC040,2015-06-10,3,1,11,207
AVC040,2015-06-10,3,1,12,201
AVC040,2015-06-10,3,1,13,236
AVC040,2015-06-10,3,1,14,244
AVC040,2015-06-10,3,1,15,218
AVC040,2015-06-10,3,1,16,234
AVC040,2015-06-10,3,1,17,264
AVC040,2015-06-10,3,1,18,206
AVC040,2015-06-10,3,1,19,145
