station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2016-06-01,4,3,1,24,0,3306
AVC040,2016-06-01,4,7,1,24,0,3296
AVC040,2016-06-02,5,3,1,24,0,3301
AVC040,2016-06-02,5,7,1,24,0,3296
AVC040,2016-06-03,6,3,1,24,0,3595
AVC040,2016-06-03,6,7,1,24,0,3566
AVC040,2016-06-04,7,3,1,24,0,2944
AVC040,2016-06-04,7,7,1,24,0,2987
AVC040,2016-06-05,1,3,1,24,0,2286
AVC040,2016-06-05,1,7,1,24,0,2421
AVC040,2016-06-06,2,3,1,24,0,3402
AVC040,2016-06-06,2,7,1,24,0,3382
AVC040,2016-06-07,3,3,1,24,0,3367
AVC040,2016-06-07,3,7,1,24,0,3508
AVC040,2016-06-08,4,3,1,24,0,3437
AVC040,2016-06-08,4,7,1,24,0,3562
AVC040,2016-06-09,5,3,1,24,0,3545
AVC040,2016-06-09,5,7,1,24,0,3591
AVC040,2016-06-10,6,3,1,24,0,3798
AVC040,2016-06-10,6,7,1,24,0,3897
AVC040,2016-06-11,7,3,1,24,0,2889
AVC040,2016-06-11,7,7,1,24,0,3097
AVC040,2016-06-12,1,3,1,24,0,2243
AVC040,2016-06-12,1,7,1,24,0,2533
AVC040,2016-06-13,2,3,1,24,0,3283
AVC040,2016-06-13,2,7,1,24,0,3322
AVC040,2016-06-14,3,3,1,24,0,3337
AVC040,2016-06-14,3,7,1,24,0,3401
AVC040,2016-06-15,4,3,1,24,0,3374
AVC040,2016-06-15,4,7,1,24,0,3497
AVC040,2016-06-16,5,3,1,24,0,3539
AVC040,2016-06-16,5,7,1,24,0,3702
AVC040,2016-06-17,6,3,1,24,0,3762
AVC040,2016-06-17,6,7,1,24,0,3845
AVC040,2016-06-18,7,3,1,24,0,2861
AVC040,2016-06-18,7,7,1,24,0,2992
AVC040,2016-06-19,1,3,1,24,0,2382
AVC040,2016-06-19,1,7,1,24,0,2584
AVC040,2016-06-20,2,3,1,24,0,3325
AVC040,2016-06-20,2,7,1,24,0,3500
AVC040,2016-06-21,3,3,1,24,0,3394
AVC040,2016-06-21,3,7,1,24,0,3590
AVC040,2016-06-22,4,3,1,24,0,3403
AVC040,2016-06-22,4,7,1,24,0,3600
AVC040,2016-06-23,5,3,1,24,0,3297
AVC040,2016-06-23,5,7,1,24,0,3449
AVC040,2016-06-24,6,3,1,24,0,3599
AVC040,2016-06-24,6,7,1,24,0,3655
AVC040,2016-06-25,7,3,1,24,0,2713
AVC040,2016-06-25,7,7,1,24,0,2876
AVC040,2016-06-26,1,3,1,24,0,2069
AVC040,2016-06-26,1,7,1,24,0,2290
AVC040,2016-06-27,2,3,1,24,0,3181
AVC040,2016-06-27,2,7,1,24,0,3275
AVC040,2016-06-28,3,3,1,24,0,3318
AVC040,2016-06-28,3,7,1,24,0,3474
AVC040,2016-06-29,4,3,1,24,0,3334
AVC040,2016-06-29,4,7,1,24,0,3454
AVC040,2016-06-30,5,3,1,24,0,3352
AVC040,2016-06-30,5,7,1,24,0,3464
