station_id,date,direction,lane,hour,volume_veh
AVC040,2015-11-04,3,1,0,9
AVC040,2015-11-04,3,1,1,12
AVC040,2015-11-04,3,1,2,13
AVC040,2015-11-04,3,1,3,13
AVC040,2015-11-04,3,1,4,23
AVC040,2015-11-04,3,1,5,85
AVC040,2015-11-04,3,1,6,225
AVC040,2015-11-04,3,1,7,282
AVC040,2015-11-04,3,1,8,234
AVC040,2015-11-04,3,1,9,206
AVC040,2015-11-04,3,1,10,197
AVC040,2015-11-04,3,1,11,192
AVC040,2015-11-04,3,1,12,219
AVC040,2015-11-04,3,1,13,182
AVC040,2015-11-04,3,1,14,212
AVC040,2015-11-04,3,1,15,221
AVC040,2015-11-04,3,1,16,244
AVC040,2015-11-04,3,1,17,269
AVC040,2015-11-04,3,1,18,169
AVC040,2015-11-04,3,1,19,95
AVC040,2015-11-04,3,1,20,59
AVC040,2015-11-04,3,1,21,60
AVC040,2015-11-04,3,1,22,36
AVC040,2015-11-04,3,1,23,23
AVC040,2015-11-03,3,1,0,12
AVC040,2015-11-03,3,1,1,7
AVC040,2015-11-03,3,1,2,8
AVC040,2015-11-03,3,1,3,13
AVC040,2015-11-03,3,1,4,39
AVC040,2015-11-03,3,1,5,93
AVC040,2015-11-03,3,1,6,198
AVC040,2015-11-03,3,1,7,293
AVC040,2015-11-03,3,1,8,206
AVC040,2015-11-03,3,1,9,224
AVC040,2015-11-03,3,1,10,194
AVC040,2015-11-03,3,1,11,208
AVC040,2015-11-03,3,1,12,209
AVC040,2015-11-03,3,1,13,189
AVC040,2015-11-03,3,1,14,206
AVC040,2015-11-03,3,1,15,248
AVC040,2015-11-03,3,1,16,240
AVC040,2015-11-03,3,1,17,257
AVC040,2015-11-03,3,1,18,161
AVC040,2015-11-03,3,1,19,97
AVC040,2015-11-03,3,1,20,74
AVC040,2015-11-03,3,1,21,56
AVC040,2015-11-03,3,1,22,51
AVC040,2015-11-03,3,1,23,23
AVC040,2015-11-05,3,1,0,23
AVC040,2015-11-05,3,1,1,9
AVC040,2015-11-05,3,1,2,13
AVC040,2015-11-05,3,1,3,7
AVC040,2015-11-05,3,1,4,21
AVC040,2015-11-05,3,1,5,74
AVC040,2015-11-05,3,1,6,218
AVC040,2015-11-05,3,1,7,292
AVC040,2015-11-05,3,1,8,223
AVC040,2015-11-05,3,1,9,212
AVC040,2015-11-05,3,1,10,208
AVC040,2015-11-05,3,1,11,192
AVC040,2015-11-05,3,1,12,180
AVC040,2015-11-05,3,1,13,185
AVC040,2015-11-05,3,1,14,202
AVC040,2015-11-05,3,1,15,221
AVC040,2015-11-05,3,1,16,224
AVC040,2015-11-05,3,1,17,260
AVC040,2015-11-05,3,1,18,143
AVC040,2015-11-05,3,1,19,85
AVC040,2015-11-05,3,1,20,83
AVC040,2015-11-05,3,1,21,65
AVC040,2015-11-05,3,1,22,25
AVC040,2015-11-05,3,1,23,23
AVC040,2015-11-02,3,1,0,16
AVC040,2015-11-02,3,1,1,7
AVC040,2015-11-02,3,1,2,5
AVC040,2015-11-02,3,1,3,9
AVC040,2015-11-02,3,1,4,21
AVC040,2015-11-02,3,1,5,91
AVC040,2015-11-02,3,1,6,213
AVC040,2015-11-02,3,1,7,275
AVC040,2015-11-02,3,1,8,201
AVC040,2015-11-02,3,1,9,177
AVC040,2015-11-02,3,1,10,172
AVC040,2015-11-02,3,1,11,194
AVC040,2015-11-02,3,1,12,189
AVC040,2015-11-02,3,1,13,193
AVC040,2015-11-02,3,1,14,188
AVC040,2015-11-02,3,1,15,230
AVC040,2015-11-02,3,1,16,203
AVC040,2015-11-02,3,1,17,268
AVC040,2015-11-02,3,1,18,170
AVC040,2015-11-02,3,1,19,79
AVC040,2015-11-02,3,1,20,74
AVC040,2015-11-02,3,1,21,53
AVC040,2015-11-02,3,1,22,28
AVC040,2015-11-02,3,1,23,24
AVC040,2015-11-01,3,1,0,36
AVC040,2015-11-01,3,1,1,31
AVC040,2015-11-01,3,1,2,17
AVC040,2015-11-01,3,1,3,10
AVC040,2015-11-01,3,1,4,13
AVC040,2015-11-01,3,1,5,37
AVC040,2015-11-01,3,1,6,59
AVC040,2015-11-01,3,1,7,60
AVC040,2015-11-01,3,1,8,78
AVC040,2015-11-01,3,1,9,137
AVC040,2015-11-01,3,1,10,143
AVC040,2015-11-01,3,1,11,131
AVC040,2015-11-01,3,1,12,168
AVC040,2015-11-01,3,1,13,176
AVC040,2015-11-01,3,1,14,138
