station_id,date,direction,lane,hour,volume_veh
AVC040,2018-10-03,3,1,0,14
AVC040,2018-10-03,3,1,1,11
AVC040,2018-10-03,3,1,2,13
AVC040,2018-10-03,3,1,3,12
AVC040,2018-10-03,3,1,4,30
AVC040,2018-10-03,3,1,5,95
AVC040,2018-10-03,3,1,6,239
AVC040,2018-10-03,3,1,7,282
AVC040,2018-10-03,3,1,8,215
AVC040,2018-10-03,3,1,9,202
AVC040,2018-10-03,3,1,10,198
AVC040,2018-10-03,3,1,11,218
AVC040,2018-10-03,3,1,12,213
AVC040,2018-10-03,3,1,13,216
AVC040,2018-10-03,3,1,14,213
AVC040,2018-10-03,3,1,15,224
AVC040,2018-10-03,3,1,16,261
AVC040,2018-10-03,3,1,17,294
AVC040,2018-10-03,3,1,18,201
AVC040,2018-10-03,3,1,19,140
AVC040,2018-10-03,3,1,20,90
AVC040,2018-10-03,3,1,21,72
AVC040,2018-10-03,3,1,22,35
AVC040,2018-10-03,3,1,23,34
AVC040,2018-10-04,3,1,0,18
AVC040,2018-10-04,3,1,1,16
AVC040,2018-10-04,3,1,2,8
AVC040,2018-10-04,3,1,3,12
AVC040,2018-10-04,3,1,4,29
AVC040,2018-10-04,3,1,5,98
AVC040,2018-10-04,3,1,6,214
AVC040,2018-10-04,3,1,7,250
AVC040,2018-10-04,3,1,8,179
AVC040,2018-10-04,3,1,9,213
AVC040,2018-10-04,3,1,10,191
AVC040,2018-10-04,3,1,11,210
AVC040,2018-10-04,3,1,12,199
AVC040,2018-10-04,3,1,13,246
AVC040,2018-10-04,3,1,14,217
AVC040,2018-10-04,3,1,15,249
AVC040,2018-10-04,3,1,16,273
AVC040,2018-10-04,3,1,17,283
AVC040,2018-10-04,3,1,18,210
AVC040,2018-10-04,3,1,19,122
AVC040,2018-10-04,3,1,20,99
AVC040,2018-10-04,3,1,21,81
AVC040,2018-10-04,3,1,22,56
AVC040,2018-10-04,3,1,23,36
AVC040,2018-10-02,3,1,0,17
AVC040,2018-10-02,3,1,1,15
AVC040,2018-10-02,3,1,2,8
AVC040,2018-10-02,3,1,3,8
AVC040,2018-10-02,3,1,4,33
AVC040,2018-10-02,3,1,5,73
AVC040,2018-10-02,3,1,6,203
AVC040,2018-10-02,3,1,7,281
AVC040,2018-10-02,3,1,8,196
AVC040,2018-10-02,3,1,9,204
AVC040,2018-10-02,3,1,10,184
AVC040,2018-10-02,3,1,11,222
AVC040,2018-10-02,3,1,12,200
