month,avc040_present,format,days_present,days_by_dir,missing_dates,records,directions,lanes,units,dup_keys_file,dup_keys_station,lane0_coexist_groups_file,station_lane0_rows,zero_hours,min_hourly_veh,max_hourly_veh,dst_date,dst_overlap,source_quality
2015-01,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,1,358,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jan2015_quality.json
2015-02,True,fixed_legacy,28,3:28;7:28,,56,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,353,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_feb2015_quality.json
2015-03,True,fixed_legacy,30,3:30;7:30,2015-03-08,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,338,2015-03-08,True,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_mar2015_quality.json
2015-04,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,1,371,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_apr2015_quality.json
2015-05,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,343,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_may2015_quality.json
2015-06,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,1,381,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jun2015_quality.json
2015-07,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,337,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_jul2015_quality.json
2015-08,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,337,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_aug2015_quality.json
2015-09,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,1,0,367,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_sep2015_quality.json
2015-10,True,fixed_legacy,31,3:31;7:31,,62,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,397,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_oct2015_quality.json
2015-11,True,fixed_legacy,30,3:30;7:30,,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,3,350,2015-11-01,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_nov2015_quality.json
2015-12,True,fixed_legacy,30,3:30;7:30,2015-12-14,60,3;7,1,vehicles per hour (파일 hour 필드 그대로; 환산 없음),0,0,0,0,0,2,348,,False,/Users/noah/orca/ls-crude/research/indexes/091-tmas/20260911T123706Z/avc040_dec2015_quality.json
