station_id,date,direction,lane,hour,volume_veh
AVC040,2019-04-01,3,1,0,25
AVC040,2019-04-01,3,1,1,9
AVC040,2019-04-01,3,1,2,13
AVC040,2019-04-01,3,1,3,18
AVC040,2019-04-01,3,1,4,30
AVC040,2019-04-01,3,1,5,94
AVC040,2019-04-01,3,1,6,252
AVC040,2019-04-01,3,1,7,280
AVC040,2019-04-01,3,1,8,193
AVC040,2019-04-01,3,1,9,201
AVC040,2019-04-01,3,1,10,179
AVC040,2019-04-01,3,1,11,213
AVC040,2019-04-01,3,1,12,207
AVC040,2019-04-01,3,1,13,206
AVC040,2019-04-01,3,1,14,181
AVC040,2019-04-01,3,1,15,264
AVC040,2019-04-01,3,1,16,295
AVC040,2019-04-01,3,1,17,284
AVC040,2019-04-01,3,1,18,192
AVC040,2019-04-01,3,1,19,129
AVC040,2019-04-01,3,1,20,78
AVC040,2019-04-01,3,1,21,75
AVC040,2019-04-01,3,1,22,50
AVC040,2019-04-01,3,1,23,26
AVC040,2019-04-02,3,1,0,15
AVC040,2019-04-02,3,1,1,15
AVC040,2019-04-02,3,1,2,22
AVC040,2019-04-02,3,1,3,14
AVC040,2019-04-02,3,1,4,35
AVC040,2019-04-02,3,1,5,81
AVC040,2019-04-02,3,1,6,225
AVC040,2019-04-02,3,1,7,306
AVC040,2019-04-02,3,1,8,229
AVC040,2019-04-02,3,1,9,207
AVC040,2019-04-02,3,1,10,215
AVC040,2019-04-02,3,1,11,191
AVC040,2019-04-02,3,1,12,226
AVC040,2019-04-02,3,1,13,243
AVC040,2019-04-02,3,1,14,251
AVC040,2019-04-02,3,1,15,276
AVC040,2019-04-02,3,1,16,290
AVC040,2019-04-02,3,1,17,288
AVC040,2019-04-02,3,1,18,173
AVC040,2019-04-02,3,1,19,141
AVC040,2019-04-02,3,1,20,114
AVC040,2019-04-02,3,1,21,76
AVC040,2019-04-02,3,1,22,44
AVC040,2019-04-02,3,1,23,27
AVC040,2019-04-03,3,1,0,26
AVC040,2019-04-03,3,1,1,17
AVC040,2019-04-03,3,1,2,15
AVC040,2019-04-03,3,1,3,13
AVC040,2019-04-03,3,1,4,34
AVC040,2019-04-03,3,1,5,96
AVC040,2019-04-03,3,1,6,231
AVC040,2019-04-03,3,1,7,295
AVC040,2019-04-03,3,1,8,233
AVC040,2019-04-03,3,1,9,207
AVC040,2019-04-03,3,1,10,202
AVC040,2019-04-03,3,1,11,205
AVC040,2019-04-03,3,1,12,212
AVC040,2019-04-03,3,1,13,220
AVC040,2019-04-03,3,1,14,255
AVC040,2019-04-03,3,1,15,284
AVC040,2019-04-03,3,1,16,304
AVC040,2019-04-03,3,1,17,292
AVC040,2019-04-03,3,1,18,186
AVC040,2019-04-03,3,1,19,129
AVC040,2019-04-03,3,1,20,107
AVC040,2019-04-03,3,1,21,66
AVC040,2019-04-03,3,1,22,40
AVC040,2019-04-03,3,1,23,26
AVC040,2019-04-04,3,1,0,18
AVC040,2019-04-04,3,1,1,10
AVC040,2019-04-04,3,1,2,17
AVC040,2019-04-04,3,1,3,11
AVC040,2019-04-04,3,1,4,33
AVC040,2019-04-04,3,1,5,95
AVC040,2019-04-04,3,1,6,201
AVC040,2019-04-04,3,1,7,285
AVC040,2019-04-04,3,1,8,178
AVC040,2019-04-04,3,1,9,196
AVC040,2019-04-04,3,1,10,187
AVC040,2019-04-04,3,1,11,189
AVC040,2019-04-04,3,1,12,199
AVC040,2019-04-04,3,1,13,198
AVC040,2019-04-04,3,1,14,244
AVC040,2019-04-04,3,1,15,259
AVC040,2019-04-04,3,1,16,277
AVC040,2019-04-04,3,1,17,309
AVC040,2019-04-04,3,1,18,192
AVC040,2019-04-04,3,1,19,136
AVC040,2019-04-04,3,1,20,109
AVC040,2019-04-04,3,1,21,66
AVC040,2019-04-04,3,1,22,55
AVC040,2019-04-04,3,1,23,47
AVC040,2019-04-05,3,1,0,27
AVC040,2019-04-05,3,1,1,13
AVC040,2019-04-05,3,1,2,11
AVC040,2019-04-05,3,1,3,18
AVC040,2019-04-05,3,1,4,34
AVC040,2019-04-05,3,1,5,91
AVC040,2019-04-05,3,1,6,204
AVC040,2019-04-05,3,1,7,259
AVC040,2019-04-05,3,1,8,210
AVC040,2019-04-05,3,1,9,203
AVC040,2019-04-05,3,1,10,217
AVC040,2019-04-05,3,1,11,230
AVC040,2019-04-05,3,1,12,227
AVC040,2019-04-05,3,1,13,259
AVC040,2019-04-05,3,1,14,263
AVC040,2019-04-05,3,1,15,277
AVC040,2019-04-05,3,1,16,353
AVC040,2019-04-05,3,1,17,329
AVC040,2019-04-05,3,1,18,243
AVC040,2019-04-05,3,1,19,178
AVC040,2019-04-05,3,1,20,147
AVC040,2019-04-05,3,1,21,93
AVC040,2019-04-05,3,1,22,81
AVC040,2019-04-05,3,1,23,55
AVC040,2019-04-06,3,1,0,42
AVC040,2019-04-06,3,1,1,25
AVC040,2019-04-06,3,1,2,23
AVC040,2019-04-06,3,1,3,19
AVC040,2019-04-06,3,1,4,22
AVC040,2019-04-06,3,1,5,59
AVC040,2019-04-06,3,1,6,76
AVC040,2019-04-06,3,1,7,116
AVC040,2019-04-06,3,1,8,204
AVC040,2019-04-06,3,1,9,218
AVC040,2019-04-06,3,1,10,207
AVC040,2019-04-06,3,1,11,240
AVC040,2019-04-06,3,1,12,211
AVC040,2019-04-06,3,1,13,210
AVC040,2019-04-06,3,1,14,198
AVC040,2019-04-06,3,1,15,199
AVC040,2019-04-06,3,1,16,207
AVC040,2019-04-06,3,1,17,213
AVC040,2019-04-06,3,1,18,150
AVC040,2019-04-06,3,1,19,137
AVC040,2019-04-06,3,1,20,106
AVC040,2019-04-06,3,1,21,93
AVC040,2019-04-06,3,1,22,78
AVC040,2019-04-06,3,1,23,56
AVC040,2019-04-07,3,1,0,43
AVC040,2019-04-07,3,1,1,29
AVC040,2019-04-07,3,1,2,18
AVC040,2019-04-07,3,1,3,18
AVC040,2019-04-07,3,1,4,19
AVC040,2019-04-07,3,1,5,32
AVC040,2019-04-07,3,1,6,39
AVC040,2019-04-07,3,1,7,73
AVC040,2019-04-07,3,1,8,79
AVC040,2019-04-07,3,1,9,192
AVC040,2019-04-07,3,1,10,163
