date,direction,day_total_veh,hours_present,hours_missing
2015-01-01,3,1384,24,0
2015-01-01,7,1395,24,0
2015-01-02,3,2327,24,0
2015-01-02,7,2388,24,0
2015-01-03,3,2064,24,0
2015-01-03,7,2071,24,0
2015-01-04,3,1751,24,0
2015-01-04,7,1711,24,0
2015-01-05,3,3025,24,0
2015-01-05,7,2963,24,0
2015-01-06,3,3066,24,0
2015-01-06,7,3114,24,0
2015-01-07,3,2816,24,0
2015-01-07,7,2822,24,0
2015-01-08,3,2992,24,0
2015-01-08,7,3018,24,0
2015-01-09,3,3384,24,0
2015-01-09,7,3408,24,0
2015-01-10,3,2643,24,0
2015-01-10,7,2684,24,0
2015-01-11,3,1747,24,0
2015-01-11,7,1853,24,0
2015-01-12,3,2994,24,0
2015-01-12,7,2958,24,0
2015-01-13,3,3003,24,0
2015-01-13,7,3015,24,0
2015-01-14,3,2994,24,0
2015-01-14,7,3043,24,0
2015-01-15,3,3216,24,0
2015-01-15,7,3190,24,0
2015-01-16,3,3605,24,0
2015-01-16,7,3390,24,0
2015-01-17,3,2754,24,0
2015-01-17,7,2771,24,0
2015-01-18,3,2062,24,0
2015-01-18,7,2092,24,0
2015-01-19,3,3115,24,0
2015-01-19,7,3169,24,0
2015-01-20,3,3320,24,0
2015-01-20,7,3308,24,0
2015-01-21,3,3195,24,0
2015-01-21,7,3186,24,0
2015-01-22,3,3154,24,0
2015-01-22,7,3120,24,0
2015-01-23,3,3383,24,0
2015-01-23,7,3444,24,0
2015-01-24,3,2811,24,0
2015-01-24,7,2804,24,0
2015-01-25,3,1889,24,0
2015-01-25,7,1950,24,0
2015-01-26,3,3140,24,0
2015-01-26,7,3083,24,0
2015-01-27,3,3168,24,0
2015-01-27,7,3210,24,0
2015-01-28,3,3211,24,0
2015-01-28,7,3154,24,0
2015-01-29,3,3194,24,0
2015-01-29,7,3120,24,0
2015-01-30,3,3574,24,0
2015-01-30,7,3562,24,0
2015-01-31,3,2379,24,0
2015-01-31,7,2447,24,0
2015-02-01,3,1854,24,0
2015-02-01,7,1811,24,0
2015-02-02,3,2916,24,0
2015-02-02,7,2954,24,0
2015-02-03,3,3086,24,0
2015-02-03,7,3111,24,0
2015-02-04,3,2963,24,0
2015-02-04,7,2950,24,0
2015-02-05,3,3173,24,0
2015-02-05,7,3170,24,0
2015-02-06,3,3539,24,0
2015-02-06,7,3472,24,0
2015-02-07,3,2785,24,0
2015-02-07,7,2724,24,0
2015-02-08,3,2052,24,0
2015-02-08,7,2124,24,0
2015-02-09,3,3002,24,0
2015-02-09,7,3003,24,0
2015-02-10,3,3224,24,0
2015-02-10,7,3220,24,0
2015-02-11,3,3201,24,0
2015-02-11,7,3286,24,0
2015-02-12,3,3110,24,0
2015-02-12,7,3076,24,0
2015-02-13,3,3553,24,0
2015-02-13,7,3537,24,0
2015-02-14,3,3108,24,0
2015-02-14,7,3142,24,0
2015-02-15,3,1863,24,0
2015-02-15,7,1944,24,0
2015-02-16,3,1343,24,0
2015-02-16,7,1325,24,0
2015-02-17,3,2834,24,0
2015-02-17,7,2769,24,0
2015-02-18,3,3112,24,0
2015-02-18,7,3033,24,0
2015-02-19,3,3348,24,0
2015-02-19,7,3259,24,0
2015-02-20,3,3458,24,0
2015-02-20,7,3417,24,0
2015-02-21,3,2629,24,0
2015-02-21,7,2714,24,0
2015-02-22,3,1327,24,0
2015-02-22,7,1321,24,0
2015-02-23,3,1947,24,0
2015-02-23,7,1948,24,0
2015-02-24,3,2221,24,0
2015-02-24,7,2282,24,0
2015-02-25,3,3227,24,0
2015-02-25,7,3184,24,0
2015-02-26,3,3241,24,0
2015-02-26,7,3178,24,0
2015-02-27,3,2896,24,0
2015-02-27,7,2930,24,0
2015-02-28,3,929,24,0
2015-02-28,7,932,24,0
2015-03-01,3,1086,24,0
2015-03-01,7,1071,24,0
2015-03-02,3,2869,24,0
2015-03-02,7,2877,24,0
2015-03-03,3,3369,24,0
2015-03-03,7,3291,24,0
2015-03-04,3,1671,24,0
2015-03-04,7,1680,24,0
2015-03-05,3,2717,24,0
2015-03-05,7,2702,24,0
2015-03-06,3,3622,24,0
2015-03-06,7,3677,24,0
2015-03-07,3,3058,24,0
2015-03-07,7,3004,24,0
2015-03-09,3,3314,24,0
2015-03-09,7,3302,24,0
2015-03-10,3,3205,24,0
2015-03-10,7,3188,24,0
2015-03-11,3,3314,24,0
2015-03-11,7,3255,24,0
2015-03-12,3,3365,24,0
2015-03-12,7,3313,24,0
2015-03-13,3,3641,24,0
2015-03-13,7,3441,24,0
2015-03-14,3,2732,24,0
2015-03-14,7,2647,24,0
2015-03-15,3,2269,24,0
2015-03-15,7,2262,24,0
2015-03-16,3,3117,24,0
2015-03-16,7,3093,24,0
2015-03-17,3,3218,24,0
2015-03-17,7,3205,24,0
2015-03-18,3,3042,24,0
2015-03-18,7,3042,24,0
2015-03-19,3,2970,24,0
2015-03-19,7,2886,24,0
2015-03-20,3,3342,24,0
2015-03-20,7,3287,24,0
2015-03-21,3,2801,24,0
2015-03-21,7,2846,24,0
2015-03-22,3,2244,24,0
2015-03-22,7,2298,24,0
2015-03-23,3,3194,24,0
2015-03-23,7,3148,24,0
2015-03-24,3,3350,24,0
2015-03-24,7,3293,24,0
2015-03-25,3,3144,24,0
2015-03-25,7,3145,24,0
2015-03-26,3,3282,24,0
2015-03-26,7,3248,24,0
2015-03-27,3,3690,24,0
2015-03-27,7,3528,24,0
2015-03-28,3,2981,24,0
2015-03-28,7,2964,24,0
2015-03-29,3,2220,24,0
2015-03-29,7,2272,24,0
2015-03-30,3,3268,24,0
2015-03-30,7,3342,24,0
2015-03-31,3,3359,24,0
2015-03-31,7,3356,24,0
2015-04-01,3,3393,24,0
2015-04-01,7,3351,24,0
2015-04-02,3,3607,24,0
2015-04-02,7,3536,24,0
2015-04-03,3,3588,24,0
2015-04-03,7,3545,24,0
2015-04-04,3,2771,24,0
2015-04-04,7,2765,24,0
2015-04-05,3,2196,24,0
2015-04-05,7,2321,24,0
2015-04-06,3,3193,24,0
2015-04-06,7,3260,24,0
2015-04-07,3,3439,24,0
2015-04-07,7,3491,24,0
2015-04-08,3,3253,24,0
2015-04-08,7,3284,24,0
2015-04-09,3,3273,24,0
2015-04-09,7,3305,24,0
2015-04-10,3,3723,24,0
2015-04-10,7,3699,24,0
2015-04-11,3,2916,24,0
2015-04-11,7,2947,24,0
2015-04-12,3,2167,24,0
2015-04-12,7,2274,24,0
2015-04-13,3,2847,24,0
2015-04-13,7,2882,24,0
2015-04-14,3,3092,24,0
2015-04-14,7,3089,24,0
2015-04-15,3,3324,24,0
2015-04-15,7,3277,24,0
2015-04-16,3,3506,24,0
2015-04-16,7,3485,24,0
2015-04-17,3,3548,24,0
2015-04-17,7,3537,24,0
2015-04-18,3,2688,24,0
2015-04-18,7,2686,24,0
2015-04-19,3,2066,24,0
2015-04-19,7,2049,24,0
2015-04-20,3,3139,24,0
2015-04-20,7,3181,24,0
2015-04-21,3,3318,24,0
2015-04-21,7,3334,24,0
2015-04-22,3,3108,24,0
2015-04-22,7,3153,24,0
2015-04-23,3,3379,24,0
2015-04-23,7,3376,24,0
2015-04-24,3,3523,24,0
2015-04-24,7,3440,24,0
2015-04-25,3,3010,24,0
2015-04-25,7,3032,24,0
2015-04-26,3,2244,24,0
2015-04-26,7,2257,24,0
2015-04-27,3,2864,24,0
2015-04-27,7,2938,24,0
2015-04-28,3,3033,24,0
2015-04-28,7,3031,24,0
2015-04-29,3,3258,24,0
