station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2019-04-01,2,3,1,24,0,3494
AVC040,2019-04-01,2,7,1,24,0,3474
AVC040,2019-04-02,3,3,1,24,0,3704
AVC040,2019-04-02,3,7,1,24,0,3540
AVC040,2019-04-03,4,3,1,24,0,3695
AVC040,2019-04-03,4,7,1,24,0,3585
AVC040,2019-04-04,5,3,1,24,0,3511
AVC040,2019-04-04,5,7,1,24,0,3418
AVC040,2019-04-05,6,3,1,24,0,4022
AVC040,2019-04-05,6,7,1,24,0,3990
AVC040,2019-04-06,7,3,1,24,0,3109
AVC040,2019-04-06,7,7,1,24,0,3077
AVC040,2019-04-07,1,3,1,24,0,2525
AVC040,2019-04-07,1,7,1,24,0,2514
AVC040,2019-04-12,6,3,1,24,0,3824
AVC040,2019-04-12,6,7,1,24,0,3755
AVC040,2019-04-13,7,3,1,24,0,2439
AVC040,2019-04-13,7,7,1,24,0,2488
AVC040,2019-04-14,1,3,1,24,0,2306
AVC040,2019-04-14,1,7,1,24,0,2316
AVC040,2019-04-15,2,3,1,24,0,3462
AVC040,2019-04-15,2,7,1,24,0,3463
AVC040,2019-04-16,3,3,1,24,0,3656
AVC040,2019-04-16,3,7,1,24,0,3535
AVC040,2019-04-17,4,3,1,24,0,3493
AVC040,2019-04-17,4,7,1,24,0,3458
AVC040,2019-04-18,5,3,1,24,0,3638
AVC040,2019-04-18,5,7,1,24,0,3591
AVC040,2019-04-19,6,3,1,24,0,3861
AVC040,2019-04-19,6,7,1,24,0,3841
AVC040,2019-04-20,7,3,1,24,0,3129
AVC040,2019-04-20,7,7,1,24,0,3030
AVC040,2019-04-21,1,3,1,24,0,2511
AVC040,2019-04-21,1,7,1,24,0,2591
AVC040,2019-04-22,2,3,1,24,0,3371
AVC040,2019-04-22,2,7,1,24,0,3387
AVC040,2019-04-23,3,3,1,24,0,3232
AVC040,2019-04-23,3,7,1,24,0,3223
AVC040,2019-04-24,4,3,1,24,0,3368
AVC040,2019-04-24,4,7,1,24,0,3322
AVC040,2019-04-25,5,3,1,24,0,3559
AVC040,2019-04-25,5,7,1,24,0,3453
AVC040,2019-04-26,6,3,1,24,0,3963
AVC040,2019-04-26,6,7,1,24,0,3887
AVC040,2019-04-27,7,3,1,24,0,3492
AVC040,2019-04-27,7,7,1,24,0,3554
AVC040,2019-04-28,1,3,1,24,0,2568
AVC040,2019-04-28,1,7,1,24,0,2541
AVC040,2019-04-29,2,3,1,24,0,3290
AVC040,2019-04-29,2,7,1,24,0,3376
AVC040,2019-04-30,3,3,1,24,0,2925
AVC040,2019-04-30,3,7,1,24,0,2849
