station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2019-08-01,5,3,1,24,0,3579
AVC040,2019-08-01,5,7,1,24,0,3582
AVC040,2019-08-02,6,3,1,24,0,3900
AVC040,2019-08-02,6,7,1,24,0,3819
AVC040,2019-08-03,7,3,1,24,0,2840
AVC040,2019-08-03,7,7,1,24,0,2765
AVC040,2019-08-04,1,3,1,24,0,2363
AVC040,2019-08-04,1,7,1,24,0,2429
AVC040,2019-08-05,2,3,1,24,0,3461
AVC040,2019-08-05,2,7,1,24,0,3484
AVC040,2019-08-06,3,3,1,24,0,3599
AVC040,2019-08-06,3,7,1,24,0,3547
AVC040,2019-08-07,4,3,1,24,0,3671
AVC040,2019-08-07,4,7,1,24,0,3605
AVC040,2019-08-08,5,3,1,24,0,3512
AVC040,2019-08-08,5,7,1,24,0,3413
AVC040,2019-08-09,6,3,1,24,0,3549
AVC040,2019-08-09,6,7,1,24,0,3520
AVC040,2019-08-10,7,3,1,24,0,3047
AVC040,2019-08-10,7,7,1,24,0,3036
AVC040,2019-08-11,1,3,1,24,0,2378
AVC040,2019-08-11,1,7,1,24,0,2416
AVC040,2019-08-12,2,3,1,24,0,3456
AVC040,2019-08-12,2,7,1,24,0,3383
AVC040,2019-08-13,3,3,1,24,0,3425
AVC040,2019-08-13,3,7,1,24,0,3406
AVC040,2019-08-14,4,3,1,24,0,3678
AVC040,2019-08-14,4,7,1,24,0,3585
AVC040,2019-08-15,5,3,1,24,0,3679
AVC040,2019-08-15,5,7,1,24,0,3701
AVC040,2019-08-16,6,3,1,24,0,4030
AVC040,2019-08-16,6,7,1,24,0,3939
AVC040,2019-08-17,7,3,1,24,0,3079
AVC040,2019-08-17,7,7,1,24,0,3110
AVC040,2019-08-18,1,3,1,24,0,2554
AVC040,2019-08-18,1,7,1,24,0,2670
AVC040,2019-08-19,2,3,1,24,0,3619
AVC040,2019-08-19,2,7,1,24,0,3592
AVC040,2019-08-20,3,3,1,24,0,3630
AVC040,2019-08-20,3,7,1,24,0,3611
AVC040,2019-08-21,4,3,1,24,0,3537
AVC040,2019-08-21,4,7,1,24,0,3552
AVC040,2019-08-22,5,3,1,24,0,3437
AVC040,2019-08-22,5,7,1,24,0,3321
AVC040,2019-08-23,6,3,1,24,0,3881
AVC040,2019-08-23,6,7,1,24,0,3813
AVC040,2019-08-24,7,3,1,24,0,2899
AVC040,2019-08-24,7,7,1,24,0,2921
AVC040,2019-08-25,1,3,1,24,0,2172
AVC040,2019-08-25,1,7,1,24,0,2143
AVC040,2019-08-26,2,3,1,24,0,3325
AVC040,2019-08-26,2,7,1,24,0,3334
AVC040,2019-08-27,3,3,1,24,0,3296
AVC040,2019-08-27,3,7,1,24,0,3245
AVC040,2019-08-28,4,3,1,24,0,3678
AVC040,2019-08-28,4,7,1,24,0,3471
AVC040,2019-08-29,5,3,1,24,0,3663
AVC040,2019-08-29,5,7,1,24,0,3587
AVC040,2019-08-30,6,3,1,24,0,3634
AVC040,2019-08-30,6,7,1,24,0,3489
AVC040,2019-08-31,7,3,1,24,0,2758
AVC040,2019-08-31,7,7,1,24,0,2701
