station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2018-01-01,2,3,1,24,0,1569
AVC040,2018-01-01,2,7,1,24,0,1575
AVC040,2018-01-02,3,3,1,24,0,2833
AVC040,2018-01-02,3,7,1,24,0,2939
AVC040,2018-01-03,4,3,1,24,0,3242
AVC040,2018-01-03,4,7,1,24,0,3192
AVC040,2018-01-04,5,3,1,24,0,3238
AVC040,2018-01-04,5,7,1,24,0,3188
AVC040,2018-01-05,6,3,1,24,0,3744
AVC040,2018-01-05,6,7,1,24,0,3705
AVC040,2018-01-06,7,3,1,24,0,2911
AVC040,2018-01-06,7,7,1,24,0,2936
AVC040,2018-01-07,1,3,1,24,0,1786
AVC040,2018-01-07,1,7,1,24,0,1833
AVC040,2018-01-08,2,3,1,24,0,3282
AVC040,2018-01-08,2,7,1,24,0,3219
AVC040,2018-01-09,3,3,1,24,0,3284
AVC040,2018-01-09,3,7,1,24,0,3324
AVC040,2018-01-10,4,3,1,24,0,3402
AVC040,2018-01-10,4,7,1,24,0,3312
AVC040,2018-01-11,5,3,1,24,0,3048
AVC040,2018-01-11,5,7,1,24,0,3117
AVC040,2018-01-12,6,3,1,24,0,3512
AVC040,2018-01-12,6,7,1,24,0,3435
AVC040,2018-01-13,7,3,1,24,0,2407
AVC040,2018-01-13,7,7,1,24,0,2390
AVC040,2018-01-14,1,3,1,24,0,2012
AVC040,2018-01-14,1,7,1,24,0,2064
AVC040,2018-01-15,2,3,1,24,0,2810
AVC040,2018-01-15,2,7,1,24,0,2856
AVC040,2018-01-16,3,3,1,24,0,3054
AVC040,2018-01-16,3,7,1,24,0,3021
AVC040,2018-01-17,4,3,1,24,0,3209
AVC040,2018-01-17,4,7,1,24,0,3178
AVC040,2018-01-18,5,3,1,24,0,3305
AVC040,2018-01-18,5,7,1,24,0,3288
AVC040,2018-01-19,6,3,1,24,0,3661
AVC040,2018-01-19,6,7,1,24,0,3630
AVC040,2018-01-20,7,3,1,24,0,2867
AVC040,2018-01-20,7,7,1,24,0,2907
AVC040,2018-01-21,1,3,1,24,0,2059
AVC040,2018-01-21,1,7,1,24,0,2140
AVC040,2018-01-22,2,3,1,24,0,3105
AVC040,2018-01-22,2,7,1,24,0,3072
AVC040,2018-01-23,3,3,1,24,0,3190
AVC040,2018-01-23,3,7,1,24,0,3131
AVC040,2018-01-24,4,3,1,24,0,3241
AVC040,2018-01-24,4,7,1,24,0,3273
AVC040,2018-01-25,5,3,1,24,0,3358
AVC040,2018-01-25,5,7,1,24,0,3391
AVC040,2018-01-26,6,3,1,24,0,3623
AVC040,2018-01-26,6,7,1,24,0,3564
AVC040,2018-01-27,7,3,1,24,0,2718
AVC040,2018-01-27,7,7,1,24,0,2679
AVC040,2018-01-28,1,3,1,24,0,2026
AVC040,2018-01-28,1,7,1,24,0,2093
AVC040,2018-01-29,2,3,1,24,0,3136
AVC040,2018-01-29,2,7,1,24,0,3083
AVC040,2018-01-30,3,3,1,24,0,3187
AVC040,2018-01-30,3,7,1,24,0,3176
AVC040,2018-01-31,4,3,1,24,0,3347
AVC040,2018-01-31,4,7,1,24,0,3317
