station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2018-06-01,6,3,1,24,0,4001
AVC040,2018-06-01,6,7,1,24,0,3921
AVC040,2018-06-02,7,3,1,24,0,3156
AVC040,2018-06-02,7,7,1,24,0,3096
AVC040,2018-06-03,1,3,1,24,0,2449
AVC040,2018-06-03,1,7,1,24,0,2499
AVC040,2018-06-04,2,3,1,24,0,3406
AVC040,2018-06-04,2,7,1,24,0,3402
AVC040,2018-06-05,3,3,1,24,0,3372
AVC040,2018-06-05,3,7,1,24,0,3416
AVC040,2018-06-06,4,3,1,24,0,3601
AVC040,2018-06-06,4,7,1,24,0,3608
AVC040,2018-06-07,5,3,1,24,0,3361
AVC040,2018-06-07,5,7,1,24,0,3344
AVC040,2018-06-08,6,3,1,24,0,3942
AVC040,2018-06-08,6,7,1,24,0,3787
AVC040,2018-06-09,7,3,1,24,0,2915
AVC040,2018-06-09,7,7,1,24,0,2966
AVC040,2018-06-10,1,3,1,24,0,2218
AVC040,2018-06-10,1,7,1,24,0,2288
AVC040,2018-06-11,2,3,1,24,0,3445
AVC040,2018-06-11,2,7,1,24,0,3333
AVC040,2018-06-12,3,3,1,24,0,3226
AVC040,2018-06-12,3,7,1,24,0,3212
AVC040,2018-06-13,4,3,1,24,0,3557
AVC040,2018-06-13,4,7,1,24,0,3457
AVC040,2018-06-14,5,3,1,24,0,3692
AVC040,2018-06-14,5,7,1,24,0,3624
AVC040,2018-06-15,6,3,1,24,0,3875
AVC040,2018-06-15,6,7,1,24,0,3802
AVC040,2018-06-16,7,3,1,24,0,3091
AVC040,2018-06-16,7,7,1,24,0,3061
AVC040,2018-06-17,1,3,1,24,0,2550
AVC040,2018-06-17,1,7,1,24,0,2607
AVC040,2018-06-18,2,3,1,24,0,3406
AVC040,2018-06-18,2,7,1,24,0,3371
AVC040,2018-06-19,3,3,1,24,0,3348
AVC040,2018-06-19,3,7,1,24,0,3326
AVC040,2018-06-20,4,3,1,24,0,3382
AVC040,2018-06-20,4,7,1,24,0,3320
AVC040,2018-06-21,5,3,1,24,0,3450
AVC040,2018-06-21,5,7,1,24,0,3363
AVC040,2018-06-22,6,3,1,24,0,3640
AVC040,2018-06-22,6,7,1,24,0,3474
AVC040,2018-06-23,7,3,1,24,0,2714
AVC040,2018-06-23,7,7,1,24,0,2670
AVC040,2018-06-24,1,3,1,24,0,2069
AVC040,2018-06-24,1,7,1,24,0,2144
AVC040,2018-06-25,2,3,1,24,0,3200
AVC040,2018-06-25,2,7,1,24,0,3257
AVC040,2018-06-26,3,3,1,24,0,3513
AVC040,2018-06-26,3,7,1,24,0,3462
AVC040,2018-06-27,4,3,1,24,0,3565
AVC040,2018-06-27,4,7,1,24,0,3419
AVC040,2018-06-28,5,3,1,24,0,3606
AVC040,2018-06-28,5,7,1,24,0,3555
AVC040,2018-06-29,6,3,1,24,0,4158
AVC040,2018-06-29,6,7,1,24,0,3985
AVC040,2018-06-30,7,3,1,24,0,3001
AVC040,2018-06-30,7,7,1,24,0,2899
