station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2017-03-01,4,3,1,24,0,3500
AVC040,2017-03-01,4,7,1,24,0,3417
AVC040,2017-03-02,5,3,1,24,0,3733
AVC040,2017-03-02,5,7,1,24,0,3721
AVC040,2017-03-03,6,3,1,24,0,3985
AVC040,2017-03-03,6,7,1,24,0,3895
AVC040,2017-03-04,7,3,1,24,0,3054
AVC040,2017-03-04,7,7,1,24,0,3084
AVC040,2017-03-05,1,3,1,24,0,2245
AVC040,2017-03-05,1,7,1,24,0,2248
AVC040,2017-03-06,2,3,1,24,0,3356
AVC040,2017-03-06,2,7,1,24,0,3312
AVC040,2017-03-07,3,3,1,24,0,3393
AVC040,2017-03-07,3,7,1,24,0,3372
AVC040,2017-03-08,4,3,1,24,0,3491
AVC040,2017-03-08,4,7,1,24,0,3527
AVC040,2017-03-09,5,3,1,24,0,3577
AVC040,2017-03-09,5,7,1,24,0,3584
AVC040,2017-03-10,6,3,1,24,0,3695
AVC040,2017-03-10,6,7,1,24,0,3617
AVC040,2017-03-11,7,3,1,24,0,2419
AVC040,2017-03-11,7,7,1,24,0,2425
AVC040,2017-03-13,2,3,1,24,0,3038
AVC040,2017-03-13,2,7,1,24,0,3041
AVC040,2017-03-14,3,3,1,24,0,3218
AVC040,2017-03-14,3,7,1,24,0,3197
AVC040,2017-03-15,4,3,1,24,0,3267
AVC040,2017-03-15,4,7,1,24,0,3263
AVC040,2017-03-16,5,3,1,24,0,3289
AVC040,2017-03-16,5,7,1,24,0,3280
AVC040,2017-03-17,6,3,1,24,0,3523
AVC040,2017-03-17,6,7,1,24,0,3587
AVC040,2017-03-18,7,3,1,24,0,2988
AVC040,2017-03-18,7,7,1,24,0,2932
AVC040,2017-03-19,1,3,1,24,0,2398
AVC040,2017-03-19,1,7,1,24,0,2515
AVC040,2017-03-20,2,3,1,24,0,3360
AVC040,2017-03-20,2,7,1,24,0,3319
AVC040,2017-03-21,3,3,1,24,0,3417
AVC040,2017-03-21,3,7,1,24,0,3354
AVC040,2017-03-22,4,3,1,24,0,3463
AVC040,2017-03-22,4,7,1,24,0,3475
AVC040,2017-03-23,5,3,1,24,0,3412
AVC040,2017-03-23,5,7,1,24,0,3375
AVC040,2017-03-24,6,3,1,24,0,3700
AVC040,2017-03-24,6,7,1,24,0,3642
AVC040,2017-03-25,7,3,1,24,0,2842
AVC040,2017-03-25,7,7,1,24,0,2872
AVC040,2017-03-26,1,3,1,24,0,2060
AVC040,2017-03-26,1,7,1,24,0,2088
AVC040,2017-03-27,2,3,1,24,0,3358
AVC040,2017-03-27,2,7,1,24,0,3347
AVC040,2017-03-28,3,3,1,24,0,3419
AVC040,2017-03-28,3,7,1,24,0,3375
AVC040,2017-03-29,4,3,1,24,0,3199
AVC040,2017-03-29,4,7,1,24,0,3203
AVC040,2017-03-30,5,3,1,24,0,3360
AVC040,2017-03-30,5,7,1,24,0,3363
AVC040,2017-03-31,6,3,1,24,0,3752
AVC040,2017-03-31,6,7,1,24,0,3711
