station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2017-05-01,2,3,1,24,0,3513
AVC040,2017-05-01,2,7,1,24,0,3485
AVC040,2017-05-02,3,3,1,24,0,3366
AVC040,2017-05-02,3,7,1,24,0,3390
AVC040,2017-05-03,4,3,1,24,0,3473
AVC040,2017-05-03,4,7,1,24,0,3403
AVC040,2017-05-04,5,3,1,24,0,3623
AVC040,2017-05-04,5,7,1,24,0,3540
AVC040,2017-05-05,6,3,1,24,0,4100
AVC040,2017-05-05,6,7,1,24,0,3915
AVC040,2017-05-06,7,3,1,24,0,3254
AVC040,2017-05-06,7,7,1,24,0,3335
AVC040,2017-05-07,1,3,1,24,0,2526
AVC040,2017-05-07,1,7,1,24,0,2589
AVC040,2017-05-08,2,3,1,24,0,3467
AVC040,2017-05-08,2,7,1,24,0,3433
AVC040,2017-05-09,3,3,1,24,0,3539
AVC040,2017-05-09,3,7,1,24,0,3397
AVC040,2017-05-10,4,3,1,24,0,3418
AVC040,2017-05-10,4,7,1,24,0,3445
AVC040,2017-05-11,5,3,1,24,0,3471
AVC040,2017-05-11,5,7,1,24,0,3368
AVC040,2017-05-12,6,3,1,24,0,4162
AVC040,2017-05-12,6,7,1,24,0,4054
AVC040,2017-05-13,7,3,1,24,0,3705
AVC040,2017-05-13,7,7,1,24,0,3789
AVC040,2017-05-14,1,3,1,24,0,2653
AVC040,2017-05-14,1,7,1,24,0,2679
AVC040,2017-05-15,2,3,1,24,0,3570
AVC040,2017-05-15,2,7,1,24,0,3466
AVC040,2017-05-16,3,3,1,24,0,3622
AVC040,2017-05-16,3,7,1,24,0,3551
AVC040,2017-05-17,4,3,1,24,0,3550
AVC040,2017-05-17,4,7,1,24,0,3521
AVC040,2017-05-18,5,3,1,24,0,3338
AVC040,2017-05-18,5,7,1,24,0,3204
AVC040,2017-05-19,6,3,1,24,0,3520
AVC040,2017-05-19,6,7,1,24,0,3427
AVC040,2017-05-20,7,3,1,24,0,2848
AVC040,2017-05-20,7,7,1,24,0,2894
AVC040,2017-05-21,1,3,1,24,0,2517
AVC040,2017-05-21,1,7,1,24,0,2507
AVC040,2017-05-22,2,3,1,24,0,3339
AVC040,2017-05-22,2,7,1,24,0,3341
AVC040,2017-05-23,3,3,1,24,0,3365
AVC040,2017-05-23,3,7,1,24,0,3357
AVC040,2017-05-24,4,3,1,24,0,3530
AVC040,2017-05-24,4,7,1,24,0,3498
AVC040,2017-05-25,5,3,1,24,0,3693
AVC040,2017-05-25,5,7,1,24,0,3603
AVC040,2017-05-26,6,3,1,24,0,3982
AVC040,2017-05-26,6,7,1,24,0,3739
AVC040,2017-05-27,7,3,1,24,0,2814
AVC040,2017-05-27,7,7,1,24,0,2651
AVC040,2017-05-28,1,3,1,24,0,2427
AVC040,2017-05-28,1,7,1,24,0,2372
AVC040,2017-05-29,2,3,1,24,0,2459
AVC040,2017-05-29,2,7,1,24,0,2490
AVC040,2017-05-30,3,3,1,24,0,3607
AVC040,2017-05-30,3,7,1,24,0,3626
AVC040,2017-05-31,4,3,1,24,0,3671
AVC040,2017-05-31,4,7,1,24,0,3550
