station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2023-10-01,1,3,1,24,0,2134
AVC040,2023-10-01,1,7,1,24,0,2177
AVC040,2023-10-02,2,3,1,24,0,3461
AVC040,2023-10-02,2,7,1,24,0,3320
AVC040,2023-10-03,3,3,1,24,0,3574
AVC040,2023-10-03,3,7,1,24,0,3481
AVC040,2023-10-04,4,3,1,24,0,3367
AVC040,2023-10-04,4,7,1,24,0,3347
AVC040,2023-10-05,5,3,1,24,0,3502
AVC040,2023-10-05,5,7,1,24,0,3448
AVC040,2023-10-06,6,3,1,24,0,3748
AVC040,2023-10-06,6,7,1,24,0,3717
AVC040,2023-10-07,7,3,1,24,0,2970
AVC040,2023-10-07,7,7,1,24,0,2816
AVC040,2023-10-08,1,3,1,24,0,2230
AVC040,2023-10-08,1,7,1,24,0,2261
AVC040,2023-10-09,2,3,1,24,0,3228
AVC040,2023-10-09,2,7,1,24,0,3177
AVC040,2023-10-10,3,3,1,24,0,3533
AVC040,2023-10-10,3,7,1,24,0,3492
AVC040,2023-10-11,4,3,1,24,0,3500
AVC040,2023-10-11,4,7,1,24,0,3471
AVC040,2023-10-12,5,3,1,24,0,3538
AVC040,2023-10-12,5,7,1,24,0,3468
AVC040,2023-10-13,6,3,1,24,0,3713
AVC040,2023-10-13,6,7,1,24,0,3608
AVC040,2023-10-14,7,3,1,24,0,2942
AVC040,2023-10-14,7,7,1,24,0,2831
AVC040,2023-10-15,1,3,1,24,0,2286
AVC040,2023-10-15,1,7,1,24,0,2162
AVC040,2023-10-16,2,3,1,24,0,3430
AVC040,2023-10-16,2,7,1,24,0,3437
AVC040,2023-10-17,3,3,1,24,0,3508
AVC040,2023-10-17,3,7,1,24,0,3445
AVC040,2023-10-18,4,3,1,24,0,3530
AVC040,2023-10-18,4,7,1,24,0,3473
AVC040,2023-10-19,5,3,1,24,0,3583
AVC040,2023-10-19,5,7,1,24,0,3487
AVC040,2023-10-20,6,3,1,24,0,3779
AVC040,2023-10-20,6,7,1,24,0,3711
AVC040,2023-10-21,7,3,1,24,0,3118
AVC040,2023-10-21,7,7,1,24,0,3017
AVC040,2023-10-22,1,3,1,24,0,2323
AVC040,2023-10-22,1,7,1,24,0,2273
AVC040,2023-10-23,2,3,1,24,0,3522
AVC040,2023-10-23,2,7,1,24,0,3452
AVC040,2023-10-24,3,3,1,24,0,3133
AVC040,2023-10-24,3,7,1,24,0,3089
AVC040,2023-10-25,4,3,1,24,0,3279
AVC040,2023-10-25,4,7,1,24,0,3226
AVC040,2023-10-26,5,3,1,24,0,3475
AVC040,2023-10-26,5,7,1,24,0,3345
AVC040,2023-10-27,6,3,1,24,0,3755
AVC040,2023-10-27,6,7,1,24,0,3790
AVC040,2023-10-28,7,3,1,24,0,2911
AVC040,2023-10-28,7,7,1,24,0,2803
AVC040,2023-10-29,1,3,1,24,0,1966
AVC040,2023-10-29,1,7,1,24,0,1878
AVC040,2023-10-30,2,3,1,24,0,3186
AVC040,2023-10-30,2,7,1,24,0,3256
AVC040,2023-10-31,3,3,1,24,0,3376
AVC040,2023-10-31,3,7,1,24,0,3264
