name,bucket,n,catch_n,rev_n,both_n,neither_n,catch_pct,rev_pct
HLX,lt-2,48,44,25,24,3,91.7,52.1
HLX,-2_-1.5,57,51,32,27,1,89.5,56.1
HLX,+1.5_+2,47,42,24,21,2,89.4,51.1
HLX,gt+2,48,46,23,21,0,95.8,47.9
OIH,lt-2,63,62,32,32,1,98.4,50.8
OIH,-2_-1.5,83,76,49,45,3,91.6,59.0
OIH,+1.5_+2,89,78,32,28,7,87.6,36.0
OIH,gt+2,75,70,27,25,3,93.3,36.0
SLB,lt-2,67,64,28,27,2,95.5,41.8
SLB,-2_-1.5,79,71,34,31,5,89.9,43.0
SLB,+1.5_+2,64,55,29,25,5,85.9,45.3
SLB,gt+2,59,54,31,30,4,91.5,52.5
HAL,lt-2,62,58,26,26,4,93.5,41.9
HAL,-2_-1.5,63,57,31,30,5,90.5,49.2
HAL,+1.5_+2,79,70,37,31,3,88.6,46.8
HAL,gt+2,50,48,24,23,1,96.0,48.0
