name,k,bucket,n,catch_n,rev_n,both_n,neither_n,catch_pct,rev_pct
HLX,5,lt-2,49,45,28,25,1,91.8,57.1
HLX,5,-2_-1.5,57,54,33,33,3,94.7,57.9
HLX,5,+1.5_+2,47,43,30,26,0,91.5,63.8
HLX,5,gt+2,48,47,20,19,0,97.9,41.7
HLX,10,lt-2,48,45,27,24,0,93.8,56.2
HLX,10,-2_-1.5,57,50,28,22,1,87.7,49.1
HLX,10,+1.5_+2,47,43,27,25,2,91.5,57.4
HLX,10,gt+2,48,47,22,22,1,97.9,45.8
HLX,20,lt-2,48,44,25,24,3,91.7,52.1
HLX,20,-2_-1.5,57,51,32,27,1,89.5,56.1
HLX,20,+1.5_+2,47,42,24,21,2,89.4,51.1
HLX,20,gt+2,48,46,23,21,0,95.8,47.9
HLX,40,lt-2,48,47,21,21,1,97.9,43.8
HLX,40,-2_-1.5,57,51,31,26,1,89.5,54.4
HLX,40,+1.5_+2,47,42,25,22,2,89.4,53.2
HLX,40,gt+2,48,48,22,22,0,100.0,45.8
HLX,60,lt-2,48,48,25,25,0,100.0,52.1
HLX,60,-2_-1.5,57,48,29,22,2,84.2,50.9
HLX,60,+1.5_+2,46,42,28,25,1,91.3,60.9
HLX,60,gt+2,48,46,25,23,0,95.8,52.1
OIH,5,lt-2,65,60,33,31,3,92.3,50.8
OIH,5,-2_-1.5,85,71,46,37,5,83.5,54.1
OIH,5,+1.5_+2,89,75,40,33,7,84.3,44.9
OIH,5,gt+2,75,68,34,32,5,90.7,45.3
OIH,10,lt-2,64,57,34,33,6,89.1,53.1
OIH,10,-2_-1.5,84,74,56,49,3,88.1,66.7
OIH,10,+1.5_+2,89,80,41,38,6,89.9,46.1
OIH,10,gt+2,75,72,31,30,2,96.0,41.3
OIH,20,lt-2,63,62,32,32,1,98.4,50.8
OIH,20,-2_-1.5,83,76,49,45,3,91.6,59.0
OIH,20,+1.5_+2,89,78,32,28,7,87.6,36.0
OIH,20,gt+2,75,70,27,25,3,93.3,36.0
OIH,40,lt-2,62,61,29,29,1,98.4,46.8
OIH,40,-2_-1.5,82,71,55,47,3,86.6,67.1
OIH,40,+1.5_+2,89,79,42,37,5,88.8,47.2
OIH,40,gt+2,74,71,36,36,3,95.9,48.6
OIH,60,lt-2,61,58,33,32,2,95.1,54.1
OIH,60,-2_-1.5,80,70,50,43,3,87.5,62.5
OIH,60,+1.5_+2,89,79,44,38,4,88.8,49.4
OIH,60,gt+2,71,68,37,34,0,95.8,52.1
SLB,5,lt-2,67,65,37,37,2,97.0,55.2
SLB,5,-2_-1.5,79,67,33,30,9,84.8,41.8
SLB,5,+1.5_+2,64,53,30,24,5,82.8,46.9
SLB,5,gt+2,60,57,36,35,2,95.0,60.0
SLB,10,lt-2,67,64,35,33,1,95.5,52.2
SLB,10,-2_-1.5,79,71,36,33,5,89.9,45.6
SLB,10,+1.5_+2,64,55,30,26,5,85.9,46.9
SLB,10,gt+2,59,57,33,31,0,96.6,55.9
SLB,20,lt-2,67,64,28,27,2,95.5,41.8
SLB,20,-2_-1.5,79,71,34,31,5,89.9,43.0
SLB,20,+1.5_+2,64,55,29,25,5,85.9,45.3
SLB,20,gt+2,59,54,31,30,4,91.5,52.5
SLB,40,lt-2,66,64,30,29,1,97.0,45.5
SLB,40,-2_-1.5,77,67,37,34,7,87.0,48.1
SLB,40,+1.5_+2,64,59,31,28,2,92.2,48.4
SLB,40,gt+2,59,59,24,24,0,100.0,40.7
SLB,60,lt-2,66,64,31,30,1,97.0,47.0
SLB,60,-2_-1.5,76,68,37,32,3,89.5,48.7
SLB,60,+1.5_+2,64,56,33,31,6,87.5,51.6
SLB,60,gt+2,59,54,21,19,3,91.5,35.6
HAL,5,lt-2,63,60,31,30,2,95.2,49.2
HAL,5,-2_-1.5,63,61,29,28,1,96.8,46.0
HAL,5,+1.5_+2,79,71,48,43,3,89.9,60.8
HAL,5,gt+2,50,47,27,24,0,94.0,54.0
HAL,10,lt-2,62,57,23,23,5,91.9,37.1
HAL,10,-2_-1.5,63,60,28,27,2,95.2,44.4
HAL,10,+1.5_+2,79,73,43,40,3,92.4,54.4
HAL,10,gt+2,50,48,31,30,1,96.0,62.0
HAL,20,lt-2,62,58,26,26,4,93.5,41.9
HAL,20,-2_-1.5,63,57,31,30,5,90.5,49.2
HAL,20,+1.5_+2,79,70,37,31,3,88.6,46.8
HAL,20,gt+2,50,48,24,23,1,96.0,48.0
HAL,40,lt-2,62,61,26,25,0,98.4,41.9
HAL,40,-2_-1.5,63,56,30,26,3,88.9,47.6
HAL,40,+1.5_+2,78,67,37,34,8,85.9,47.4
HAL,40,gt+2,50,49,31,31,1,98.0,62.0
HAL,60,lt-2,62,60,32,32,2,96.8,51.6
HAL,60,-2_-1.5,63,59,30,26,0,93.7,47.6
HAL,60,+1.5_+2,77,66,36,30,5,85.7,46.8
HAL,60,gt+2,50,49,31,31,1,98.0,62.0
