model,split,bucket,n,mean20,win20
brent,all,le-2,52,-0.043522704049111995,0.46153846153846156
brent,all,-2_-1.5,27,-0.007031926917746732,0.37037037037037035
brent,all,mid,1832,0.01290119148975401,0.5283842794759825
brent,all,1.5_2,23,-0.020414257045435192,0.43478260869565216
brent,all,ge+2,51,-0.03218864720520542,0.45098039215686275
brent,oos,le-2,22,0.03227061205171467,0.5909090909090909
brent,oos,-2_-1.5,11,0.0021374553505244935,0.36363636363636365
brent,oos,mid,591,0.009862859746474342,0.48392554991539766
brent,oos,1.5_2,7,-0.03555000759964869,0.2857142857142857
brent,oos,ge+2,22,0.02366462833985341,0.45454545454545453
full,all,le-2,55,-0.04664249937619293,0.45454545454545453
full,all,-2_-1.5,29,-0.01809355405943267,0.3103448275862069
full,all,mid,1810,0.012953706147989583,0.5342541436464089
full,all,1.5_2,38,0.006743712146625675,0.34210526315789475
full,all,ge+2,53,-0.029087309502507305,0.39622641509433965
full,oos,le-2,22,0.021263267630980274,0.5454545454545454
full,oos,-2_-1.5,11,0.025877166476960076,0.45454545454545453
full,oos,mid,590,0.010552973793215896,0.488135593220339
full,oos,1.5_2,8,-0.06881911650857575,0.125
full,oos,ge+2,22,0.01845659224464381,0.4090909090909091
