qend,revenue_usd,filed,hlx_close
2017-03-31,104528000,2019-02-22,7.539999961853027
2017-06-30,150329000,2019-02-22,5.53000020980835
2017-09-30,163260000,2019-02-22,7.389999866485596
2017-12-31,163266000,2019-02-22,7.539999961853027
2018-03-31,164262000,2020-02-27,5.789999961853027
2018-06-30,204625000,2020-02-27,8.329999923706055
2018-09-30,212575000,2020-02-27,9.880000114440918
2018-12-31,158356000,2020-02-27,5.440000057220459
2019-03-31,166823000,2021-02-25,7.909999847412109
2019-06-30,201728000,2021-02-25,8.630000114440918
2019-09-30,212609000,2021-02-25,8.329999923706055
2019-12-31,170749000,2021-02-25,9.65999984741211
2020-03-31,181021000,2021-04-28,1.7400000095367432
2020-06-30,199147000,2021-07-28,3.5299999713897705
2020-09-30,193490000,2021-10-22,2.430000066757202
2020-12-31,159897000,2021-02-25,4.179999828338623
2021-03-31,163415000,2022-04-27,4.840000152587891
2021-06-30,161941000,2022-07-27,5.690000057220459
2021-09-30,180716000,2022-10-26,3.9100000858306885
2022-03-31,150125000,2023-04-26,4.849999904632568
2022-06-30,162612000,2023-07-27,3.140000104904175
2022-09-30,272547000,2023-10-25,3.930000066757202
2023-03-31,250084000,2024-04-26,7.690000057220459
2023-06-30,308817000,2024-07-25,7.230000019073486
2023-09-30,395670000,2024-10-24,11.170000076293945
2024-03-31,296211000,2025-04-24,10.84000015258789
2024-06-30,364797000,2025-07-24,11.9399995803833
2024-09-30,342419000,2025-10-23,10.800000190734863
2025-03-31,278064000,2026-04-24,8.390000343322754
2025-06-30,251682000,2026-08-06,6.28000020980835
2025-09-30,376960000,2025-10-23,6.710000038146973
2026-03-31,287946000,2026-04-24,9.75
2026-06-30,304016000,2026-08-06,8.710000038146973
