qend,wi_util_pct,wi_dayrate,vessels,hlx_close,hlx_q_logret
2023-03-31,82.1,254649,8,7.74,
2023-06-30,86.3,253748,8,7.38,-0.047628
2023-09-30,93.5,330220,8,11.17,0.414458
2023-12-31,95.2,303982,8,10.28,-0.083031
2024-03-31,91.4,332024,8,10.84,0.053043
2024-06-30,95.1,328106,8,11.94,0.096651
2024-09-30,97.3,257315,8,11.1,-0.072949
2024-12-31,82.2,390300,8,9.32,-0.174782
2025-03-31,81.4,410164,7,8.31,-0.114703
2025-06-30,86.0,305224,7,6.24,-0.286479
2025-09-30,90.1,343638,7,6.56,0.050010
2025-12-31,85.9,336455,7,6.27,-0.045214
2026-03-31,84.4,363145,8,9.89,0.455748
2026-06-30,92.4,326545,8,8.74,-0.123614
