month,observed,expected,complete,data_quality_score
2015-01,5,5,True,1
2015-02,2,4,False,0
2015-03,1,4,False,0
2015-04,3,4,False,0
2015-05,5,5,True,1
2015-06,2,4,False,0
2015-07,3,4,False,0
2015-08,5,5,True,1
2015-09,4,4,True,1
2015-10,5,5,True,1
2015-11,4,4,True,1
2015-12,4,4,True,1
2016-01,5,5,True,1
2016-02,4,4,True,1
2016-03,3,4,False,0
2016-04,5,5,True,1
2016-05,4,4,True,1
2016-06,4,4,True,1
2016-07,5,5,True,1
2016-08,4,4,True,1
2016-09,4,4,True,1
2016-10,5,5,True,1
2016-11,4,4,True,1
2016-12,5,5,True,1
2017-01,4,4,True,1
2017-02,4,4,True,1
2017-03,4,4,True,1
2017-04,5,5,True,1
2017-05,4,4,True,1
2017-06,4,4,True,1
2017-07,5,5,True,1
2017-08,4,4,True,1
2017-09,5,5,True,1
2017-10,4,4,True,1
2017-11,4,4,True,1
2017-12,5,5,True,1
2018-01,4,4,True,1
2018-02,4,4,True,1
2018-03,5,5,True,1
2018-04,4,4,True,1
2018-05,4,4,True,1
2018-06,5,5,True,1
2018-07,4,4,True,1
2018-08,4,4,True,1
2018-09,5,5,True,1
2018-10,4,4,True,1
2018-11,4,4,True,1
2018-12,5,5,True,1
2019-01,4,4,True,1
2019-02,4,4,True,1
2019-03,5,5,True,1
2019-04,4,4,True,1
2019-05,4,4,True,1
2019-06,5,5,True,1
2019-07,4,4,True,1
2019-08,5,5,True,1
2019-09,4,4,True,1
2019-10,4,4,True,1
2019-11,5,5,True,1
2019-12,4,4,True,1
2020-01,4,4,True,1
2020-02,5,5,True,1
2020-03,4,4,True,1
2020-04,4,4,True,1
2020-05,5,5,True,1
2020-06,4,4,True,1
2020-07,4,4,True,1
2020-08,5,5,True,1
2020-09,4,4,True,1
2020-10,5,5,True,1
2020-11,4,4,True,1
2020-12,4,4,True,1
2021-01,5,5,True,1
2021-02,4,4,True,1
2021-03,4,4,True,1
2021-04,4,4,True,1
2021-05,5,5,True,1
2021-06,4,4,True,1
2021-07,5,5,True,1
2021-08,4,4,True,1
2021-09,4,4,True,1
2021-10,5,5,True,1
2021-11,4,4,True,1
2021-12,4,4,True,1
2022-01,5,5,True,1
2022-02,4,4,True,1
2022-03,4,4,True,1
2022-04,5,5,True,1
2022-05,4,4,True,1
2022-06,4,4,True,1
2022-07,5,5,True,1
2022-08,4,4,True,1
2022-09,4,4,True,1
2022-10,5,5,True,1
2022-11,4,4,True,1
2022-12,5,5,True,1
2023-01,4,4,True,1
2023-02,4,4,True,1
2023-03,4,4,True,1
2023-04,5,5,True,1
2023-05,4,4,True,1
2023-06,4,4,True,1
2023-07,5,5,True,1
2023-08,4,4,True,1
2023-09,5,5,True,1
2023-10,4,4,True,1
2023-11,4,4,True,1
2023-12,5,5,True,1
