k,n,pearson,spearman
-5,465,0.05751661959041821,0.057860967885609835
-4,466,-0.004507180077851554,0.016136711590800937
-3,467,-0.02659434185823208,-0.027295953863730543
-2,468,-0.08693069371730548,-0.039923803685411555
-1,469,-0.0692752145675237,0.0011067072851629394
0,469,-0.12027541595465216,-0.056252002673389485
1,468,-0.10967206053088105,-0.017965374818162638
2,467,-0.17726301817768336,-0.06092764531682116
3,466,-0.123829690771285,-0.06105717019813496
4,465,-0.12088439201562934,-0.06990156131265987
5,464,-0.04657025497385712,-0.03237911507052196
