month,days,lng_mwh,oil_category_mwh,oil_share_of_two_fuels_pct,mean_daily_share_pct
2023-05,31,120823.774,150773.063,55.51355629373548264113252541,55.45826259984968200299991965
2023-06,30,121486.705,146943.552,54.74179909606836907361005879,54.5472104038604084419425223
2023-07,31,134288.691,199717.851,59.79459258615359695559495957,59.91060617458699561682168213
2023-08,31,151550.612,197707.424,56.60783822308386341610189894,56.61370789694453378718166406
2023-09,30,117321.663,170412.671,59.22569914788132305406417018,59.2072645856184541908106024
2023-10,31,94779.060,161199.918,62.97388920741764974153463493,63.22828025323924143440976142
2023-11,30,78857.572,150027.048,65.54702015364771997349581636,66.0530986338263916299082152
2023-12,31,124512.881,156842.197,55.74528745487934644634350619,55.98949130743686023816039529
2024-01,31,159186.609,138211.419,46.47354924626467260905980184,46.85208628668891461176158987
2024-02,29,154573.758,98179.395,38.84398427267097237754339706,39.11245116279209326547239679
2024-03,31,121431.065,151792.044,55.55607816467676604909725992,55.99148308653123401751111739
