occupancy_month,tax_usd,source
2023-07,6068.32,City of Cushing agenda 2024-10-21 hotel tax table
2023-08,5935.21,City of Cushing agenda 2024-10-21 hotel tax table
2023-09,5631.31,City of Cushing agenda 2024-10-21 hotel tax table
2023-10,6481.84,City of Cushing agenda 2024-10-21 hotel tax table
2023-11,7532.42,City of Cushing agenda 2024-10-21 hotel tax table
2023-12,6732.34,City of Cushing agenda 2024-10-21 hotel tax table
2024-01,6331.33,City of Cushing agenda 2024-10-21 hotel tax table
2024-02,5721.58,City of Cushing agenda 2024-10-21 hotel tax table
2024-03,6866.02,City of Cushing agenda 2024-10-21 hotel tax table
2024-04,7619.14,City of Cushing agenda 2024-10-21 hotel tax table
2024-05,9524.08,City of Cushing agenda 2024-10-21 hotel tax table
2024-06,7179.17,City of Cushing agenda 2024-10-21 hotel tax table
